Date,Open,High,Low,Close,Volume,OpenInterest
2016-07-12,59.27,59.62,58.99,59.53,2068670,0.0
2016-07-13,60,60.18,59.69,60,1399534,0.0
2016-07-14,60.25,60.25,59.97,60.13,1614947,0.0
2016-07-17,60.5,60.83,60.26,60.43,1486515,0.0
2016-07-18,60.09,60.48,59.89,60.26,1101702,0.0
2016-07-19,60.43,60.92,60.15,60.69,1117069,0.0
2016-07-20,60.65,60.65,59.72,59.95,1019810,0.0
2016-07-21,60.05,60.435,59.66,60.39,549386,0.0
2016-07-24,60.49,60.59,60.2,60.53,919217,0.0
2016-07-25,61.15,64.22,61.08,62.8725,3864842,0.0
2016-07-26,66.78,66.91,62.95,63.32,13048205,0.0
2016-07-27,63.46,64.39,62.75,64.23,4090066,0.0
2016-07-28,64.2,64.435,63.5,63.84,2637331,0.0
2016-07-31,64.19,64.32,63.542,63.97,2223696,0.0
2016-08-01,63.78,63.84,62.49,62.83,2042977,0.0
2016-08-02,62.65,63.575,62.24,62.87,1401014,0.0
2016-08-03,63.07,63.39,62.7,63.33,1388313,0.0
2016-08-04,63.5,63.73,63.07,63.69,1231081,0.0
2016-08-07,63.83,63.94,63.29,63.44,1314721,0.0
2016-08-08,63.88,64.15,63.625,63.83,1363326,0.0
2016-08-09,64,64,63.16,63.79,1575654,0.0
2016-08-10,63.99,64.14,62.871,64.14,991088,0.0
2016-08-11,64.06,64.36,63.77,64.24,965553,0.0
2016-08-14,64.24,65.49,64.24,65.28,1960342,0.0
2016-08-15,65.15,65.15,64.59,64.9,2050583,0.0
2016-08-16,64.26,64.84,63.16,64.2,2701957,0.0
2016-08-17,64.3,64.85,63.75,64.13,1626591,0.0
2016-08-18,63.92,64.58,63.83,64.14,1591064,0.0
2016-08-21,64.4,64.41,63.75,63.85,1609292,0.0
2016-08-22,64.38,64.74,63.79,63.8,1572959,0.0
2016-08-23,63.59,63.837,62.7,62.71,2141235,0.0
2016-08-24,62.82,63.04,62.56,62.72,1967806,0.0
2016-08-25,63,63.53,62.57,62.96,1794044,0.0
2016-08-28,63.09,63.45,62.81,62.88,1243380,0.0
2016-08-29,63.06,63.3458,62.65,62.89,944100,0.0
2016-08-30,62.9,62.965,62.36,62.56,1316117,0.0
2016-08-31,62.56,63.07,61.6,63.06,1363851,0.0
2016-09-01,63.29,63.53,62.91,63.13,1524785,0.0
2016-09-05,63.24,63.43,62.51,62.73,1289782,0.0
2016-09-06,62.54,62.86,61.44,61.65,1659007,0.0
2016-09-07,61.66,61.8,61.12,61.39,1567875,0.0
2016-09-08,60.83,60.95,59.37,59.62,2816884,0.0
2016-09-11,59.13,60.67,59.01,60.62,1991723,0.0
2016-09-12,60.39,60.87,59.94,60.46,2460544,0.0
2016-09-13,60.51,61.18,60.12,60.92,1398820,0.0
2016-09-14,60.88,62.72,60.87,62.66,2470451,0.0
2016-09-15,62.77,62.85,61.46,62.04,1902756,0.0
2016-09-18,62.75,63.05,62.21,62.46,1794653,0.0
2016-09-19,62.69,62.91,62.25,62.34,1798289,0.0
2016-09-20,62.6,63.4,62.515,63.3,1533283,0.0
2016-09-21,63.89,64.02,63.37,63.68,1942850,0.0
2016-09-22,63.7,63.82,63.23,63.23,2530056,0.0
2016-09-25,62.79,62.975,62.22,62.28,2706091,0.0
2016-09-26,62.28,63.93,61.81,63.82,1949798,0.0
2016-09-27,64.02,64.13,63.27,63.94,1874066,0.0
2016-09-28,63.99,64.27,62.93,63.75,1450204,0.0
2016-09-29,64.14,64.975,63.41,64.44,2359560,0.0
2016-10-02,64.29,64.74,64.06,64.25,1454536,0.0
2016-10-03,64.23,64.93,63.82,64.24,1188508,0.0
2016-10-04,64.48,65.18,63.8,64.68,1578781,0.0
2016-10-05,64.6,64.83,64.04,64.75,1007983,0.0
2016-10-06,64.62,64.62,63.74,64.42,1424527,0.0
2016-10-09,64.78,64.88,63.34,63.36,1619224,0.0
2016-10-10,63.31,63.65,61.64,62.1,2812085,0.0
2016-10-11,62.15,62.16,60.7,61.19,2655031,0.0
2016-10-12,60.8,60.855,59.54,60.71,2956250,0.0
2016-10-13,61.11,62.71,60.97,62.06,3212060,0.0
2016-10-16,61.65,62.29,61.33,61.71,1789110,0.0
2016-10-17,62.33,62.84,62.02,62.14,2063578,0.0
2016-10-18,61.84,62.07,61.27,61.91,998775,0.0
2016-10-19,62.28,63.68,61.67,63.47,3414699,0.0
2016-10-20,63.13,63.33,62.22,62.91,1378498,0.0
2016-10-23,63.53,64.05,63.44,64.015,918492,0.0
2016-10-24,64.02,64.26,63.74,64.06,1821093,0.0
2016-10-25,63.57,63.75,63.1,63.44,1934268,0.0
2016-10-26,63.87,64.16,63.06,63.28,1701592,0.0
2016-10-27,63.45,64.29,63.35,63.53,1884243,0.0
2016-10-30,64.04,64.44,63.74,64.11,1569645,0.0
2016-10-31,64.4,64.4,62.84,63.6,2691841,0.0
2016-11-01,63.79,64.18,63.4,63.66,1722938,0.0
2016-11-02,63.75,64.03,63.34,63.85,1661144,0.0
2016-11-03,62.89,64.02,62.89,63.44,1564464,0.0
2016-11-06,64.53,64.55,63.96,64.36,2273106,0.0
2016-11-07,64.06,65.4,63.71,64.83,1541201,0.0
2016-11-08,63.3,65.29,62.5,64.95,1673259,0.0
2016-11-09,65.21,65.97,63.45,64.25,1637339,0.0
2016-11-10,64.45,65.44,64.105,65.32,1462646,0.0
2016-11-13,65.42,66.825,65.33,66.48,3055688,0.0
2016-11-14,66.73,68.49,66.47,68.21,2630183,0.0
2016-11-15,68.14,68.5,67.68,67.89,2949066,0.0
2016-11-16,67.93,68.32,67.38,68.21,1207572,0.0
2016-11-17,67.92,68.58,67.62,68.47,1107806,0.0
2016-11-20,68.75,69.91,68.71,69.81,2722016,0.0
2016-11-21,73.05,74.87,72.52,72.89,6724155,0.0
2016-11-22,73.54,74.11,72.61,73.59,5066984,0.0
2016-11-24,73.45,74.32,72.911,74.2,1626963,0.0
2016-11-27,74.01,74.46,73.53,74.16,2557803,0.0
2016-11-28,74.17,74.86,73.454,74.53,1574100,0.0
2016-11-29,74.19,74.75,73.62,74.24,2719134,0.0
2016-11-30,73.56,74.18,68.665,69.01,4270041,0.0
2016-12-01,68.66,70.26,68.415,70.11,2470250,0.0
2016-12-04,70.84,71.23,70.15,70.61,1409538,0.0
2016-12-05,71.02,71.5,70.26,71,1467778,0.0
2016-12-06,70.98,72.96,70.52,72.94,2080501,0.0
2016-12-07,72.99,74.25,72.75,73.89,1575619,0.0
2016-12-08,74.54,74.82,72.49,73.14,1583079,0.0
2016-12-11,72.85,73.257,72.2,72.9,1636047,0.0
2016-12-12,73.11,73.73,72.79,73.1,1640414,0.0
2016-12-13,73.23,73.43,72.29,72.54,1776218,0.0
2016-12-14,72.81,73.94,72.59,73.61,1517866,0.0
2016-12-15,73.77,74,71.97,72.09,2996481,0.0
2016-12-18,72.41,73,72.15,72.81,1516801,0.0
2016-12-19,72.93,73.59,72.85,73.39,1215231,0.0
2016-12-20,73.69,74.29,73.27,73.6,1303005,0.0
2016-12-21,73.89,73.95,73.01,73.45,840626,0.0
2016-12-22,73.37,73.87,73.34,73.84,521198,0.0
2016-12-26,73.81,74.62,73.81,74.31,673569,0.0
2016-12-27,74.54,74.6,73.53,73.56,1180620,0.0
2016-12-28,73.38,73.88,73.23,73.57,633317,0.0
2016-12-29,73.8,74.02,72.393,72.61,1193586,0.0
2017-01-02,72.59,74.1292,72.09,72.5,2054256,0.0
2017-01-03,72.77,73.0261,72.25,72.36,1300044,0.0
2017-01-04,72.41,72.61,71.28,71.3,1469524,0.0
2017-01-05,71.58,71.95,71.0005,71.6,1535687,0.0
2017-01-08,71.64,72.5101,71.52,71.93,1789981,0.0
2017-01-09,71.87,72.51,71.85,72.35,1664765,0.0
2017-01-10,72.27,72.66,72.07,72.62,1141405,0.0
2017-01-11,72.42,72.42,71,72.21,1549734,0.0
2017-01-12,72.36,72.8837,72.115,72.67,1173285,0.0
2017-01-16,72.23,73.41,71.85,72.28,1660846,0.0
2017-01-17,72.64,73.63,72.22,73.01,1700893,0.0
2017-01-18,72.88,73.39,72.29,72.44,1581062,0.0
2017-01-19,72.09,73.65,72.09,72.88,1381700,0.0
2017-01-22,72.65,73.24,72.41,72.77,1314501,0.0
2017-01-23,73.01,73.68,72.97,73.5,2598136,0.0
2017-01-24,74.67,75.59,74.51,74.55,3129746,0.0
2017-01-25,74.37,74.54,73.77,74.2,2393414,0.0
2017-01-26,74.55,76.94,74.25,76.94,3147870,0.0
2017-01-29,76.76,76.76,75.23,76.28,1601795,0.0
2017-01-30,76.14,76.19,74.595,74.94,1925999,0.0
2017-01-31,75.76,76.73,75.42,76.17,1986472,0.0
2017-02-01,75.66,76.03,75.14,75.23,1907731,0.0
2017-02-02,75.52,75.73,75.26,75.52,1535881,0.0
2017-02-05,75.65,75.65,74.94,75.53,1406917,0.0
2017-02-06,75.69,76.58,75.39,76.31,1638077,0.0
2017-02-07,77,77.75,76.78,77.48,2867748,0.0
