Date,Open,High,Low,Close,Volume,OpenInterest
2016-07-11,95.58,95.73,94.75,94.81,1722886,0.0
2016-07-12,95.35,95.39,94.67,95.15,1027015,0.0
2016-07-13,95.77,95.78,95.01,95.21,981288,0.0
2016-07-14,95.64,95.77,94.93,95.06,989448,0.0
2016-07-17,95.29,95.38,94.812,94.91,601056,0.0
2016-07-18,94.85,95.05,94.66,95.02,542739,0.0
2016-07-19,95.55,95.64,95.0372,95.38,705866,0.0
2016-07-20,95.1,95.42,94.385,94.88,876760,0.0
2016-07-21,95.51,95.69,94.75,95.46,848546,0.0
2016-07-24,95.16,95.36,94.8704,95.29,987491,0.0
2016-07-25,95.56,96,95.0803,95.72,1030938,0.0
2016-07-26,95.66,95.73,94.75,94.98,1567566,0.0
2016-07-27,93,93,91.37,91.74,3067248,0.0
2016-07-28,91.38,91.38,88.925,88.95,3038222,0.0
2016-07-31,88.06,89.71,87.85,88.67,2444254,0.0
2016-08-01,88.7,88.94,87.86,87.96,1896865,0.0
2016-08-02,88.24,88.3,87.55,88.19,1650165,0.0
2016-08-03,88.11,88.66,88.025,88.4,1207970,0.0
2016-08-04,89.06,89.72,85.51,89.68,1537447,0.0
2016-08-07,89.59,89.88,89.185,89.44,1373021,0.0
2016-08-08,89.44,90.34,89.44,89.97,1005272,0.0
2016-08-09,89.93,90.1166,89.51,90.04,784773,0.0
2016-08-10,90.09,90.65,90.01,90.4,1051765,0.0
2016-08-11,90.03,90.4,90.01,90.13,636122,0.0
2016-08-14,90.48,90.66,90.1601,90.36,667104,0.0
2016-08-15,90.04,90.25,89.55,89.55,627549,0.0
2016-08-16,89.8,89.86,88.79,89.33,1326639,0.0
2016-08-17,89.57,89.9,89.39,89.83,729618,0.0
2016-08-18,89.52,89.97,89.1,89.85,958212,0.0
2016-08-21,89.82,90.02,89.54,89.92,720864,0.0
2016-08-22,90.08,90.19,89.78,89.98,862864,0.0
2016-08-23,89.81,89.91,89.54,89.69,808959,0.0
2016-08-24,89.72,89.98,89.3,89.78,807988,0.0
2016-08-25,89.96,90.5999,89.32,89.79,1082007,0.0
2016-08-28,89.84,90.3,89.49,89.59,861786,0.0
2016-08-29,89.81,90.06,89.5,89.78,967788,0.0
2016-08-30,89.68,90.025,89.41,89.81,896139,0.0
2016-08-31,90.02,90.63,89.66,90.63,1112323,0.0
2016-09-01,90.88,90.99,90.06,90.39,1408231,0.0
2016-09-05,89.74,90.14,89.44,89.86,1309288,0.0
2016-09-06,89.2,89.99,89.15,89.96,882696,0.0
2016-09-07,89.71,90.07,89.33,89.46,791663,0.0
2016-09-08,88.66,88.99,86.55,86.57,1365273,0.0
2016-09-11,86.46,88.24,86.33,88.14,1175081,0.0
2016-09-12,87.32,88.14,86.36,86.69,1388499,0.0
2016-09-13,86.86,87.24,86.45,86.69,844289,0.0
2016-09-14,86.48,87.79,86.23,87.48,1018821,0.0
2016-09-15,87.15,87.18,86.21,86.75,1683381,0.0
2016-09-18,87.09,87.4,86.45,86.56,1167789,0.0
2016-09-19,87.12,88.09,86.93,87.78,1384278,0.0
2016-09-20,87.82,88.97,87.7092,88.87,1333485,0.0
2016-09-21,89.53,89.81,89.17,89.45,1200261,0.0
2016-09-22,88.65,89.24,88.4472,88.46,1048135,0.0
2016-09-25,87.91,88.45,87.86,88.19,751152,0.0
2016-09-26,88.28,89.07,88.1,88.96,920648,0.0
2016-09-27,89.09,89.09,87.11,87.44,1659836,0.0
2016-09-28,87.41,88.17,84.33,87.21,1215307,0.0
2016-09-29,87.33,88.49,87.17,88.2,1809450,0.0
2016-10-02,88.16,88.16,87.55,87.61,810660,0.0
2016-10-03,87.54,87.99,86.9499,87.18,1091157,0.0
2016-10-04,87.64,87.78,87.08,87.58,879500,0.0
2016-10-05,87.25,87.7,86.78,87.56,1023224,0.0
2016-10-06,87.79,87.79,86.86,87.38,1084124,0.0
2016-10-09,87.74,88.23,87.63,87.78,747958,0.0
2016-10-10,87.67,87.67,85.72,86.1,1514228,0.0
2016-10-11,86.28,87.1332,86.07,86.87,814631,0.0
2016-10-12,86.43,87.19,85.95,86.9,936820,0.0
2016-10-13,87.32,88.05,86.91,87.56,973638,0.0
2016-10-16,87.58,87.7,86.98,87.24,874891,0.0
2016-10-17,88.12,88.37,87.32,87.38,764296,0.0
2016-10-18,87.63,87.73,87.34,87.42,648770,0.0
2016-10-19,87.2,87.555,86.49,86.84,1120132,0.0
2016-10-20,86.49,86.82,85.48,86.71,934896,0.0
2016-10-23,87.34,87.81,87.19,87.67,728843,0.0
2016-10-24,87.55,87.75,87.2,87.51,945272,0.0
2016-10-25,87.26,87.74,87.02,87.2,941421,0.0
2016-10-26,87.36,87.43,86.6265,86.66,1183927,0.0
2016-10-27,86.74,87.65,86.6,87.15,1640348,0.0
2016-10-30,87.57,87.71,86.98,87.06,1719334,0.0
2016-10-31,87.3,87.5,86.53,86.89,2413278,0.0
2016-11-01,88.1,90.89,88.1,89.98,4608716,0.0
2016-11-02,89.97,90,88.91,89.33,2039024,0.0
2016-11-03,88.03,89.75,88.03,89.08,1600005,0.0
2016-11-06,90.35,90.8648,89.94,90.6,1612984,0.0
2016-11-07,90.75,91.6,90.5501,91.15,1222488,0.0
2016-11-08,88,91.2,87.58,90.9,2228985,0.0
2016-11-09,91.13,91.89,90.13,91.39,1793491,0.0
2016-11-10,90.94,91.945,90.45,91.08,1570605,0.0
2016-11-13,91.4,92.36,90.9,91.89,2219912,0.0
2016-11-14,92.13,92.62,91.88,92.34,1552746,0.0
2016-11-15,92.34,93.35,92,93.27,1505242,0.0
2016-11-16,93.15,94.43,93.09,94.4,1628945,0.0
2016-11-17,94.31,94.6,93.95,94.39,1093155,0.0
2016-11-20,94.47,95.62,94.38,95.59,1473071,0.0
2016-11-21,95.65,96.59,95.34,96.39,1894802,0.0
2016-11-22,96.59,97.43,96.47,96.65,2461434,0.0
2016-11-24,96.68,97.15,96.5,96.92,504934,0.0
2016-11-27,96.63,96.94,96,96.57,1296819,0.0
2016-11-28,96.71,97.37,96.43,97.05,1129776,0.0
2016-11-29,97.14,97.54,96.01,96.02,1538703,0.0
2016-11-30,95.99,96.195,95.2,95.78,1533846,0.0
2016-12-01,95.77,96.1,94.99,95.24,1190708,0.0
2016-12-04,95.86,96.2224,95.45,96.05,1624006,0.0
2016-12-05,96.15,96.45,95.15,96,1340932,0.0
2016-12-06,95.33,97.72,95.33,97.555,1608747,0.0
2016-12-07,97.53,98.359,97.36,98.19,1573239,0.0
2016-12-08,98.07,98.3047,97.57,98.21,1643831,0.0
2016-12-11,98.13,98.55,97.842,98.06,1311059,0.0
2016-12-12,98.64,99.25,98.04,98.4,1451825,0.0
2016-12-13,98.4,98.85,97.52,97.7,1273539,0.0
2016-12-14,97.82,99.13,97.51,98.75,1211433,0.0
2016-12-15,100.32,101.58,99.34,100.85,3769938,0.0
2016-12-18,100.72,101.6,100.58,101.1,1488276,0.0
2016-12-19,101.74,102.66,101.4,102.33,1646153,0.0
2016-12-20,102.26,102.82,101.69,102.47,1424840,0.0
2016-12-21,102.64,102.808,101.89,102.6,935151,0.0
2016-12-22,102.52,102.96,102.51,102.93,529749,0.0
2016-12-26,102.86,103.78,102.78,103.31,650178,0.0
2016-12-27,103.53,103.88,103.02,103.06,1211085,0.0
2016-12-28,103.27,103.85,103,103.47,783508,0.0
2016-12-29,103.38,103.44,102,102.78,1385803,0.0
2017-01-02,102.38,103.58,102.33,103.49,1601461,0.0
2017-01-03,103.41,103.98,103.25,103.66,1967631,0.0
2017-01-04,103.46,103.89,102.4,103.03,1642559,0.0
2017-01-05,103.23,103.27,99.59,103.11,1396379,0.0
2017-01-08,102.95,103.24,99.51,102.49,873979,0.0
2017-01-09,102.25,103.04,102.04,102.2,1254365,0.0
2017-01-10,102.27,103.58,99.47,103.19,1103310,0.0
2017-01-11,102.98,103.92,99.61,103.8,1186988,0.0
2017-01-12,103.77,104.09,100.41,103.77,1218620,0.0
2017-01-16,103.32,103.536,102.89,103.07,901666,0.0
2017-01-17,103.49,103.49,102.73,102.91,1101585,0.0
2017-01-18,102.79,103.265,102.7,102.97,1135548,0.0
2017-01-19,103,103.74,102.8,103.23,1165388,0.0
2017-01-22,102.81,103.1,101.86,102.2,1136984,0.0
2017-01-23,102.25,103.35,102.14,103.23,1298547,0.0
2017-01-24,103.46,103.65,102.38,102.7,1443033,0.0
2017-01-25,102.41,102.66,102,102.04,1299963,0.0
2017-01-26,101.44,102.15,101.18,101.71,1371602,0.0
2017-01-29,101.56,102.01,98.28,101.97,1203996,0.0
2017-01-30,101.79,102.1325,100.77,101,1470114,0.0
2017-01-31,96.03,97.32,94.11,95.24,6853761,0.0
2017-02-01,95.23,97.19,95.03,96.33,3320789,0.0
2017-02-02,97.21,97.4,96.51,96.86,2212180,0.0
2017-02-05,96.68,97.07,96.07,96.47,1370534,0.0
2017-02-06,96.5,96.86,95.91,96.27,1110830,0.0
2017-02-07,96.19,97.06,96.05,96.58,928136,0.0
2017-02-08,96.77,97.99,96.31,97.63,1162949,0.0
2017-02-09,97.7,98.3,97.46,97.81,878361,0.0
2017-02-12,98.06,98.6,98.06,98.58,1138787,0.0
2017-02-13,98.42,99.6,98.32,99.43,1263988,0.0
2017-02-14,98.89,99.655,98.54,99.64,1175774,0.0
2017-02-15,99.59,99.88,99.19,99.88,968193,0.0
2017-02-16,99.6,99.7,98.82,99.68,1065853,0.0
2017-02-20,99.39,99.59,98.75,99.22,1490586,0.0
2017-02-21,99.09,100.68,99.09,100.42,1256333,0.0
2017-02-22,100.79,101.78,100.49,101.63,1059371,0.0
2017-02-23,101.63,103.01,101.3,103,1332893,0.0
2017-02-26,102.93,103.14,102.47,102.7,862886,0.0
2017-02-27,102.68,102.81,102.24,102.62,1083487,0.0
