Date,Open,High,Low,Close,Volume,OpenInterest
2016-07-12,84.37,84.795,82.895,83.06,506382,0.0
2016-07-13,83.65,83.92,82.96,83.26,367025,0.0
2016-07-14,83.35,83.96,82,82.4,464315,0.0
2016-07-17,82.4,82.98,82.4,82.86,338192,0.0
2016-07-18,83.2,83.35,82.74,82.98,371618,0.0
2016-07-19,83.59,83.91,83.34,83.42,480479,0.0
2016-07-20,83.68,84.115,82.31,82.73,448521,0.0
2016-07-21,83,84.6,82.6,84.59,379268,0.0
2016-07-24,84.63,84.67,83.77,84.18,282036,0.0
2016-07-25,84.15,85.66,84.15,85.61,355244,0.0
2016-07-26,85.57,85.77,84.561,85.15,286419,0.0
2016-07-27,85.36,86.2,84.4,85.28,865794,0.0
2016-07-28,85.25,89.58,85.2,89.13,1567206,0.0
2016-07-31,89.49,90.0972,88.65,89.69,429221,0.0
2016-08-01,89.07,90.61,88.97,90.37,651819,0.0
2016-08-02,90.52,92.04,90.01,91.96,838308,0.0
2016-08-03,91.98,92.4,90.68,91.71,957057,0.0
2016-08-04,92,92.61,91.42,91.81,744275,0.0
2016-08-07,92.21,92.4,91.47,91.8,668837,0.0
2016-08-08,91.98,93.27,91.87,93.17,540830,0.0
2016-08-09,93.47,93.9,93.12,93.37,600409,0.0
2016-08-10,93.38,95.05,93.37,94.63,466791,0.0
2016-08-11,94.84,95.78,94.56,95.64,754288,0.0
2016-08-14,95.23,96.13,94.86,96.01,537952,0.0
2016-08-15,95.83,95.97,94.63,94.72,212995,0.0
2016-08-16,94.82,95,92.3322,93.05,929795,0.0
2016-08-17,92.49,95.23,92.49,94.71,749925,0.0
2016-08-18,94.47,95.59,94.02,94.82,271937,0.0
2016-08-21,94.52,95.4,94.22,94.4,438392,0.0
2016-08-22,94.5,94.6,93.27,93.62,628392,0.0
2016-08-23,93.6,93.63,92.18,92.39,619634,0.0
2016-08-24,92.4,92.71,90.57,92.02,829749,0.0
2016-08-25,92.1,93.79,92.1,92.66,507691,0.0
2016-08-28,92.98,93.82,92.74,93.4399,468058,0.0
2016-08-29,93.51,93.72,92.45,93.19,739513,0.0
2016-08-30,93.05,93.44,92.34,92.9,538794,0.0
2016-08-31,93.2,93.92,92.4,93.76,535057,0.0
2016-09-01,94.43,95.94,94.43,95.78,682425,0.0
2016-09-05,96.23,96.5681,94.39,95.26,453044,0.0
2016-09-06,95.38,96.48,95.38,96.28,652054,0.0
2016-09-07,96.07,96.9,95.2,95.39,340715,0.0
2016-09-08,94.57,95.437,91.51,91.79,797704,0.0
2016-09-11,91.57,93.35,91.02,93.14,807921,0.0
2016-09-12,92.61,93.6025,91.32,92.01,461130,0.0
2016-09-13,92.1,92.59,91.45,92.34,466601,0.0
2016-09-14,92.72,93.59,92.04,92.92,722650,0.0
2016-09-15,92.86,94.1,92.47,93.89,557030,0.0
2016-09-18,93.89,95.44,93.5,94.14,379552,0.0
2016-09-19,94.79,94.98,93.67,93.7,785088,0.0
2016-09-20,93.76,95.7,93.47,95.32,1018212,0.0
2016-09-21,95.98,96.23,95.46,95.71,964465,0.0
2016-09-22,95.3,95.55,93.7266,94.12,317032,0.0
2016-09-25,94.07,94.13,92.86,93.1,395690,0.0
2016-09-26,93.49,94.6499,93.07,94.44,392488,0.0
2016-09-27,94.54,94.7,93.59,94.57,233325,0.0
2016-09-28,94.51,94.51,91.64,92.41,410050,0.0
2016-09-29,92.5,94.52,92.33,93.75,396451,0.0
2016-10-02,92.04,92.3015,88.2,90.2,1278844,0.0
2016-10-03,90.58,91.68,88.75,89.45,633675,0.0
2016-10-04,89.51,90.34,89.18,89.47,582203,0.0
2016-10-05,89.09,90.145,88.92,89.5,692606,0.0
2016-10-06,89.77,90,88.5,89.68,450356,0.0
2016-10-09,89.71,92.18,89.71,91.09,433763,0.0
2016-10-10,91.32,92.04,88.8,89.61,498485,0.0
2016-10-11,90.02,90.5629,89.11,90.26,396829,0.0
2016-10-12,89.96,91.44,89.4201,90.93,514043,0.0
2016-10-13,91.05,91.82,90.57,90.86,478023,0.0
2016-10-16,90.63,91.2699,89.35,89.79,508051,0.0
2016-10-17,90.9,91.18,90.29,90.415,430328,0.0
2016-10-18,91.11,91.52,90.245,91,396373,0.0
2016-10-19,91,91.61,90.67,91.53,286454,0.0
2016-10-20,90.5,90.62,88.86,89.49,719711,0.0
2016-10-23,90,91.05,89.04,89.25,650843,0.0
2016-10-24,89.99,89.99,87.12,87.51,562833,0.0
2016-10-25,87,87,84.18,84.52,977400,0.0
2016-10-26,84.9,84.9,83.2701,84.14,619711,0.0
2016-10-27,83.8,86.63,83.3,85.09,600326,0.0
2016-10-30,85.31,86.345,83.63,85.91,1140776,0.0
2016-10-31,85.86,86.73,83.77,84.54,1096054,0.0
2016-11-01,84.48,86.725,84.21,85.15,890943,0.0
2016-11-02,85.71,87.01,85.42,86.07,402904,0.0
2016-11-03,86.09,86.535,85.56,85.74,573633,0.0
2016-11-06,87.14,88.69,86.38,87.735,987204,0.0
2016-11-07,89.89,91.96,86.72,88.79,1903138,0.0
2016-11-08,87.77,91.38,87.19,90.92,922955,0.0
2016-11-09,91.77,92.62,88.74,90.6,678567,0.0
2016-11-10,90.51,92.15,89.82,91.56,700083,0.0
2016-11-13,92.06,92.87,89.99,90.21,843359,0.0
2016-11-14,90.52,94.56,90.52,93.95,1104569,0.0
2016-11-15,93.42,95.34,93.21,94.04,780016,0.0
2016-11-16,93.75,97.28,93.72,97.27,1057220,0.0
2016-11-17,97.73,98.62,94.8,94.83,725402,0.0
2016-11-20,94.75,97.102,94.25,96.19,707128,0.0
2016-11-21,95,95.11,93.19,94.46,932947,0.0
2016-11-22,94.05,96.08,94.05,95.56,610080,0.0
2016-11-24,96.44,96.88,95.73,96.19,387440,0.0
2016-11-27,96.33,98.11,95.01,95.33,797721,0.0
2016-11-28,95.95,96.225,94.94,95.51,835162,0.0
2016-11-29,95,95.45,92.31,93.05,1391887,0.0
2016-11-30,93.12,93.68,91.46,92.52,1089896,0.0
2016-12-01,92.3,94.16,92.25,92.47,621586,0.0
2016-12-04,93.26,94.71,93.2101,94.08,663687,0.0
2016-12-05,94.65,96.37,92.74,96.25,777174,0.0
2016-12-06,98.17,98.22,95.25,98.12,824252,0.0
2016-12-07,97.89,99.58,97.47,99.32,653380,0.0
2016-12-08,99.84,100.67,98.4298,98.57,1002689,0.0
2016-12-11,97.99,99.48,97.62,98.55,843322,0.0
2016-12-12,99.69,100.495,97.94,99.15,590389,0.0
2016-12-13,99.05,99.93,98.0501,98.6,460025,0.0
2016-12-14,98.93,100.5899,98.25,100.26,647578,0.0
2016-12-15,100.18,101.79,100.02,101.13,805059,0.0
2016-12-18,101.56,102.1,100.09,100.25,467773,0.0
2016-12-19,100.13,100.8,99.05,99.39,458122,0.0
2016-12-20,99.76,99.76,98.351,98.65,399857,0.0
2016-12-21,98.93,99.16,97.99,98.2,460588,0.0
2016-12-22,98.39,98.69,97.91,98.47,310713,0.0
2016-12-26,98.71,99.45,98.59,98.64,305296,0.0
2016-12-27,98.6,99.24,96.5,96.81,388460,0.0
2016-12-28,97.09,97.59,96.55,96.95,330080,0.0
2016-12-29,97.12,97.35,95.84,96.08,286134,0.0
2017-01-02,96.49,98.33,95.801,96.94,668452,0.0
2017-01-03,96.85,98.82,96.8,97.76,465793,0.0
2017-01-04,97.52,97.77,94.41,94.8,515486,0.0
2017-01-05,94.82,95.74,93.6,94.08,801024,0.0
2017-01-08,94.13,95.87,93.51,94.81,444442,0.0
2017-01-09,94.61,96.79,94.15,96.11,566594,0.0
2017-01-10,96.07,96.76,95.06,96.01,417552,0.0
2017-01-11,95.57,95.85,94.4,95.58,403922,0.0
2017-01-12,95.65,96.64,95.2791,96.01,408383,0.0
2017-01-16,95.47,96.27,94.63,95.325,403930,0.0
2017-01-17,95.79,96.11,93.83,94.4,558933,0.0
2017-01-18,91.51,91.85,90.21,90.54,1726975,0.0
2017-01-19,90.89,92.025,90.86,91.69,636843,0.0
2017-01-22,91.58,92.47,91.44,92.04,526479,0.0
2017-01-23,92.53,92.67,90.78,91.65,662041,0.0
2017-01-24,91.88,93.6,91.76,93.44,316659,0.0
2017-01-25,93.46,93.58,91.84,92.23,482966,0.0
2017-01-26,91.67,92.47,89.9601,90.93,1355761,0.0
2017-01-29,89.64,90.09,88.56,89.96,1144272,0.0
2017-01-30,89.72,91.75,89.32,91.7,1262703,0.0
2017-01-31,97,102,95.43,97.25,3305612,0.0
2017-02-01,97.38,98.54,94.72,95.12,1418399,0.0
2017-02-02,95.43,96.52,94.14,95.83,890172,0.0
2017-02-05,96,96.24,93.3,93.85,1053146,0.0
2017-02-06,94.31,94.5,93.09,93.65,790348,0.0
2017-02-07,93.25,94.19,92.61,94.18,454750,0.0
2017-02-08,94.2,96.49,94.2,95.99,520452,0.0
2017-02-09,95.96,97.22,95.17,96.94,576426,0.0
2017-02-12,96.92,98.02,96.4001,97.64,456337,0.0
2017-02-13,97.67,99.28,97.31,98.39,465374,0.0
2017-02-14,98.27,100.12,98.15,99.96,461182,0.0
2017-02-15,100,100.76,99.591,100.42,607946,0.0
2017-02-16,100.35,101.83,99.6,101.77,520291,0.0
2017-02-20,102.28,102.9,101.06,101.88,405835,0.0
2017-02-21,100.61,101.195,100.025,101.09,569381,0.0
2017-02-22,101.21,101.65,100.24,101.16,322028,0.0
2017-02-23,100.57,103.04,100.57,102.9,574606,0.0
2017-02-26,102.57,103.24,102.11,102.27,476780,0.0
2017-02-27,102.27,103.83,102.27,102.76,497599,0.0
2017-02-28,103.77,104.42,102.67,103.83,579928,0.0
2017-03-01,104.09,104.53,103.16,104.14,431923,0.0
2017-03-02,104.2,104.6699,103.12,104.03,353576,0.0
2017-03-05,104.1,104.7,102.18,102.74,605857,0.0
2017-03-06,102.47,103.82,102.02,103.17,445262,0.0
2017-03-07,103.65,104.59,103.39,103.73,233414,0.0
2017-03-08,104.09,105.5899,103.2204,105.36,354041,0.0
2017-03-09,105.84,105.92,104.395,105.31,338425,0.0
2017-03-12,105.47,108.27,105.47,107.99,506208,0.0
2017-03-13,107.84,107.98,106.62,107.48,363607,0.0
2017-03-14,107.59,110.87,107.12,110.31,843155,0.0
2017-03-15,110.65,111.3955,109.76,110.48,461401,0.0
2017-03-16,110.89,113,110.56,111.84,738098,0.0
2017-03-19,112.25,113.31,111.65,113.21,713130,0.0
2017-03-20,113.77,114.29,110.58,111.06,720246,0.0
2017-03-21,110.95,112.49,110.31,111.99,402486,0.0
2017-03-22,111.93,113.33,111.35,112.55,392373,0.0
2017-03-23,112.64,114.99,112.64,113.88,524137,0.0
2017-03-26,113.42,114.49,112.21,114.03,371780,0.0
2017-03-27,113.76,114.35,113.215,113.93,278168,0.0
2017-03-28,113.81,114.92,113.252,114.27,226735,0.0
2017-03-29,114.59,114.98,113.75,113.96,451085,0.0
2017-03-30,113.7,115.2,113.46,114.71,386578,0.0
2017-04-02,115.13,116.75,114.8,116.36,828976,0.0
2017-04-03,116.56,116.99,115.25,115.61,427515,0.0
2017-04-04,115.94,116.45,114.72,114.79,336820,0.0
2017-04-05,114.77,115.48,114.18,115.19,413186,0.0
2017-04-06,114.76,115.74,114.66,114.71,392873,0.0
2017-04-09,115.25,115.25,114.27,114.73,300867,0.0
2017-04-10,114.82,115.25,114.1,114.98,287371,0.0
2017-04-11,115.16,115.5,113.93,114.1,280018,0.0
2017-04-12,113.97,114.72,113.4,113.72,288446,0.0
2017-04-16,113.96,115.31,113.74,115.16,257304,0.0
2017-04-17,114.94,116.4,114.74,116.28,297970,0.0
2017-04-18,116.65,117.98,116.574,117.53,362373,0.0
2017-04-19,117.5,119.19,116.3201,118.88,540561,0.0
2017-04-20,119.1,120.02,118.08,118.44,598011,0.0
2017-04-23,120.02,120.875,119.05,120.31,645998,0.0
2017-04-24,121.47,121.79,118.37,118.75,881507,0.0
2017-04-25,119.24,120.06,118.45,119.74,422177,0.0
2017-04-26,119.96,120.415,119.16,120.01,945124,0.0
2017-04-27,139.78,145.24,133.71,134.5,3786115,0.0
2017-04-30,135.39,136.33,133.03,133.73,1019329,0.0
2017-05-01,133.56,135.3,133.38,134.1,1401711,0.0
2017-05-02,134.5,135.84,131.32,131.97,1455708,0.0
2017-05-03,132.21,142.18,132.02,141.89,1719674,0.0
2017-05-04,141.69,141.85,137.7687,138,1143300,0.0
2017-05-07,138.25,138.77,136.32,137,1120877,0.0
2017-05-08,137.97,138.97,137.23,138.17,549293,0.0
2017-05-09,137.96,138.355,135.81,137,852161,0.0
2017-05-10,136.51,137.61,135.85,137.47,434264,0.0
2017-05-11,137.24,139.229,137.14,138.68,460386,0.0
2017-05-14,138.9,139.95,138.16,138.49,453108,0.0
2017-05-15,138.83,139.12,137.5,138.61,477578,0.0
2017-05-16,137.53,137.68,134.68,136.12,562328,0.0
2017-05-17,136,138.84,135.59,137.66,732297,0.0
2017-05-18,138,138.99,137.7,138.43,623354,0.0
2017-05-21,139.23,139.42,138.04,138.1,722299,0.0
2017-05-22,137.93,138.31,136.26,138.23,590185,0.0
2017-05-23,138.78,139.26,137.78,138.63,854873,0.0
2017-05-24,138.71,141.94,138.71,141.4,1666111,0.0
2017-05-25,141.4,143.09,140.24,142.11,1015787,0.0
2017-05-29,142.56,144.45,141.7,143.33,588847,0.0
2017-05-30,144.59,146,142.6,145.18,786184,0.0
2017-05-31,146.36,147,144.04,145.92,665464,0.0
2017-06-01,146.57,150.355,146.52,149.7,880843,0.0
2017-06-04,150,150.56,148.6,148.83,626348,0.0
2017-06-05,148.74,149.53,147.4,148.63,419825,0.0
2017-06-06,149.15,149.64,148.57,149.12,469518,0.0
2017-06-07,149.25,151.91,148.46,151.86,475631,0.0
2017-06-08,152.16,153.93,146.11,148.83,876896,0.0
2017-06-11,147.34,147.79,139,143.41,1800288,0.0
2017-06-12,144.17,146.03,142.04,144.37,756077,0.0
2017-06-13,145.38,145.81,142.99,144.29,645795,0.0
2017-06-14,142.95,144.17,142.01,144.01,696861,0.0
2017-06-15,144.78,145.51,144.01,145.04,1437272,0.0
2017-06-18,146.32,152.14,146.3,149.7,1240699,0.0
2017-06-19,150.08,150.84,146.77,146.96,640858,0.0
2017-06-20,147.16,149.77,147.1525,149.41,465271,0.0
2017-06-21,150.07,150.98,148.85,149.64,494807,0.0
2017-06-22,154.85,154.85,151.24,153.5,1325211,0.0
2017-06-25,153.66,154.79,151.45,151.62,516381,0.0
2017-06-26,151.15,152.83,148.94,149.34,599029,0.0
2017-06-27,150.19,152.59,149.62,152.23,531727,0.0
2017-06-28,151.5,152.09,148.011,148.62,538332,0.0
2017-06-29,148.33,150.95,148.33,150.08,398693,0.0
2017-07-02,151.06,152.23,148.95,149.03,240183,0.0
2017-07-04,151.52,152.8,149.16,151.93,378136,0.0
2017-07-05,151.12,151.48,149.5,149.78,386351,0.0
2017-07-06,150.98,152.8,150.66,151.91,327319,0.0
2017-07-09,152.1,153.48,150.56,151.58,365016,0.0
2017-07-10,151.56,152.26,150.33,151.54,526044,0.0
2017-07-11,152.07,152.93,151.14,152.48,506394,0.0
2017-07-12,153.13,153.65,150.76,152.16,291060,0.0
2017-07-13,152.14,154.82,152.12,154.3,397684,0.0
2017-07-16,155.01,157.86,154.9,156.24,692483,0.0
2017-07-17,155.99,156.75,155.11,156.03,337317,0.0
2017-07-18,157.09,159.45,156.76,159.27,661108,0.0
2017-07-19,159.5,160.54,158.1,160.19,691970,0.0
2017-07-20,160.31,160.93,158.42,158.86,620174,0.0
2017-07-23,158.67,161.81,158.65,161.22,581413,0.0
2017-07-24,161.77,161.81,158.45,158.56,793312,0.0
2017-07-25,158.66,159.929,157.37,158.69,571441,0.0
2017-07-26,160.52,160.6484,155.55,157.49,1140083,0.0
2017-07-27,168.1,173.79,160.37,172.98,1990741,0.0
2017-07-30,173.34,173.75,166.11,167.23,935209,0.0
2017-07-31,167.41,171.65,167.37,169.41,985692,0.0
2017-08-01,170.28,170.57,166.38,168,530175,0.0
2017-08-02,168.09,170.62,167.59,170.455,572847,0.0
2017-08-03,170.88,170.999,168.57,169.3,351031,0.0
2017-08-06,169.49,174.82,169.49,174.02,787461,0.0
2017-08-07,173.89,176.84,173.35,173.62,839427,0.0
2017-08-08,173.84,176.44,172.37,175.77,761032,0.0
2017-08-09,174.92,174.92,171.15,171.23,792339,0.0
2017-08-10,171.76,175.16,171.48,173.55,538718,0.0
2017-08-13,173.91,175.3569,173.68,174.15,426844,0.0
2017-08-14,174.65,178.58,174.18,177.96,579792,0.0
2017-08-15,178.89,179.7619,176.8074,178.37,443865,0.0
2017-08-16,177.9,177.9,169.13,169.33,1445322,0.0
2017-08-17,169.96,172.18,167.2738,168.56,1088931,0.0
2017-08-20,168.51,169.6399,165.179,167.95,657780,0.0
2017-08-21,167.97,173,166.64,172.51,647424,0.0
