Date,Open,High,Low,Close,Volume,OpenInterest
2016-07-13,103.73,103.85,102.6,103.06,670542,0.0
2016-07-14,101.25,101.94,101.19,101.63,356751,0.0
2016-07-17,102.75,103.37,102.46,103.15,398319,0.0
2016-07-18,103.27,106.3,103.16,105.61,1932984,0.0
2016-07-19,107.58,108.345,107.06,108.16,1085456,0.0
2016-07-20,105.41,106.37,104.96,105.52,1011457,0.0
2016-07-21,105.55,105.86,105.19,105.63,339652,0.0
2016-07-24,106.19,106.57,105.93,106.46,330531,0.0
2016-07-25,107.44,108.91,107.31,108.82,719287,0.0
2016-07-26,109.64,109.91,108.38,109.54,544520,0.0
2016-07-27,109.87,110.21,109.49,110.11,335225,0.0
2016-07-28,110.49,110.85,109.31,109.68,999180,0.0
2016-07-31,109.62,110.15,109.29,109.685,329670,0.0
2016-08-01,109.57,109.59,108.776,109.37,257645,0.0
2016-08-02,107.95,108.75,107.89,108.45,344719,0.0
2016-08-03,109.7,110.23,109.54,110.03,228954,0.0
2016-08-04,109.95,110.66,109.4,109.6,422249,0.0
2016-08-07,109.25,109.56,109.04,109.22,298117,0.0
2016-08-08,109.46,110.11,109.46,109.85,154078,0.0
2016-08-09,110.31,110.4,109.21,109.52,370045,0.0
2016-08-10,110.66,111.04,110.1201,110.705,414293,0.0
2016-08-11,110.94,111.13,109.99,110.26,306652,0.0
2016-08-14,111.28,111.58,110.79,110.84,217899,0.0
2016-08-15,110.83,110.94,107.01,107.98,1253375,0.0
2016-08-16,105.31,105.79,104.73,105.45,1796158,0.0
2016-08-17,106.12,106.52,105.72,106.04,415303,0.0
2016-08-18,106.8,106.97,106.27,106.74,445204,0.0
2016-08-21,106.98,107.35,106.56,107.17,418716,0.0
2016-08-22,108.66,109.14,108.21,108.5,606888,0.0
2016-08-23,107.72,107.85,106.46,106.69,391417,0.0
2016-08-24,106.56,106.79,106.25,106.46,190010,0.0
2016-08-25,106.77,107.98,105.53,106.31,288996,0.0
2016-08-28,106.24,107.12,106.24,107.08,224085,0.0
2016-08-29,108.69,108.73,107.33,107.53,286689,0.0
2016-08-30,106.83,106.94,105.9,106.57,250347,0.0
2016-08-31,106.32,107.53,106.27,107.5,361138,0.0
2016-09-01,108.09,108.25,107.48,107.86,194786,0.0
2016-09-05,107.78,108.04,107.48,107.93,281569,0.0
2016-09-06,108.01,108.3,106.06,106.35,860155,0.0
2016-09-07,104.14,104.74,103.64,104.11,545065,0.0
2016-09-08,103.17,103.48,101.7,101.78,653480,0.0
2016-09-11,101.03,103.27,100.93,103.13,370798,0.0
2016-09-12,102.5,102.98,101.47,101.77,386767,0.0
2016-09-13,100.97,102.29,100.83,101.93,487874,0.0
2016-09-14,102.32,103.869,102.095,103.65,690970,0.0
2016-09-15,101.98,102.49,101.37,102.19,595962,0.0
2016-09-18,103.22,104.18,103.2,103.37,332498,0.0
2016-09-19,104.7,105.28,104.32,104.89,535016,0.0
2016-09-20,105.69,106.87,105.41,106.69,438327,0.0
2016-09-21,109.07,109.56,108.65,108.79,442926,0.0
2016-09-22,108.81,109.26,108.42,108.585,381197,0.0
2016-09-25,108.5,109.17,108.28,108.77,375710,0.0
2016-09-26,107.96,109.8026,107.84,109.61,448270,0.0
2016-09-27,109.27,110.04,108.87,109.86,239769,0.0
2016-09-28,109.27,109.74,107.55,108.75,400306,0.0
2016-09-29,109.19,110.14,109.02,109.57,245676,0.0
2016-10-02,109.36,109.61,108.54,109.02,266881,0.0
2016-10-03,109.39,109.85,108.61,108.91,215176,0.0
2016-10-04,109.1,109.3,108.71,108.82,194882,0.0
2016-10-05,108.27,108.99,107.81,108.8,293276,0.0
2016-10-06,107.04,107.17,105.36,106.37,550544,0.0
2016-10-09,107.63,107.74,106.99,107,565271,0.0
2016-10-10,105.61,105.64,102.414,102.68,776913,0.0
2016-10-11,102.31,102.67,101.42,102.58,576169,0.0
2016-10-12,100.59,100.65,100.04,100.4,625465,0.0
2016-10-13,101.58,102.11,100.95,101.15,238850,0.0
2016-10-16,100.62,101.34,100.51,101.18,325780,0.0
2016-10-17,102.51,102.577,101.83,102.39,825685,0.0
2016-10-18,104.75,104.75,103.2,104.08,651420,0.0
2016-10-19,102.52,103.62,102.47,103.59,590206,0.0
2016-10-20,103.47,105.32,103.4,105.28,745114,0.0
2016-10-23,104.92,105.42,104.77,105.28,537828,0.0
2016-10-24,104.68,105.16,104.13,104.5,306125,0.0
2016-10-25,104.47,104.73,103.73,103.88,304931,0.0
2016-10-26,105.18,105.27,103.86,104.06,340722,0.0
2016-10-27,104.86,105.95,104.69,105.4,673523,0.0
2016-10-30,105.51,106.36,104.94,105.64,364850,0.0
2016-10-31,105.65,105.68,103.29,103.91,799839,0.0
2016-11-01,104.01,104.73,103.67,104.05,393170,0.0
2016-11-02,103.35,103.6,101.78,101.79,463218,0.0
2016-11-03,102.22,103.01,101.48,102.5,710407,0.0
2016-11-06,103.8,104.76,103.6,104.71,322777,0.0
2016-11-07,103.58,105.22,103.53,104.82,308500,0.0
2016-11-08,102.33,103.815,102.33,103.69,384242,0.0
2016-11-09,102.78,103.41,100.71,101.41,473726,0.0
2016-11-10,99.7,100.51,98.72,100.24,719808,0.0
2016-11-13,98.94,99.77,98.71,99.21,390345,0.0
2016-11-14,99.12,100.28,98.75,100.02,394165,0.0
2016-11-15,99.2,100.77,99.15,100.7,601819,0.0
2016-11-16,101.24,102.85,101.19,102.56,445060,0.0
2016-11-17,103.58,104.75,103.38,104.6,603681,0.0
2016-11-20,104.09,105.11,104.02,105.08,397039,0.0
2016-11-21,105.45,105.61,104.795,105.32,522997,0.0
2016-11-22,104.48,105.35,104.25,105.11,289389,0.0
2016-11-24,103.99,104.46,103.765,104.14,211428,0.0
2016-11-27,103.3,103.91,103.22,103.69,257672,0.0
2016-11-28,102.88,104.01,102.71,103.84,361497,0.0
2016-11-29,103.77,103.82,102.93,103.1,351958,0.0
2016-11-30,102.67,102.74,99.68,100.03,629864,0.0
2016-12-01,99.01,100.3,98.84,99.75,548100,0.0
2016-12-04,102.29,103.02,101.685,102.91,510456,0.0
2016-12-05,101.89,102.9,101.79,102.71,319622,0.0
2016-12-06,101.98,103.92,101.83,103.55,449006,0.0
2016-12-07,103.19,103.73,102.65,103.12,351373,0.0
2016-12-08,102.92,103.11,102.09,102.69,300073,0.0
2016-12-11,103.17,103.34,102.41,102.89,243325,0.0
2016-12-12,104.11,104.86,104,104.66,239282,0.0
2016-12-13,104.58,104.94,103.53,103.66,310549,0.0
2016-12-14,104.47,105.39,104.32,104.96,410689,0.0
2016-12-15,106.26,106.72,105.96,106.24,546914,0.0
2016-12-18,108.36,110.48,108.36,110.22,1288401,0.0
2016-12-19,109.37,109.8,109.11,109.65,487742,0.0
2016-12-20,110.03,110.32,109.72,110.08,291558,0.0
2016-12-21,110.36,110.42,109.7401,109.98,267432,0.0
2016-12-22,110.42,110.85,110.27,110.72,152609,0.0
2016-12-26,110.79,111.63,110.79,111.52,183271,0.0
2016-12-27,110.81,111.31,110.43,110.79,402791,0.0
2016-12-28,110.97,111.37,110.7,111.14,406685,0.0
2016-12-29,112.06,112.66,111.27,112.2,598372,0.0
2017-01-02,110.98,111.28,110.145,110.47,541018,0.0
2017-01-03,109.84,110.35,109.62,109.92,418422,0.0
2017-01-04,110.8,111.9,110.75,111.27,302213,0.0
2017-01-05,110.56,111.61,110.3,111.15,295095,0.0
2017-01-08,111.02,112.73,111.01,112.47,414644,0.0
2017-01-09,112.58,113.13,112.58,112.63,307114,0.0
2017-01-10,112.25,113.51,112.19,113.46,325186,0.0
2017-01-11,113.94,114.82,113,114.8,564569,0.0
2017-01-12,114.77,115.54,114.75,115.3,514049,0.0
2017-01-16,115.63,116.32,114.89,115.91,1060508,0.0
2017-01-17,122.13,125.8799,121.94,122.94,3049869,0.0
2017-01-18,120.86,121.99,120.46,121.84,1047829,0.0
2017-01-19,121.52,122.31,121.52,122.05,406609,0.0
2017-01-22,121.97,122.32,120.6,122.19,873672,0.0
2017-01-23,122.28,123,122.06,122.54,599912,0.0
2017-01-24,122.51,122.97,122.27,122.74,366101,0.0
2017-01-25,121.3,122.16,121.07,121.16,499088,0.0
2017-01-26,121.44,122.08,121.04,121.75,457159,0.0
2017-01-29,120.91,121.86,120.02,121.71,648031,0.0
2017-01-30,121.64,122,120.99,121.39,591057,0.0
2017-01-31,121.65,122.11,121,121.3,614524,0.0
2017-02-01,123.09,123.19,122.29,122.74,528894,0.0
2017-02-02,122.91,123.5799,122.87,123.01,292105,0.0
2017-02-05,122.24,122.63,121.87,122.22,201736,0.0
2017-02-06,122.03,123.57,121.87,123.25,484587,0.0
2017-02-07,123.41,124.26,122.99,124.08,740930,0.0
2017-02-08,124.41,125.55,124.32,124.55,456023,0.0
2017-02-09,124.8,125.25,124.15,124.86,247150,0.0
2017-02-12,126.14,126.64,125.75,126.51,377151,0.0
2017-02-13,126.08,126.5,125.62,126.25,564757,0.0
2017-02-14,125.45,127.28,125.3,127.26,467053,0.0
2017-02-15,126.55,127.44,126.48,127.27,587945,0.0
2017-02-16,125.84,126.8799,125.82,126.86,533769,0.0
2017-02-20,125.28,127.6,125.25,127.59,1188859,0.0
2017-02-21,125.1,125.51,123.58,123.96,1162070,0.0
2017-02-22,124.53,124.62,123.25,123.79,595699,0.0
2017-02-23,122.29,122.95,121.64,122.5,973500,0.0
2017-02-26,122.29,123.02,122.08,123,572015,0.0
2017-02-27,121.5,122.22,121.41,121.71,617902,0.0
2017-02-28,122.5,123.92,122.43,123.51,732968,0.0
2017-03-01,121.78,122.55,121.48,121.56,456967,0.0
2017-03-02,122.76,122.99,121.83,122.99,482482,0.0
2017-03-05,121.25,121.91,120.78,121.64,379522,0.0
2017-03-06,121.25,121.39,119.83,119.96,812101,0.0
2017-03-07,120.82,121.17,120.34,120.73,442034,0.0
2017-03-08,121.18,121.54,120.66,121.24,281650,0.0
2017-03-09,124.41,125.11,123.94,125,702686,0.0
2017-03-12,123.56,124.46,123.43,124.24,464491,0.0
2017-03-13,124.77,124.8299,123.86,123.98,346585,0.0
2017-03-14,124.85,126.31,124.58,126.03,488787,0.0
2017-03-15,124.89,126.25,124.81,126.23,345740,0.0
2017-03-16,127.19,128.43,126.93,127.85,530848,0.0
2017-03-19,128.84,129.16,127.98,128.27,298496,0.0
2017-03-20,129.69,129.8,126.15,126.4,657112,0.0
2017-03-21,127.07,129.24,127.01,128.93,354427,0.0
2017-03-22,129.2,129.7,128.8,129.23,189464,0.0
2017-03-23,133.28,133.549,131.96,132.24,987291,0.0
2017-03-26,132.81,133.2,132.36,132.78,571405,0.0
2017-03-27,133.38,134.29,133.12,133.8,755228,0.0
2017-03-28,133.16,133.46,132.54,132.9,270808,0.0
2017-03-29,132.39,133.185,132.34,132.62,258697,0.0
2017-03-30,132.27,133.199,132.12,132.84,334547,0.0
2017-04-02,132.35,132.75,131.18,132.18,272539,0.0
2017-04-03,132.3,132.775,131.851,132.73,370039,0.0
2017-04-04,131.6,132.01,130.92,131.06,400919,0.0
2017-04-05,130.95,131.24,130.55,130.98,313359,0.0
2017-04-06,130.54,131.65,130.53,131.2,312574,0.0
2017-04-09,130.71,130.79,129.6901,129.89,554739,0.0
2017-04-10,129.64,129.85,128.31,129.84,447885,0.0
2017-04-11,129.75,129.97,128.3,129.05,329013,0.0
2017-04-12,129.01,129.88,128.34,128.4,351892,0.0
2017-04-16,128.89,130.29,128.89,130.2,252356,0.0
2017-04-17,130.38,130.96,129.8,130.65,650429,0.0
2017-04-18,133.11,133.71,126.04,126.89,2026499,0.0
2017-04-19,130.1,130.82,129.29,130.04,1175818,0.0
2017-04-20,130.35,130.49,129.72,130.03,517251,0.0
2017-04-23,133.68,134.29,132.71,133.49,534152,0.0
2017-04-24,134.9,134.95,133.86,134.24,553926,0.0
2017-04-25,133.04,133.43,132,132.45,494109,0.0
2017-04-26,132.66,133.89,132.351,132.95,334148,0.0
2017-04-27,133.13,133.17,131.61,131.86,534807,0.0
2017-04-30,132.05,133.01,131.72,132.82,192710,0.0
2017-05-01,133.98,135.05,133.73,135,593221,0.0
2017-05-02,133.81,134.96,133.74,134.17,458227,0.0
2017-05-03,133.75,135.39,133.74,135.13,341690,0.0
2017-05-04,134.61,135.92,134.47,135.84,379807,0.0
2017-05-07,133.55,133.775,133.07,133.25,376116,0.0
2017-05-08,134.3,135.15,134.24,134.95,361649,0.0
2017-05-09,134.05,134.5,133.51,133.75,426096,0.0
2017-05-10,133.23,134.27,132.82,134.22,451257,0.0
2017-05-11,134.11,135.47,134.1,135.47,269269,0.0
2017-05-14,135.41,136.1599,135.21,135.69,335518,0.0
2017-05-15,136.88,137.27,136.5,137.21,271125,0.0
2017-05-16,135.66,135.97,132.8,132.88,449566,0.0
2017-05-17,132.6,134.28,132.31,133.98,476647,0.0
2017-05-18,135,135.43,134.53,134.85,370082,0.0
2017-05-21,133.98,134.52,133.67,134.2,443127,0.0
2017-05-22,134.64,134.81,133.72,133.91,360798,0.0
2017-05-23,133.97,134.28,133.17,133.46,516489,0.0
2017-05-24,133.49,135.02,133.49,134.92,319882,0.0
2017-05-25,133.86,134.63,133.55,134.19,571152,0.0
2017-05-29,133.06,133.81,133,133.42,635740,0.0
2017-05-30,133.06,133.34,131.62,131.95,596177,0.0
2017-05-31,132.9,133.83,132.561,133.75,477672,0.0
2017-06-01,134.62,134.79,133.55,134.7,247213,0.0
2017-06-04,132.9,133.83,132.78,133.18,406389,0.0
2017-06-05,132.36,133.32,132.34,132.63,400585,0.0
2017-06-06,133.79,134.46,133.1,134,299897,0.0
2017-06-07,134.51,135.09,133.66,134.98,226077,0.0
2017-06-08,134.23,134.45,128.66,130.03,868205,0.0
2017-06-11,129.22,129.57,126.03,129.01,1288351,0.0
