Date,Open,High,Low,Close,Volume,OpenInterest
2016-07-13,88.19,89.643,86.16,89.07,1197661,0.0
2016-07-14,89.79,94.75,89.19,92.07,2570929,0.0
2016-07-17,92.23,94.38,89.57,92.85,2032568,0.0
2016-07-18,93.49,94,90.2,90.44,921669,0.0
2016-07-19,91.57,94.015,90.66,93.76,1220978,0.0
2016-07-20,92,94.87,91.91,93.36,1587062,0.0
2016-07-21,93.78,95.485,93.36,93.58,1035697,0.0
2016-07-24,94.02,94.43,92.55,92.8,988270,0.0
2016-07-25,93.27,93.43,91.21,92.03,1913432,0.0
2016-07-26,91.58,98.71,90.52,98.25,5262119,0.0
2016-07-27,98.8,99.5,96.64,98.21,2180185,0.0
2016-07-28,98.18,99.62,96.17,99.43,1124167,0.0
2016-07-31,99.33,101.3,98.51,100.28,1760258,0.0
2016-08-01,99.96,100.9,97.4,99.07,1520104,0.0
2016-08-02,99.03,101.698,98.76,101.47,1368877,0.0
2016-08-03,102.41,102.49,99.14,99.6,1096304,0.0
2016-08-04,100.88,101.67,98.5,98.945,1718789,0.0
2016-08-07,99.29,99.62,97.704,99.02,898677,0.0
2016-08-08,94.6,95.94,93.74,95.13,4432121,0.0
2016-08-09,94.89,95.1,90.92,91.47,1872970,0.0
2016-08-10,91.93,92.81,90.66,92.05,1076661,0.0
2016-08-11,91.49,92.49,91.02,92.44,1150113,0.0
2016-08-14,92.9,94.22,92.3,93.13,1515225,0.0
2016-08-15,92.75,93.23,90.91,91.74,1127731,0.0
2016-08-16,92.14,94.06,91,93.31,1272002,0.0
2016-08-17,92.85,93.88,92.02,93.51,731538,0.0
2016-08-18,93.07,93.4,91.76,91.98,490031,0.0
2016-08-21,95.67,98.5,95.18,98.17,3340866,0.0
2016-08-22,99.11,99.95,97.44,99.43,1333219,0.0
2016-08-23,99.22,102.06,94.5,95.13,2097733,0.0
2016-08-24,95.75,96.97,92.35,94.95,1340222,0.0
2016-08-25,95.09,96.36,94.415,96.22,878608,0.0
2016-08-28,96.26,96.7899,94.88,95.73,616793,0.0
2016-08-29,95.75,96.61,94.84,94.95,522061,0.0
2016-08-30,95.29,95.95,93.02,93.91,762590,0.0
2016-08-31,93.7,95.49,92.79,95.19,771904,0.0
2016-09-01,95.3,96.49,93.86,95.73,612697,0.0
2016-09-05,95.96,97.65,94.92,95.59,773414,0.0
2016-09-06,94.95,96.23,93.6,96.14,1091680,0.0
2016-09-07,96.08,98.22,95.04,97.44,930230,0.0
2016-09-08,96.21,97.5,94.02,94.03,907461,0.0
2016-09-11,93.33,96.53,93,96.225,807526,0.0
2016-09-12,95.6,96.24,92.85,93.88,947769,0.0
2016-09-13,94.5,96.74,93.79,95.31,1018878,0.0
2016-09-14,95.23,96.9389,94.01,95.39,826701,0.0
2016-09-15,94.82,97.22,94.02,96.835,1288529,0.0
2016-09-18,96.62,101.2699,95.23,98.12,1803631,0.0
2016-09-19,98.97,99.4,97.52,97.95,727331,0.0
2016-09-20,97.97,99.97,95,97.57,1042487,0.0
2016-09-21,98,98.94,95.69,97.45,842800,0.0
2016-09-22,96.63,99.705,96.63,97.4,628165,0.0
2016-09-25,96.86,97.52,95.43,95.85,646786,0.0
2016-09-26,95.43,97.19,94.249,97.04,944273,0.0
2016-09-27,98.19,98.19,94.42,96.03,949980,0.0
2016-09-28,96.02,96.17,92.43,92.77,808851,0.0
2016-09-29,92.91,93.325,91.2,92.51,1100860,0.0
2016-10-02,91.98,94.49,91.19,94.34,882362,0.0
2016-10-03,94.59,95.265,94.04,95.13,630421,0.0
2016-10-04,94.69,96.55,94.32,95.92,642142,0.0
2016-10-05,95.13,95.765,92.12,92.63,1017420,0.0
2016-10-06,93.19,93.915,91.55,93.5,621419,0.0
2016-10-09,94.07,94.98,92.42,93.54,493278,0.0
2016-10-10,93.09,93.66,90.72,91.67,819865,0.0
2016-10-11,91.46,92.2,87.73,87.95,785593,0.0
2016-10-12,86.31,88.46,86,86.92,1627956,0.0
2016-10-13,87.58,88.67,84.58,85.06,1009229,0.0
2016-10-16,84.83,85.6,82.19,85.47,1177491,0.0
2016-10-17,86.15,87.34,85.2,85.4,798917,0.0
2016-10-18,85.35,86.43,83.65,84.33,623960,0.0
2016-10-19,84.41,85.62,83.71,84.21,974131,0.0
2016-10-20,84,84.02,81.85,82.27,817928,0.0
2016-10-23,82.67,82.89,81.44,82.16,739957,0.0
2016-10-24,82.28,82.28,80.54,80.96,587837,0.0
2016-10-25,81.26,82.6,81,81.74,788021,0.0
2016-10-26,82.29,83.39,80.3,81.07,984343,0.0
2016-10-27,79.73,83.32,78.56,81.14,1226306,0.0
2016-10-30,81.26,81.26,80,80.55,850895,0.0
2016-10-31,80.3,82.88,79.31,82.69,916380,0.0
2016-11-01,82.38,82.71,80.77,80.9,1003278,0.0
2016-11-02,81.43,81.43,78.42,78.62,1124212,0.0
2016-11-03,79.65,84.585,78.745,82.02,1793641,0.0
2016-11-06,82.64,84.07,81.64,83.53,1518951,0.0
2016-11-07,82.79,84.46,82.12,83.41,1026761,0.0
2016-11-08,89,98.34,88.52,91.84,3199241,0.0
2016-11-09,92.8,95.555,91.46,93.53,1709046,0.0
2016-11-10,93.28,93.28,90.115,91.44,996114,0.0
2016-11-13,91.78,93.85,90.13,92.91,1303548,0.0
2016-11-14,91.93,92.65,89.395,92.23,943247,0.0
2016-11-15,91.61,92.31,89.31,89.39,691609,0.0
2016-11-16,89.15,92.3,88.7,90.74,892420,0.0
2016-11-17,90.42,91.21,88.92,88.99,570416,0.0
2016-11-20,89.13,89.99,86.74,87.48,923971,0.0
2016-11-21,87.51,88.3,84.42,85.47,794350,0.0
2016-11-22,84.59,88.39,83.62,88.13,1000708,0.0
2016-11-24,88.06,89.1,86.52,88.97,491591,0.0
2016-11-27,89,89.1,87.01,88.37,736975,0.0
2016-11-28,87.46,88,85.86,86.7,859021,0.0
2016-11-29,86.64,87.9,85.53,85.64,889308,0.0
2016-11-30,85.97,86.455,82.51,83.32,871289,0.0
2016-12-01,83.39,84.02,81.89,82.26,896199,0.0
2016-12-04,82.51,84.59,81.86,82.45,1386767,0.0
2016-12-05,82.99,83.48,81.89,82.99,1133650,0.0
2016-12-06,81.36,82.34,79.5,81.03,1386894,0.0
2016-12-07,81.7,83.72,80.5,83.52,837874,0.0
2016-12-08,84.67,87.52,82.581,82.67,1551521,0.0
2016-12-11,82.37,82.75,80.67,82.01,1040719,0.0
2016-12-12,82.44,84.36,82.4,83.44,861165,0.0
2016-12-13,83.26,85.61,82.72,85.59,1126403,0.0
2016-12-14,85.72,86.1,84.41,85.35,1028539,0.0
2016-12-15,85.29,86.4,84.75,85.36,942142,0.0
2016-12-18,85.15,85.91,83.97,84.33,670535,0.0
2016-12-19,84.41,85.42,83.64,84.98,489398,0.0
2016-12-20,85.09,86.68,82.84,85.05,1449132,0.0
2016-12-21,84.91,85.21,82.89,83.54,807781,0.0
2016-12-22,83.06,86,83.06,85.67,547878,0.0
2016-12-26,86,87.61,85.01,85.07,510384,0.0
2016-12-27,85.08,86.5938,83.741,84.16,618383,0.0
2016-12-28,83.84,84.71,82.97,83.35,545971,0.0
2016-12-29,83.35,83.74,81.5,82.84,981010,0.0
2017-01-02,83.3,86.57,83,85.84,1019656,0.0
2017-01-03,86.96,87.52,85.51,86.87,1057210,0.0
2017-01-04,87,87.67,84.93,86.28,799927,0.0
2017-01-05,87.19,87.97,86.13,86.855,600141,0.0
2017-01-08,89.79,92.2,87.51,91.02,1695285,0.0
2017-01-09,91.31,92,88.51,90.38,870017,0.0
2017-01-10,89.84,90.37,84.66,86.07,1660231,0.0
2017-01-11,85.47,87.569,84.445,86.15,1088690,0.0
2017-01-12,86.16,88.1299,85.91,86.92,777419,0.0
2017-01-16,86.34,86.545,84.43,85.21,920572,0.0
2017-01-17,86.19,87.25,85.69,87.16,719413,0.0
2017-01-18,86.9,87.34,85.88,86.14,743616,0.0
2017-01-19,86.7,87.5,84.36,84.56,777441,0.0
2017-01-22,84.62,85.41,82.99,83.3001,577736,0.0
2017-01-23,83.27,84.42,82.57,84.34,598734,0.0
2017-01-24,84.44,84.98,83.46,83.85,736495,0.0
2017-01-25,84,85.48,83.88,85.28,959953,0.0
2017-01-26,85.99,87,85.31,86.55,740944,0.0
2017-01-29,86.49,86.89,84.38,85.57,644793,0.0
2017-01-30,84.9,88.1,84,87.63,867795,0.0
2017-01-31,87.79,89.1467,87.445,88.62,1021736,0.0
2017-02-01,88.5,89.01,87.375,88.33,803168,0.0
2017-02-02,89.23,89.81,88.32,88.81,766212,0.0
2017-02-05,88.57,88.94,87.98,88.74,648202,0.0
2017-02-06,90,90.2,88.12,88.905,649884,0.0
2017-02-07,88.7,91.23,88,90.89,820871,0.0
2017-02-08,90.89,92.19,90.62,91.15,621969,0.0
2017-02-09,91.23,91.27,89.37,90.12,482157,0.0
