Date,Open,High,Low,Close,Volume,OpenInterest
2016-07-11,60.07,61.26,60.02,60.74,1738745,0.0
2016-07-12,61.15,61.1997,60.225,60.36,1489908,0.0
2016-07-13,60.86,60.96,60.08,60.79,1033057,0.0
2016-07-14,61.03,61.25,60.53,60.58,1284592,0.0
2016-07-17,60.48,60.93,60.4,60.91,802467,0.0
2016-07-18,60.55,61.1,60.495,60.63,964492,0.0
2016-07-19,60.68,62.28,60.68,62.03,1343958,0.0
2016-07-20,61.75,62.34,61.68,61.985,1221411,0.0
2016-07-21,62.13,62.16,61.25,61.95,1079623,0.0
2016-07-24,61.79,62.1,61.42,62.07,743802,0.0
2016-07-25,62.11,62.38,61.78,62.25,582221,0.0
2016-07-26,62.14,62.28,61.46,61.955,1010392,0.0
2016-07-27,62.01,62.61,61.94,62.23,991653,0.0
2016-07-28,62.31,62.71,62.02,62.39,1238311,0.0
2016-07-31,62.33,62.708,62,62.21,1490808,0.0
2016-08-01,62.06,62.4699,61.37,61.95,2814086,0.0
2016-08-02,63.69,66.74,62.65,66.3,6325492,0.0
2016-08-03,65.97,67.025,65.92,66.31,1895452,0.0
2016-08-04,66.3,67.44,65.72,66.87,1965213,0.0
2016-08-07,66.85,67.48,66.53,67.32,1462575,0.0
2016-08-08,67.39,67.5,66.87,66.92,1420680,0.0
2016-08-09,67.19,67.35,66.36,66.94,895761,0.0
2016-08-10,66.63,67.26,66.5,67.06,1037184,0.0
2016-08-11,66.72,66.98,66.18,66.46,1684387,0.0
2016-08-14,66.46,66.79,66.08,66.62,1387330,0.0
2016-08-15,66.58,66.68,65.69,65.98,1103321,0.0
2016-08-16,66.24,66.25,64.92,65.35,2139929,0.0
2016-08-17,65.35,65.5,64.91,65.15,1524552,0.0
2016-08-18,65.15,65.16,64.44,64.71,1732497,0.0
2016-08-21,64.64,65.08,64.2048,64.6289,1519354,0.0
2016-08-22,65.01,65.71,64.56,64.59,936388,0.0
2016-08-23,64.19,64.97,64.13,64.51,1262130,0.0
2016-08-24,64.41,64.86,63.77,64.48,1019145,0.0
2016-08-25,64.33,64.89,64.11,64.64,974089,0.0
2016-08-28,64.43,65.24,64.03,65,774512,0.0
2016-08-29,64.97,65.17,64.47,64.75,955023,0.0
2016-08-30,64.74,64.92,63.01,64.54,847632,0.0
2016-08-31,64.75,65.14,64.045,65,1080159,0.0
2016-09-01,65.27,65.32,64.44,64.76,775773,0.0
2016-09-05,64.73,64.99,64.39,64.955,571678,0.0
2016-09-06,64.95,65.28,64.74,65,489889,0.0
2016-09-07,64.34,64.69,63.7,64.14,1578196,0.0
2016-09-08,63.66,63.9659,62.14,62.24,3220439,0.0
2016-09-11,62.1,62.93,61.623,62.82,1325463,0.0
2016-09-12,62.4,62.81,61.27,61.95,1476830,0.0
2016-09-13,61.79,62.37,61.49,62.19,1552591,0.0
2016-09-14,62.16,63.13,62.01,62.77,1396163,0.0
2016-09-15,62.8,62.82,61.8196,62,2216782,0.0
2016-09-18,62.3,62.515,61.43,61.49,1060157,0.0
2016-09-19,61.69,62.38,61.55,62.11,1443376,0.0
2016-09-20,62.1,62.48,61.7,62.37,988394,0.0
2016-09-21,62.81,63.08,62.575,62.98,852458,0.0
2016-09-22,62.65,63.18,62.58,62.76,1044079,0.0
2016-09-25,62.39,62.5,61.74,61.94,870303,0.0
2016-09-26,61.93,62.41,61.835,62.16,912671,0.0
2016-09-27,62.31,62.5279,61.86,62.43,676730,0.0
2016-09-28,62.43,62.43,61.43,61.53,682446,0.0
2016-09-29,61.87,62.06,61.19,61.74,1690592,0.0
2016-10-02,61.62,61.72,60.78,61.42,1133438,0.0
2016-10-03,61.37,61.759,60.77,60.91,678338,0.0
2016-10-04,61.01,61.555,61.01,61.25,932314,0.0
2016-10-05,60.89,61.42,60.67,60.86,746224,0.0
2016-10-06,61.2,61.23,60.57,61.13,890142,0.0
2016-10-09,61.48,61.91,61.42,61.79,683268,0.0
2016-10-10,62.53,62.53,60.26,60.74,1215098,0.0
2016-10-11,60.87,61.46,60.75,61.03,1227262,0.0
2016-10-12,60.6,61.39,60.2201,61.26,1403139,0.0
2016-10-13,61.5,61.82,60.76,60.95,929594,0.0
2016-10-16,60.93,61.04,60.57,60.825,1186280,0.0
2016-10-17,61.41,61.7499,61.14,61.15,638903,0.0
2016-10-18,60.17,61.15,60.16,60.68,430254,0.0
2016-10-19,60.73,61.21,60.49,60.99,839270,0.0
2016-10-20,60.68,60.87,58.405,58.46,2767708,0.0
2016-10-23,58.74,59.74,58.5001,59.33,1981377,0.0
2016-10-24,59.33,59.63,58.77,58.9,1504733,0.0
2016-10-25,58.77,58.77,57.935,58.24,917723,0.0
