Date,Open,High,Low,Close,Volume,OpenInterest
2016-07-11,223.79,224.72,221.7234,222.02,73100,0.0
2016-07-12,222.11,222.2199,219.37,220.94,142575,0.0
2016-07-13,222.85,222.85,220.17,220.485,116342,0.0
2016-07-14,220.3,220.5,217.93,218.77,98029,0.0
2016-07-17,218.64,220.0599,217.991,219.77,101066,0.0
2016-07-18,219.08,220.26,218.36,219.51,75524,0.0
2016-07-19,220.14,221.9,219.16,219.94,67413,0.0
2016-07-20,219.15,221.52,217.63,218.21,99119,0.0
2016-07-21,217.82,222.28,217.12,222.19,39489,0.0
2016-07-24,221.25,222.51,220.55,221.21,67256,0.0
2016-07-25,221.12,224.28,220.8,224.28,53730,0.0
2016-07-26,223.84,224.1,220.88,222.7,103177,0.0
2016-07-27,211,218,205.04,206.7401,393381,0.0
2016-07-28,207,208.93,204.4878,208.02,198661,0.0
2016-07-31,208.07,209.6,204.565,205.23,104735,0.0
2016-08-01,205.61,207.46,202.5,204.78,109503,0.0
2016-08-02,204.31,207.3,202.511,205.95,113844,0.0
2016-08-03,205.58,208.0499,204.66,205.1,83140,0.0
2016-08-04,205.85,207.1175,204.3709,205.68,72876,0.0
2016-08-07,206.14,207.26,205.06,207.21,58297,0.0
2016-08-08,207,208.13,205.95,207.53,71016,0.0
2016-08-09,206.91,208.8,206.1395,208.04,116269,0.0
2016-08-10,208.92,209,205.22,208.06,116327,0.0
2016-08-11,206.97,209.17,205.98,207.88,198743,0.0
2016-08-14,207.55,209.91,206.1,209.01,150637,0.0
2016-08-15,208.39,209.325,202.62,208.8,141845,0.0
2016-08-16,208.22,209.55,204.81,205.46,117464,0.0
2016-08-17,206.13,208,205.25,207.82,140452,0.0
2016-08-18,206.58,209.57,205.711,208.23,62811,0.0
2016-08-21,208.77,209.963,206.1,207.6,141691,0.0
2016-08-22,207.68,209.99,207,208.6,94452,0.0
2016-08-23,208.71,209.86,205.78,206.42,78102,0.0
2016-08-24,206.03,207.28,205.31,206.94,76625,0.0
2016-08-25,206.32,210.29,205.99,207.88,130190,0.0
2016-08-28,207.99,209.9899,206.99,207.21,125703,0.0
2016-08-29,207.18,208.39,203.93,205.11,128057,0.0
2016-08-30,205.61,207.82,203.9501,207.35,93362,0.0
2016-08-31,207.45,210.17,207.05,210.12,103361,0.0
2016-09-01,210.93,214.0129,210.29,213.23,96683,0.0
2016-09-05,212.82,215.87,211.99,214.19,95242,0.0
2016-09-06,213.85,216.19,212.56,216.19,108255,0.0
2016-09-07,215,217.685,214.34,216.58,125472,0.0
2016-09-08,214.78,215.76,205.57,205.72,175425,0.0
2016-09-11,204.56,211.53,204.56,211,138822,0.0
2016-09-12,208.92,211,204.64,206.83,147307,0.0
2016-09-13,206.77,208.97,204.98,207.0701,97856,0.0
2016-09-14,208.23,213.53,203.72,211.89,128199,0.0
2016-09-15,210.37,212.1,208.85,210.56,64696,0.0
2016-09-18,210.79,212.84,210.27,211.15,60767,0.0
2016-09-19,211.85,213.469,210.09,211.08,64518,0.0
2016-09-20,211.49,216.61,211.12,215.84,75511,0.0
2016-09-21,216.87,219.9575,216.14,218.65,62234,0.0
2016-09-22,218.32,219.4,216.96,218,161832,0.0
2016-09-25,216.25,217.91,214.78,215.27,121101,0.0
2016-09-26,215.64,220.12,215.64,219.7,88942,0.0
2016-09-27,220.99,222.98,216.11,222.3,207458,0.0
2016-09-28,222.24,224.36,215.83,216.065,90032,0.0
2016-09-29,217.75,217.75,214.3,216.53,89775,0.0
2016-10-02,216.73,219.9,213.86,215.49,100672,0.0
2016-10-03,216.49,218.33,213.5001,214.29,87198,0.0
2016-10-04,215.74,224.4381,213.33,215.76,91208,0.0
2016-10-05,214.58,215.36,212.5,214.3099,82382,0.0
2016-10-06,214.05,215.219,210.44,211.71,54127,0.0
2016-10-09,212.77,214.72,212.43,212.98,64623,0.0
2016-10-10,212.71,212.74,207.55,208.85,74055,0.0
2016-10-11,208.95,210.56,207.6325,208.97,102173,0.0
2016-10-12,207.09,208.44,204.995,207.04,86533,0.0
2016-10-13,207.5,210.22,206.99,208.57,166128,0.0
2016-10-16,208.27,208.6,206.91,207.87,61425,0.0
2016-10-17,209.68,211.74,207.1001,209.54,77902,0.0
2016-10-18,209.37,211.5099,209.37,210.68,139052,0.0
2016-10-19,209.89,211.11,207.6,208.62,143993,0.0
