Date,Open,High,Low,Close,Volume,OpenInterest
2016-07-12,95.85,97.91,95.31,97.47,245776,0.0
2016-07-13,98.06,98.14,95.22,97.9,302277,0.0
2016-07-14,98.1,98.41,97.43,97.56,273643,0.0
2016-07-17,97.97,98.16,94.95,95.36,348315,0.0
2016-07-18,95.02,97.7101,94.77,95.14,526720,0.0
2016-07-19,98.68,107.331,98.25,104.35,3005800,0.0
2016-07-20,104.48,108.015,104.35,104.79,898785,0.0
2016-07-21,104.86,108.09,104.68,107.95,524561,0.0
2016-07-24,107.61,108.69,107.25,108.22,509208,0.0
2016-07-25,108.31,109.11,107.43,108.39,507442,0.0
2016-07-26,108.48,108.48,105.3,105.43,345251,0.0
2016-07-27,105.42,108.42,104.62,105.64,375050,0.0
2016-07-28,105.62,107.9,104.39,104.76,430182,0.0
2016-07-31,104.75,107.74,104.51,104.89,330558,0.0
2016-08-01,104.34,107.22,104.02,106.35,364869,0.0
2016-08-02,106.35,107.78,105.705,106.33,525233,0.0
2016-08-03,106.36,107.77,106.29,106.55,303182,0.0
2016-08-04,106.97,108.41,104.1,106.89,433781,0.0
2016-08-07,107,107,103.82,104.05,300811,0.0
2016-08-08,104.17,106.66,103.56,104.32,362876,0.0
2016-08-09,104.23,107.53,104.17,104.86,244062,0.0
2016-08-10,105.37,107.87,103.92,104.99,336327,0.0
2016-08-11,104.64,107.74,104.43,107.33,219075,0.0
2016-08-14,107.3,107.49,104.69,104.9,299727,0.0
2016-08-15,113,115.48,111.53,112.99,1901169,0.0
2016-08-16,114.41,116.08,113.56,115.66,1301983,0.0
2016-08-17,115.98,115.98,110.48,111.22,495248,0.0
2016-08-18,110.72,113.68,110.21,111.12,607125,0.0
2016-08-21,111.14,114.28,111.05,114.02,274456,0.0
2016-08-22,114.06,114.67,113.41,114.5,260052,0.0
2016-08-23,114.6,114.9699,113.89,114.47,248001,0.0
2016-08-24,114.42,116.67,114.42,116.04,555356,0.0
2016-08-25,115.96,116.87,112.44,113,393509,0.0
2016-08-28,112.86,116.499,112.35,116.37,287970,0.0
2016-08-29,116.07,117,113.43,114.3,362009,0.0
2016-08-30,114.36,117.47,113.78,114.76,374248,0.0
2016-08-31,115.23,117.758,114.35,117.7,329713,0.0
2016-09-01,118.23,119.18,118.07,118.85,394482,0.0
2016-09-05,119.12,119.94,117.845,119.15,314417,0.0
2016-09-06,118.86,118.955,118.14,118.3,466364,0.0
2016-09-07,117.82,117.87,117.13,117.19,314173,0.0
2016-09-08,113.72,115.44,111.07,113.8299,849137,0.0
2016-09-11,114.08,114.92,113.76,114.72,611978,0.0
2016-09-12,113.76,114.26,110.22,110.29,746522,0.0
2016-09-13,110.37,114.06,109.93,110.49,534017,0.0
2016-09-14,110.31,114.56,109.87,114.12,461043,0.0
2016-09-15,113.55,114.09,112.91,113.32,456481,0.0
2016-09-18,113.54,114.29,113.07,113.32,268802,0.0
2016-09-19,114.11,114.27,111.02,111.19,365390,0.0
2016-09-20,111.22,114.77,110.33,112.02,380583,0.0
2016-09-21,112.29,115.409,112.1,115.11,252068,0.0
2016-09-22,114.98,115.8599,111.29,114.17,229603,0.0
2016-09-25,113.85,114.0582,113.1,113.2,281124,0.0
2016-09-26,113.19,113.72,112.33,113.4,468487,0.0
2016-09-27,118.89,118.9,115.62,116.15,1147769,0.0
2016-09-28,115.55,116.0688,111.09,111.36,1170977,0.0
2016-09-29,111.9,112.81,111.33,112.6,844141,0.0
2016-10-02,112.77,113.8989,112.16,112.44,587338,0.0
2016-10-03,112.44,112.75,107.86,108.87,607167,0.0
2016-10-04,108.75,111.8,108.13,110.91,407952,0.0
2016-10-05,110.4,112,110.31,111.77,306970,0.0
2016-10-06,112.03,112.03,110.34,110.46,344776,0.0
2016-10-09,110.84,111.36,110.5,110.78,234109,0.0
2016-10-10,110.31,110.9,108.98,109.35,354177,0.0
2016-10-11,109.58,110.11,107.12,107.18,253098,0.0
2016-10-12,106.8,109.77,105.85,109.33,266490,0.0
2016-10-13,109.46,110.15,106.65,106.69,205625,0.0
2016-10-16,106.47,109.52,106.25,108.25,294768,0.0
2016-10-17,109.28,111.03,108.3,108.4,425341,0.0
2016-10-18,108.18,108.78,107.79,108.07,393772,0.0
2016-10-19,107.9,107.98,104.01,104.07,689853,0.0
2016-10-20,103.62,106.6499,103.36,103.96,451993,0.0
2016-10-23,104.56,107.42,104.04,106.97,252920,0.0
2016-10-24,106.64,106.92,104.2,104.23,386083,0.0
2016-10-25,103.83,106.75,103.28,106.61,329344,0.0
2016-10-26,106.83,107,105.42,105.68,274855,0.0
2016-10-27,105.53,106.73,105.29,105.94,323311,0.0
2016-10-30,106.45,107.13,105.76,106.67,452974,0.0
2016-10-31,106.45,106.54,103.96,104.37,547986,0.0
2016-11-01,102.9,103.39,101.38,101.46,505734,0.0
2016-11-02,101.59,103.07,100.96,102.99,378517,0.0
2016-11-03,103.23,103.84,102.84,103.06,308686,0.0
2016-11-06,104.14,104.86,103.774,104.81,244286,0.0
2016-11-07,104.79,105.96,104.19,104.49,247226,0.0
2016-11-08,102.41,107.4,101.73,106.33,560224,0.0
2016-11-09,106.53,108.39,106.2,107.98,494251,0.0
2016-11-10,107.29,108.59,106.97,107.54,434301,0.0
2016-11-13,107.97,109.21,107.04,109.04,497011,0.0
2016-11-14,109.36,109.56,108.36,109.15,273071,0.0
2016-11-15,108.74,109.07,107.31,107.81,296434,0.0
2016-11-16,107.83,110.7,107.8,110.4,397802,0.0
2016-11-17,110.37,111.77,109.74,111.71,564281,0.0
2016-11-20,111.98,112.81,110.985,112.79,405701,0.0
2016-11-21,112.81,114.2821,112.34,113.6,517939,0.0
2016-11-22,113.82,115.72,113.82,115.32,391549,0.0
2016-11-24,115.77,116.5,115.07,116.5,173337,0.0
2016-11-27,116.17,116.59,115.8,116.13,430581,0.0
2016-11-28,116.18,116.27,115.52,115.57,363855,0.0
2016-11-29,115.61,115.75,114.38,114.6,308843,0.0
2016-11-30,114.61,116.01,114.21,115.89,391092,0.0
2016-12-01,115.73,116.81,115.364,116.64,345128,0.0
2016-12-04,117,118.18,116.7001,118.05,455590,0.0
2016-12-05,117.89,118.46,116.84,117.12,351411,0.0
2016-12-06,117.36,120.497,117.16,120.37,260991,0.0
2016-12-07,120.07,120.9,119.35,120.55,329806,0.0
2016-12-08,120.37,120.925,119.11,120.7,293138,0.0
2016-12-11,120.73,121.28,120.05,120.38,392389,0.0
2016-12-12,120.59,120.87,118.37,120.55,424395,0.0
2016-12-13,120.81,121.42,119.43,119.53,421080,0.0
2016-12-14,121,122.21,118.52,120.01,413920,0.0
2016-12-15,120.19,120.59,119.22,119.7,912024,0.0
2016-12-18,120.34,121.14,119.99,120.15,596697,0.0
2016-12-19,120.2,120.49,119.44,119.78,314507,0.0
2016-12-20,119.97,120.255,118.01,118.22,400556,0.0
2016-12-21,118.83,120.22,117.85,120.04,724458,0.0
2016-12-22,117.08,117.39,113,116.36,1984986,0.0
2016-12-26,116.38,117,116.02,116.54,454094,0.0
2016-12-27,116.58,116.91,114.22,114.35,331399,0.0
2016-12-28,114.27,116.53,114.2,115.06,365759,0.0
2016-12-29,115.32,116.3599,114.38,115.56,410961,0.0
2017-01-02,116.37,117.06,114.79,115.06,586021,0.0
2017-01-03,115,117.63,114.85,117.29,428567,0.0
2017-01-04,116.89,117.71,114.96,115.02,337482,0.0
2017-01-05,115.26,116.94,114.54,116.69,288162,0.0
2017-01-08,116.47,116.47,115.04,115.48,340536,0.0
2017-01-09,115.22,115.42,114.74,114.78,575111,0.0
2017-01-10,114.24,115.56,114.24,115.32,271954,0.0
2017-01-11,115.09,115.24,112.02,113.16,390509,0.0
2017-01-12,113.04,114.87,112.56,114.56,296269,0.0
2017-01-16,113.81,114.27,113.311,113.67,172394,0.0
2017-01-17,113.98,114.13,113.23,113.96,228669,0.0
2017-01-18,113.96,114.275,112,112.51,245808,0.0
2017-01-19,113.02,114.28,112.09,113.88,246953,0.0
2017-01-22,113.77,114.3199,112.96,113.84,172642,0.0
2017-01-23,113.75,115.56,113.75,115.51,430129,0.0
2017-01-24,115.75,116.99,115.385,116.75,593703,0.0
2017-01-25,116.88,117.95,116.65,117.39,294510,0.0
2017-01-26,117.23,117.6,116.74,117.29,352500,0.0
2017-01-29,117.12,117.12,114.05,116.2,236290,0.0
2017-01-30,116.14,116.53,114.12,114.85,301646,0.0
2017-01-31,114.57,116.7399,113.95,114.83,549806,0.0
2017-02-01,114.49,115.4,113.34,115.22,319330,0.0
2017-02-02,115.68,116.68,114.33,116.11,223891,0.0
2017-02-05,115.77,115.85,114.71,114.96,299291,0.0
2017-02-06,115.32,115.34,113.13,113.55,353363,0.0
2017-02-07,113.3,114.68,113.03,114.34,288529,0.0
2017-02-08,114.55,115.46,113.87,114.11,314801,0.0
2017-02-09,114.24,116.971,113.92,115.46,356988,0.0
2017-02-12,115.97,117.65,115.37,116.99,290484,0.0
2017-02-13,116.56,117.01,114.85,117.01,238877,0.0
2017-02-14,116.74,118.52,116.465,117.13,323736,0.0
2017-02-15,117.15,119.51,116.76,119.51,305300,0.0
2017-02-16,118.97,119.38,118.09,118.61,344809,0.0
2017-02-20,118.66,119.21,118.03,118.45,242037,0.0
2017-02-21,118.12,118.84,117.64,118.79,312130,0.0
2017-02-22,119.02,119.09,117.59,118.42,207416,0.0
2017-02-23,118.07,119.07,117.9751,119.07,207151,0.0
2017-02-26,118.89,119.25,118.55,119.11,152147,0.0
2017-02-27,118.99,118.99,117.85,118.01,209668,0.0
2017-02-28,118.69,119.99,118.52,119.63,354394,0.0
2017-03-01,119.3,119.31,118.33,118.53,274777,0.0
2017-03-02,118.65,118.835,116.59,117.13,206558,0.0
2017-03-05,116.79,118.71,116.18,118.61,170007,0.0
2017-03-06,118.21,118.99,117.79,118.27,241185,0.0
2017-03-07,118.12,118.76,116.84,117.08,218103,0.0
2017-03-08,117.31,118.74,115.94,116.59,208080,0.0
2017-03-09,117.35,119.2699,116.96,119.04,302724,0.0
2017-03-12,118.88,119.38,118.74,119.13,215106,0.0
2017-03-13,118.99,119.28,116.81,117.17,213541,0.0
2017-03-14,117.56,119.31,117.18,118.17,246943,0.0
2017-03-15,118.35,119.83,117.68,119.25,188813,0.0
2017-03-16,122.31,125.93,120.83,123.52,1564304,0.0
2017-03-19,123.47,124.5999,122.37,122.96,833573,0.0
2017-03-20,123.64,124.54,122.43,123.8,729966,0.0
2017-03-21,124.09,125.2,123.7097,124.4,625292,0.0
2017-03-22,124.33,128.85,122.74,124.59,1139137,0.0
2017-03-23,125.04,126.2991,123.49,123.78,502158,0.0
2017-03-26,123.55,125.76,122.09,125.14,431009,0.0
2017-03-27,124.93,126.45,124.2,126.2,328427,0.0
2017-03-28,125.6,126.53,124.84,125.07,414165,0.0
2017-03-29,124.81,127.45,124.8,126.99,280517,0.0
2017-03-30,126.88,127.065,126.25,126.54,337312,0.0
2017-04-02,126.86,126.97,123.37,123.4,477933,0.0
2017-04-03,123.17,125.08,122.58,124.84,295608,0.0
2017-04-04,124.96,125.71,122.3,122.43,275402,0.0
2017-04-05,122.32,123.83,121.57,123.21,346239,0.0
2017-04-06,123.07,123.48,122.4,122.57,436909,0.0
2017-04-09,122.37,123.79,121.01,121.33,426656,0.0
2017-04-10,120.73,122.95,120.36,122.95,318437,0.0
2017-04-11,123.29,123.74,121.72,122.39,201865,0.0
2017-04-12,122.52,122.84,120.33,121.68,198528,0.0
2017-04-16,122.14,122.99,121.97,122.98,183443,0.0
2017-04-17,122.69,123.05,121.7,122.37,235850,0.0
2017-04-18,122.37,123.21,120.83,121.32,185956,0.0
2017-04-19,122.02,123.49,121.3,121.77,228809,0.0
2017-04-20,121.87,123.51,121.66,123.14,263005,0.0
2017-04-23,124.21,125.35,123.78,124.09,374027,0.0
2017-04-24,124.35,125.87,123.5,123.76,349264,0.0
2017-04-25,123.81,125.21,122.93,124.23,353627,0.0
2017-04-26,124.16,125.04,123.66,123.93,267577,0.0
2017-04-27,124.02,124.02,122.41,122.49,339126,0.0
2017-04-30,121.6,122.73,119.53,120.26,378352,0.0
2017-05-01,120.34,122.732,119.9,121.81,300117,0.0
2017-05-02,121.77,121.92,119.945,120.87,314254,0.0
2017-05-03,121.17,121.74,120.05,120.62,212301,0.0
2017-05-04,121.05,122.82,120.37,121.66,200468,0.0
2017-05-07,121.34,122.56,119.52,120.92,257124,0.0
2017-05-08,120.76,121.66,119.77,120.18,222758,0.0
2017-05-09,120.16,121.82,119.58,121.42,211965,0.0
2017-05-10,121.21,122.56,120.72,122.54,305091,0.0
2017-05-11,122.18,122.58,121.47,122.31,265481,0.0
2017-05-14,122.21,122.83,121.32,122.36,189630,0.0
2017-05-15,122.24,122.59,121.75,122.56,312083,0.0
2017-05-16,121.67,122.08,120.12,120.16,298558,0.0
2017-05-17,120.36,121.17,119.54,120.58,325793,0.0
2017-05-18,120.66,121.4,119.69,119.71,487904,0.0
2017-05-21,119.84,121.82,119.53,121.73,265773,0.0
2017-05-22,121.95,122.53,121.41,122.39,241285,0.0
2017-05-23,122.75,124.8723,122.4,124.69,327254,0.0
2017-05-24,125.08,125.89,124.64,125.57,199893,0.0
2017-05-25,125.15,125.56,123.75,123.8,179047,0.0
2017-05-29,123.25,124.75,122.44,123.4,223997,0.0
2017-05-30,123.69,125.8,123.17,124.52,233264,0.0
2017-05-31,124.76,126.92,123.43,126.92,191496,0.0
2017-06-01,127.21,128.66,126.82,126.89,201214,0.0
2017-06-04,127.11,128.099,126.26,126.61,218931,0.0
2017-06-05,126.5,126.86,123.22,123.28,182083,0.0
2017-06-06,123.71,125.36,122.68,123.14,216405,0.0
2017-06-07,123.01,124.64,121.68,123.66,319561,0.0
2017-06-08,123.96,124.05,123.26,123.7,250820,0.0
2017-06-11,123.51,126.37,123.51,124.93,313357,0.0
2017-06-12,124.87,127.65,124.62,127.26,236871,0.0
2017-06-13,127.88,128.67,126.86,127.97,300327,0.0
2017-06-14,127.41,128.05,126.42,127.82,186151,0.0
2017-06-15,127.02,129.994,127.02,129.04,629461,0.0
2017-06-18,129.39,131.41,128.21,131.35,283134,0.0
2017-06-19,131.38,131.38,128.4,128.66,199048,0.0
2017-06-20,128.6,129.92,127.87,129.59,180676,0.0
2017-06-21,129.73,129.73,129.07,129.16,174867,0.0
2017-06-22,129.31,130.29,129.03,129.41,177353,0.0
2017-06-25,130.01,130.48,127.76,128.1,110050,0.0
2017-06-26,126.61,127.46,124.67,125.82,400433,0.0
2017-06-27,126.83,127.52,125.31,125.39,211829,0.0
2017-06-28,125.12,126.08,122.28,123,299159,0.0
2017-06-29,123.95,126.53,123.74,126.03,311237,0.0
2017-07-02,126.77,127.11,125.94,125.995,190042,0.0
2017-07-04,126.09,128.26,124.45,124.75,509587,0.0
2017-07-05,124.04,125.34,122.07,122.39,325575,0.0
2017-07-06,122.7,126.63,122.7,126.13,354233,0.0
2017-07-09,125.8,126.99,125.47,126.56,349033,0.0
2017-07-10,126.02,126.46,123.78,124.47,208922,0.0
2017-07-11,125.61,127.45,125.07,125.78,197073,0.0
2017-07-12,125.98,127.68,125.79,126.46,184692,0.0
2017-07-13,126.74,126.93,126.14,126.47,171206,0.0
2017-07-16,126.38,126.56,124.39,124.82,194370,0.0
2017-07-17,124.81,126.2145,123.99,124.06,207255,0.0
2017-07-18,124.26,126.16,123.7,124.71,273271,0.0
2017-07-19,125.24,126.85,124.06,126.72,343614,0.0
2017-07-20,131.24,139.39,131.13,136.93,1986655,0.0
2017-07-23,136.81,138.81,134.93,138.27,754738,0.0
2017-07-24,138.7,138.7,136.71,137.31,590710,0.0
2017-07-25,137.21,137.965,135.16,135.63,381181,0.0
2017-07-26,135.55,136.815,133.73,134.35,476100,0.0
2017-07-27,134.4,136.23,133.89,135.58,448213,0.0
2017-07-30,135.7,135.9,133.19,133.39,344607,0.0
2017-07-31,136.6,139.74,134.35,135.51,389401,0.0
2017-08-01,135.11,135.59,133.77,134.99,440093,0.0
2017-08-02,135.03,135.61,133.66,134.12,303021,0.0
2017-08-03,134.64,135.28,133.24,133.54,228883,0.0
2017-08-06,133.4,135.35,132.72,132.99,302495,0.0
2017-08-07,132.94,134.83,131.63,131.95,593650,0.0
2017-08-08,131.78,133.65,131.06,133.34,432616,0.0
2017-08-09,132.87,133.09,130.68,130.84,492630,0.0
2017-08-10,131.32,131.73,130.09,130.34,359064,0.0
2017-08-13,131.4,133.3215,130.49,131.51,214341,0.0
2017-08-14,131.34,133.7175,130.79,133.15,300118,0.0
2017-08-15,133.31,134.14,133.17,133.36,222720,0.0
2017-08-16,133.17,133.4526,130.92,131.2,283298,0.0
2017-08-17,130.91,132.48,130.17,131.17,658842,0.0
2017-08-20,131.13,134.87,130.6,133.9,628012,0.0
2017-08-21,133.92,135.24,133.15,133.8,243284,0.0
2017-08-22,133.49,134.65,132.59,134.05,282662,0.0
2017-08-23,134.09,134.1,131.62,133.21,358681,0.0
2017-08-24,133.9,135.1,133.34,133.83,230262,0.0
2017-08-27,134.35,134.73,133.2,133.87,209590,0.0
2017-08-28,133.13,133.61,131.14,131.53,273757,0.0
2017-08-29,131.44,134.01,131.06,133.77,173681,0.0
2017-08-30,133.91,135.28,133.57,134.97,244914,0.0
2017-08-31,135.71,135.71,134.29,134.56,209676,0.0
2017-09-04,134.22,134.71,132.6,133.29,283543,0.0
2017-09-05,133.74,134.16,132.83,133.4,335394,0.0
2017-09-06,133.56,133.56,130.73,131.7,201572,0.0
2017-09-07,131.27,133.75,130.32,132.27,201592,0.0
2017-09-10,132.49,135.16,132.06,135.01,214452,0.0
2017-09-11,134.92,135.61,134.41,134.69,244631,0.0
2017-09-12,134.61,135.32,133.57,135.26,235137,0.0
2017-09-13,134.82,134.82,132.08,133.15,223318,0.0
2017-09-14,132.96,134.955,132.11,134.31,403985,0.0
2017-09-17,134.22,134.51,132.53,132.85,303072,0.0
2017-09-18,132.97,134.8,132.63,134.75,330209,0.0
2017-09-19,135,136.73,134.83,136.53,413506,0.0
2017-09-20,136.42,137.63,135.51,137.48,308200,0.0
2017-09-21,137.37,139,135.02,135.17,395180,0.0
2017-09-24,135.37,137.39,134.82,136.87,441318,0.0
2017-09-25,136.94,137.13,136.07,136.12,481312,0.0
2017-09-26,143.41,145,141.88,142.45,2252304,0.0
2017-09-27,142.11,143.3,140.28,141.22,607146,0.0
2017-09-28,140.97,144.35,140.75,142.72,648646,0.0
2017-10-01,142.93,145.62,142.46,145.44,493198,0.0
2017-10-02,145.48,147.44,145.2685,147.37,529927,0.0
2017-10-03,146.87,147.64,145.01,145.61,402167,0.0
2017-10-04,145.88,148.22,144.97,147.99,404460,0.0
2017-10-05,148,149.48,147.46,149.07,413902,0.0
2017-10-08,149.29,149.96,149.08,149.61,258958,0.0
2017-10-09,149.53,150.43,149.527,150.23,409125,0.0
2017-10-10,150.02,150.61,148.4,149.04,240076,0.0
2017-10-11,148.88,151.75,148.87,151.5,282523,0.0
2017-10-12,151.87,152.48,151.41,151.94,310482,0.0
2017-10-15,152.5,152.5,150.86,151.22,224946,0.0
2017-10-16,151.75,152.4068,150.33,151.05,272734,0.0
2017-10-17,151.4,151.82,151.0601,151.15,192111,0.0
2017-10-18,150.5,150.97,149.435,150.95,267293,0.0
2017-10-19,151.79,152.83,151.04,152.19,233838,0.0
2017-10-22,152.11,152.21,151.36,151.51,158802,0.0
2017-10-23,151.53,151.9299,150.4,150.85,264052,0.0
2017-10-24,150.68,151.08,148.28,148.53,266406,0.0
2017-10-25,149.28,151.7,149.05,151.51,242064,0.0
2017-10-26,150.84,151.66,150.11,151.56,179562,0.0
2017-10-29,151.24,151.24,149.165,149.22,201545,0.0
2017-10-30,149.94,149.975,147.29,147.43,263560,0.0
2017-10-31,147.24,148.38,145.5775,147.12,480723,0.0
2017-11-01,147.06,148.34,146.13,147.58,370270,0.0
2017-11-02,147.61,148.51,147.03,148.33,244788,0.0
2017-11-05,148.05,148.36,145.38,145.97,198140,0.0
2017-11-06,146.46,148.44,145.9,147.87,204867,0.0
2017-11-07,147.43,149.66,147.27,149.6,260411,0.0
2017-11-08,147.48,147.72,144.4,145.44,402853,0.0
2017-11-09,144.82,146.14,144.82,146.1,299808,0.0
2017-11-12,145.86,147.76,145.66,147.36,319966,0.0
2017-11-13,146.57,149.46,146.57,149.2,457300,0.0
2017-11-14,148.4,149.65,147.631,149.5,539992,0.0
2017-11-15,149.53,150.62,149.25,150.11,397918,0.0
2017-11-16,149.77,150.07,148.32,148.92,261334,0.0
2017-11-19,148.74,149.43,148.05,148.25,236657,0.0
2017-11-20,148.77,148.86,147.21,147.56,409663,0.0
2017-11-21,147.56,147.71,146.56,147.35,296887,0.0
2017-11-23,147.93,148.22,147.49,147.78,195333,0.0
2017-11-26,147.91,149.1,147.61,147.95,394234,0.0
2017-11-27,148.19,152.18,147.78,152.03,392354,0.0
2017-11-28,151.98,153.87,151.54,153.76,486445,0.0
2017-11-29,153.35,157.81,153.01,157.43,697297,0.0
2017-11-30,157.19,158.43,155.03,157.5,495921,0.0
2017-12-03,158.41,159.68,157.54,158.71,583808,0.0
2017-12-04,158.88,159.53,156.1,156.28,410474,0.0
2017-12-05,156.88,157.6,156.14,156.52,215777,0.0
