Date,Open,High,Low,Close,Volume,OpenInterest
2016-07-11,95.06,95.345,94.33,94.44,922586,0.0
2016-07-12,94.74,95.09,94.24,94.36,655001,0.0
2016-07-13,95,95.52,94.53,95,1218569,0.0
2016-07-14,95.53,95.69,94.3,94.35,1203197,0.0
2016-07-17,94.58,96.27,94.58,95.72,1479867,0.0
2016-07-18,95,95.54,94.9,95.36,974024,0.0
2016-07-19,95.79,96.05,94.99,95.45,1307357,0.0
2016-07-20,95.01,95.56,93.97,94.66,972980,0.0
2016-07-21,95.06,96.14,94.67,96.13,1276632,0.0
2016-07-24,95.87,96.45,95.81,96.4,716565,0.0
2016-07-25,96.45,97.45,96.25,96.65,879482,0.0
2016-07-26,96.73,96.76,95.27,95.72,1025313,0.0
2016-07-27,95.32,96.27,94.68,96.12,983904,0.0
2016-07-28,96.27,96.5528,95.64,96.29,541562,0.0
2016-07-31,97.48,97.84,96.5,97.1,1135507,0.0
2016-08-01,97.15,97.41,95.71,96.23,1242014,0.0
2016-08-02,95.88,96.77,95.02,96.77,891410,0.0
2016-08-03,96.78,97.44,95.72,96.07,1177621,0.0
2016-08-04,96.41,97.3802,96.16,97,879236,0.0
2016-08-07,96.97,97.03,95.61,95.9,785728,0.0
2016-08-08,95.79,96.14,95.03,95.95,609784,0.0
2016-08-09,96.39,99.0005,96.11,98.12,1763740,0.0
2016-08-10,99,99.93,97.07,97.36,1551520,0.0
2016-08-11,96.96,97.39,96,96.28,1591124,0.0
2016-08-14,96.35,96.95,95.67,96.27,1888162,0.0
2016-08-15,95.69,96.2,94.81,95.51,1221753,0.0
2016-08-16,94.94,96.13,94.63,95.49,1365390,0.0
2016-08-17,95.72,96.01,95.09,95.86,878784,0.0
2016-08-18,95.82,96.4,95,95.57,927356,0.0
2016-08-21,95.32,95.93,95.06,95.75,912828,0.0
2016-08-22,96.02,96.35,95.26,95.51,1324003,0.0
2016-08-23,95.82,96,94.06,94.93,2731231,0.0
2016-08-24,88,94.93,85.38,85.49,14129115,0.0
2016-08-25,85.14,86.49,84.57,85.48,4660955,0.0
2016-08-28,85.75,86.32,85.15,85.53,3154110,0.0
2016-08-29,85.35,85.35,83.4644,84.11,3805409,0.0
2016-08-30,83.76,84.16,82.13,82.69,3472139,0.0
2016-08-31,82.39,83.75,82.21,83.18,2493139,0.0
2016-09-01,83.11,83.83,82.55,83.11,1510059,0.0
2016-09-05,83.56,83.73,82.71,83.28,1926439,0.0
2016-09-06,83.01,83.02,81.74,82.5,2336162,0.0
2016-09-07,82.55,82.55,81.4,81.84,2727686,0.0
2016-09-08,81.51,82.37,81.432,81.65,3992916,0.0
2016-09-11,81.34,82.68,81.25,82.39,2129665,0.0
2016-09-12,81.73,82.38,79.655,80.19,3231866,0.0
2016-09-13,80.48,82,80.48,81.45,3073415,0.0
2016-09-14,81.14,82.1,80.89,81.99,1759687,0.0
2016-09-15,81.47,81.62,80.53,81.09,2288133,0.0
2016-09-18,81.27,81.55,80.15,80.22,1896839,0.0
