Date,Open,High,Low,Close,Volume,OpenInterest
2016-07-12,80.12,80.47,79.04,79.33,449509,0.0
2016-07-13,80.02,80.08,77.04,78.11,739730,0.0
2016-07-14,78.1,78.5,76.76,77.54,636202,0.0
2016-07-17,78.3,78.52,76.76,78.18,1008527,0.0
2016-07-18,79.2,86.35,78.95,83.06,2294725,0.0
2016-07-19,83.89,85.12,83.54,84.64,773524,0.0
2016-07-21,87.96,89.05,86.31,87.9,1905537,0.0
2016-07-24,87.64,87.859,87.02,87.8,854005,0.0
2016-07-25,88.03,88.68,87.5,88.38,377995,0.0
2016-07-26,88.14,89.23,87.16,88.66,380096,0.0
2016-07-27,88.84,90.605,88.35,89.56,330616,0.0
2016-07-28,90.33,92.39,89.7001,92.23,691351,0.0
2016-07-31,92.69,93.26,91.2999,92.71,765314,0.0
2016-08-01,92.49,92.86,90.98,92.72,681477,0.0
2016-08-02,87.84,94.5,87.5,90.87,1628836,0.0
2016-08-03,91.5,91.77,90.64,91.49,837578,0.0
2016-08-04,91.02,92.22,90.79,91.23,744567,0.0
2016-08-07,91.25,91.72,90.48,90.67,667482,0.0
2016-08-08,91,91.45,90.51,91.04,735980,0.0
2016-08-09,90.26,90.965,89.17,90.22,627173,0.0
2016-08-10,90.87,91.16,90.42,90.89,560240,0.0
2016-08-11,91,91,89.891,90.54,431426,0.0
2016-08-14,90.5,91.3,90.19,90.87,410947,0.0
2016-08-15,90.99,90.99,90.201,90.62,444337,0.0
2016-08-16,90.55,90.71,89.95,90.31,805379,0.0
2016-08-17,90.25,91.43,90.25,90.9,389870,0.0
2016-08-18,90.5,91.33,89.95,90.96,483156,0.0
2016-08-21,90.65,91.469,90.03,90.57,201297,0.0
2016-08-22,90.34,92.25,90.03,92.09,458708,0.0
2016-08-23,91.72,93.87,90.24,90.35,696266,0.0
2016-08-24,90.55,91.78,90,90.64,256454,0.0
2016-08-25,90.57,91.46,90.252,91.23,403112,0.0
2016-08-28,91.58,92.64,90.5385,91.61,641445,0.0
2016-08-29,91.65,92.4699,91.37,92.1493,506002,0.0
2016-08-30,91.73,92,90.75,91.11,412778,0.0
2016-08-31,91.3,91.93,90.31,91.73,588106,0.0
2016-09-01,92,92.79,91.33,92.09,343137,0.0
2016-09-05,92.58,95.5,92.18,94.31,546936,0.0
2016-09-06,94.45,95.805,94.18,95.02,567953,0.0
2016-09-07,94.81,96.38,94.235,95.82,741873,0.0
2016-09-08,95.04,95.4,92.76,92.95,1250756,0.0
2016-09-11,92.16,93.24,91.2,93.06,391220,0.0
2016-09-12,92.7,93.37,91.34,91.89,390613,0.0
2016-09-13,90.64,92.8,90.3733,91.8,480748,0.0
2016-09-14,91.52,93.85,90.81,92.75,464103,0.0
2016-09-15,92.98,94.13,92.66,93.06,462673,0.0
2016-09-18,93.4,93.72,92.3,93.05,428598,0.0
2016-09-19,93.17,93.495,92.1,92.73,660763,0.0
2016-09-20,93,93.69,92.41,93.5,516222,0.0
2016-09-21,94,94.79,93.69,94.01,452086,0.0
2016-09-22,94,94.24,93.51,93.91,509338,0.0
2016-09-25,93.59,93.8499,92.85,93.14,367674,0.0
2016-09-26,92.97,93.9,92.934,93.72,364118,0.0
2016-09-27,93.55,93.72,84.72,89.74,4106047,0.0
2016-09-28,89.89,89.98,86.26,87.8,2525647,0.0
2016-09-29,88.36,89.02,86.81,87.66,802208,0.0
2016-10-02,86.91,87.81,84.09,85,1080192,0.0
2016-10-03,84.99,85.485,80.58,81.93,1649689,0.0
2016-10-04,82.55,84.855,81.78,83.37,1171239,0.0
