Date,Open,High,Low,Close,Volume,OpenInterest
2016-07-13,25.45,26.26,25.4,26.09,21350888,0.0
2016-07-14,26.12,26.34,25.95,26.335,15273441,0.0
2016-07-17,26.23,26.56,26.1699,26.49,10162985,0.0
2016-07-18,26.59,26.72,26.39,26.5,15564513,0.0
2016-07-19,26.61,27.14,26.41,26.99,23169252,0.0
2016-07-20,28.87,30.31,28.79,29.94,41798715,0.0
2016-07-21,29.81,30.56,29.75,30.49,18424751,0.0
2016-07-24,30.31,30.86,30.27,30.69,16690217,0.0
2016-07-25,30.61,31.41,30.56,31.4,12849112,0.0
2016-07-26,31.44,31.79,31.1,31.31,10775017,0.0
2016-07-27,31.28,31.49,31.07,31.17,7928273,0.0
2016-07-28,31.12,31.24,30.9,31.16,6696375,0.0
2016-07-31,31.3,31.39,31.13,31.25,12119677,0.0
2016-08-01,31.07,31.21,30.69,30.79,10509802,0.0
2016-08-02,30.8,31.04,30.74,30.95,6145435,0.0
2016-08-03,30.94,31.31,30.85,31.06,6183849,0.0
2016-08-04,31.15,31.45,31.13,31.39,6241061,0.0
2016-08-07,31.4,31.4,30.94,31.15,7608276,0.0
2016-08-08,31.22,31.24,30.94,31.12,6810356,0.0
2016-08-09,31.11,31.25,30.94,31.12,5304898,0.0
2016-08-10,31.19,31.5,31.02,31.2,5086476,0.0
2016-08-11,31.22,31.27,30.89,30.89,10796453,0.0
2016-08-14,31,31.31,30.64,31.05,6376148,0.0
2016-08-15,30.9,30.98,30.58,30.83,5753471,0.0
2016-08-16,30.88,30.9,30.49,30.61,6264078,0.0
2016-08-17,30.51,30.67,30.42,30.52,5003503,0.0
2016-08-18,30.46,30.6499,30.36,30.63,5691904,0.0
2016-08-21,30.46,30.64,30.37,30.62,5473039,0.0
2016-08-22,30.68,30.97,30.65,30.67,4913713,0.0
2016-08-23,30.74,31.33,30.73,31.26,12041588,0.0
2016-08-24,31.08,31.45,31.06,31.35,6804812,0.0
2016-08-25,31.34,31.63,31.085,31.31,7113709,0.0
2016-08-28,31.25,31.5,31.14,31.4,4208702,0.0
2016-08-29,31.46,32.03,31.36,31.78,9010832,0.0
2016-08-30,31.66,32.23,31.59,32.16,10637713,0.0
2016-08-31,32.15,32.235,31.88,32.13,5985400,0.0
2016-09-01,32.3,32.5,32.11,32.285,6053994,0.0
2016-09-05,32.2,32.655,32.15,32.42,7071055,0.0
2016-09-06,32.45,32.73,32.29,32.52,8225290,0.0
2016-09-07,32.5,32.81,32.38,32.7,6283101,0.0
2016-09-08,32.42,32.59,31.855,31.89,11811507,0.0
2016-09-11,31.66,32.57,31.55,32.49,7381868,0.0
2016-09-12,32.16,32.49,31.71,31.91,8350001,0.0
2016-09-13,32.07,32.13,31.7,31.8,6800516,0.0
2016-09-14,31.74,31.98,31.33,31.97,6528725,0.0
2016-09-15,31.68,31.88,31.63,31.75,7006748,0.0
2016-09-18,31.81,31.96,31.43,31.57,4812215,0.0
2016-09-19,31.75,31.8,31.23,31.35,4762121,0.0
2016-09-20,31.56,32.02,31.5,31.97,9764727,0.0
2016-09-21,32.02,32.34,32.02,32.28,4555730,0.0
2016-09-22,32.28,32.375,32.08,32.08,4244924,0.0
