Date,Open,High,Low,Close,Volume,OpenInterest
2016-07-13,36.54,36.67,36.27,36.37,4198303,0.0
2016-07-14,36.47,36.6,36.315,36.48,2536146,0.0
2016-07-17,36.49,36.85,36.38,36.66,3649572,0.0
2016-07-18,36.56,36.65,36.4,36.59,2071081,0.0
2016-07-19,36.55,36.6,36.24,36.25,2398891,0.0
2016-07-20,36.3,36.51,36.25,36.455,4500122,0.0
2016-07-21,36.6,37.46,36.59,37.41,4630728,0.0
2016-07-24,37.33,37.5,37.18,37.5,3657492,0.0
2016-07-25,37.5,37.55,37,37.1,2411096,0.0
2016-07-26,36.86,37.02,36.27,36.61,2971211,0.0
2016-07-27,36.56,36.935,36.43,36.87,2676735,0.0
2016-07-28,36.82,37.4,36.7,37.26,3358655,0.0
2016-07-31,37.2,37.7,37.08,37.46,5159774,0.0
2016-08-01,37.24,37.3,36.72,36.79,4696080,0.0
2016-08-02,36.82,36.92,36.43,36.56,3604872,0.0
2016-08-03,36.56,36.81,36.25,36.33,3557580,0.0
2016-08-04,36.3,36.4,36.03,36.12,3506061,0.0
2016-08-07,36.28,36.32,35.98,36.09,4024922,0.0
2016-08-08,36.41,36.48,35.83,35.85,3933438,0.0
2016-08-09,35.99,36.1002,35.13,35.5,7063707,0.0
2016-08-10,35.21,35.42,34.6,34.8,8735285,0.0
2016-08-11,35.1,35.47,34.92,34.93,6426452,0.0
2016-08-14,34.9,35.08,34.62,34.64,3535981,0.0
2016-08-15,34.49,34.6,34.22,34.22,4714213,0.0
2016-08-16,34.19,34.66,33.78,34.57,5550217,0.0
2016-08-17,34.46,34.81,34.33,34.7108,4516238,0.0
2016-08-18,34.63,34.65,34.14,34.38,3824527,0.0
2016-08-21,34.49,34.54,34.26,34.43,1880189,0.0
2016-08-22,34.54,34.84,34.54,34.59,3101051,0.0
2016-08-23,34.52,34.79,34.45,34.73,3034202,0.0
2016-08-24,34.72,34.73,34.46,34.52,1998196,0.0
2016-08-25,34.56,34.84,33.88,33.91,3097602,0.0
2016-08-28,34.05,34.2,33.88,34.06,2936443,0.0
2016-08-29,33.98,34.1,33.69,33.8,2681290,0.0
2016-08-30,33.79,34.02,33.61,34,2596425,0.0
2016-08-31,33.91,34.02,33.74,33.81,4189482,0.0
2016-09-01,33.78,34.21,33.72,34.07,2619657,0.0
2016-09-05,34.22,34.45,34.22,34.44,2844843,0.0
2016-09-06,34.41,34.66,34.295,34.56,2376526,0.0
2016-09-07,34.49,34.99,34.4584,34.83,2760082,0.0
2016-09-08,34.52,34.55,33.39,33.42,4271465,0.0
2016-09-11,33.35,33.77,33.31,33.62,5563599,0.0
2016-09-12,33.49,33.63,32.86,33.05,5200484,0.0
2016-09-13,33.13,33.455,32.9,33.11,4414884,0.0
2016-09-14,33.04,33.735,33.02,33.64,4323459,0.0
2016-09-15,33.6,33.96,33.37,33.83,5121170,0.0
2016-09-18,33.88,34.21,33.88,34.15,2150386,0.0
2016-09-19,34.25,34.42,33.84,33.9,5035368,0.0
2016-09-20,34.06,34.86,34.01,34.84,3970750,0.0
2016-09-21,34.97,35.27,34.84,35.21,3847373,0.0
2016-09-22,35.17,35.22,34.77,34.82,3278339,0.0
2016-09-25,34.78,34.96,34.61,34.839,2782875,0.0
2016-09-26,34.83,34.97,34.12,34.17,3922240,0.0
2016-09-27,34.24,34.33,33.67,34,3812772,0.0
2016-09-28,33.92,33.92,33.1922,33.3,4663405,0.0
2016-09-29,33.49,33.65,33.01,33.28,3721995,0.0
2016-10-02,33.25,33.25,32.57,32.76,4172665,0.0
2016-10-03,32.7,32.71,31.68,31.87,4836375,0.0
2016-10-04,31.93,32.34,31.75,32.13,6285234,0.0
2016-10-05,32.02,32.21,31.77,32.06,3363898,0.0
2016-10-06,32.33,32.6295,32.17,32.19,3868983,0.0
2016-10-09,32.39,32.58,32.205,32.49,2152197,0.0
2016-10-10,32.42,32.55,32.1,32.16,3692783,0.0
2016-10-11,32.21,32.55,32.14,32.52,3762104,0.0
2016-10-12,32.47,33.25,32.43,32.85,5150055,0.0
2016-10-13,32.83,33.19,32.68,32.69,3664828,0.0
2016-10-16,32.8,33.01,32.7,32.74,2608689,0.0
2016-10-17,33.05,33.27,32.55,33.09,3275169,0.0
2016-10-18,33.01,33.1,32.74,32.89,3100860,0.0
2016-10-19,32.94,33.02,32.655,32.84,2996939,0.0
2016-10-20,32.64,32.85,32.391,32.495,2798588,0.0
2016-10-23,32.62,32.75,32.295,32.64,3075011,0.0
2016-10-24,32.5,32.98,32.44,32.91,3911720,0.0
2016-10-25,33,33.485,32.67,33.26,5141310,0.0
2016-10-26,33.38,33.55,32.75,33.28,4044570,0.0
2016-10-27,33.29,33.45,33.01,33.25,3797316,0.0
2016-10-30,33.34,34.13,33.34,34.07,5768553,0.0
2016-10-31,34.02,34.06,33.11,33.25,4460020,0.0
2016-11-01,33.16,33.19,32.41,32.7,4194086,0.0
2016-11-02,32.67,32.975,32.51,32.79,2739968,0.0
2016-11-03,32.89,33.14,32.66,32.7,2559696,0.0
2016-11-06,32.98,33.43,32.77,33.41,3398698,0.0
2016-11-07,33.29,33.82,32.39,33.66,3519525,0.0
2016-11-08,32.96,32.96,32.01,32.06,8039217,0.0
2016-11-09,31.65,31.66,29.9599,30.18,14878599,0.0
2016-11-10,30.25,30.61,29.82,29.99,8667106,0.0
2016-11-13,29.9,30.91,29.835,30.78,9716323,0.0
2016-11-14,30.93,32.16,30.93,32.08,9740351,0.0
2016-11-15,32.11,32.18,31.165,31.61,4355423,0.0
2016-11-16,31.43,31.8,31.43,31.5,3194082,0.0
2016-11-17,31.82,32.205,31.555,31.73,5101282,0.0
2016-11-20,31.86,32.48,31.86,32.47,4478605,0.0
2016-11-21,32.43,32.81,32.17,32.47,6185416,0.0
2016-11-22,32.05,32.43,32,32.31,3074581,0.0
2016-11-24,32.42,32.87,32.39,32.58,1438338,0.0
2016-11-27,32.74,33.66,32.74,33.39,5885874,0.0
2016-11-28,33.25,33.73,33.24,33.66,4625379,0.0
2016-11-29,33.13,33.26,32.51,32.53,6037159,0.0
2016-11-30,32.32,32.67,31.77,32.18,7653042,0.0
2016-12-01,32.72,33.41,32.67,33.02,6890507,0.0
2016-12-04,33.09,33.385,32.74,33.34,5233160,0.0
2016-12-05,33.59,33.64,32.97,33.05,4291120,0.0
