Date,Open,High,Low,Close,Volume,OpenInterest
2016-07-12,43.71,43.89,43.08,43.3,3793137,0.0
2016-07-13,43.57,43.75,43.27,43.3,2994270,0.0
2016-07-14,43.56,43.64,43.34,43.46,4248440,0.0
2016-07-17,43.36,43.44,42.93,42.98,2238074,0.0
2016-07-18,42.78,42.8593,42.31,42.43,3881645,0.0
2016-07-19,42.3,42.88,41.96,42.53,2512172,0.0
2016-07-20,42.54,42.58,41.7,41.83,3636527,0.0
2016-07-21,41.55,42.21,41.47,42.12,3598723,0.0
2016-07-24,41.97,42.19,41.861,41.92,1943490,0.0
2016-07-25,41.99,42.25,41.71,41.98,2703768,0.0
2016-07-26,42,42.06,41.65,41.9,3678406,0.0
2016-07-27,41.85,42.59,41.81,42.4899,4283502,0.0
2016-07-28,42.47,42.96,42.29,42.75,2217902,0.0
2016-07-31,42.78,42.95,42.31,42.5,2522734,0.0
2016-08-01,42.44,42.58,41.78,41.81,1962770,0.0
2016-08-02,41.81,42.08,41.65,42.06,2907027,0.0
2016-08-03,42.8,43.235,42.38,42.4,3508735,0.0
2016-08-04,42.51,42.9,42.41,42.87,1496712,0.0
2016-08-07,42.98,43.12,42.79,42.85,1322585,0.0
2016-08-08,42.95,43.01,42.375,42.48,992040,0.0
2016-08-09,42.48,42.7,42.26,42.48,966339,0.0
2016-08-10,42.78,43.63,42.77,43.44,1776593,0.0
2016-08-11,43.32,43.61,43.17,43.44,1012120,0.0
2016-08-14,43.41,43.89,43.41,43.78,1001460,0.0
2016-08-15,43.76,43.79,43.47,43.49,843340,0.0
2016-08-16,43.62,43.64,43.32,43.6,968262,0.0
2016-08-17,43.71,43.99,43.24,43.89,967789,0.0
2016-08-18,43.75,44.045,43.43,43.99,845805,0.0
2016-08-21,43.72,44.2,43.59,44.16,1106159,0.0
2016-08-22,44.57,44.57,43.96,44.03,910159,0.0
2016-08-23,43.83,44.07,43.63,43.705,873280,0.0
2016-08-24,43.68,43.77,43.47,43.73,901162,0.0
2016-08-25,43.85,44.23,43.49,43.75,1109181,0.0
2016-08-28,43.7,44.04,43.53,44,700495,0.0
2016-08-29,44.05,44.18,43.59,43.76,795608,0.0
2016-08-30,43.69,43.7,42.9401,43.12,1411458,0.0
2016-08-31,43.25,43.37,42.45,42.81,1937487,0.0
2016-09-01,43.13,43.53,42.91,43.31,1125365,0.0
2016-09-05,43.44,43.6,42.81,42.92,1337585,0.0
2016-09-06,42.44,42.49,41.61,42.26,1829900,0.0
2016-09-07,42.26,42.39,42,42.17,1187442,0.0
2016-09-08,41.77,42.21,40.57,40.57,2458950,0.0
2016-09-11,40.25,40.86,40.11,40.715,2532187,0.0
2016-09-12,40.43,40.89,40.15,40.435,3252146,0.0
2016-09-13,40.3,40.65,39.99,40.27,4008585,0.0
2016-09-14,40.24,40.84,40.08,40.82,2801089,0.0
2016-09-15,40.45,40.48,39.85,40.06,2312601,0.0
2016-09-18,40.33,40.72,40.23,40.57,1846871,0.0
2016-09-19,40.7,40.7,39.91,39.92,1717397,0.0
2016-09-20,39.96,40.32,39.94,40.23,2064366,0.0
2016-09-21,40.57,40.74,40.5,40.54,1546352,0.0
2016-09-22,40.4,40.73,40.27,40.44,1422675,0.0
2016-09-25,40.21,40.44,40.14,40.19,1000353,0.0
2016-09-26,40.04,40.44,40.02,40.39,1379587,0.0
2016-09-27,40.51,40.91,40.355,40.87,1062106,0.0
2016-09-28,40.71,41.26,40.4,40.84,1472277,0.0
2016-09-29,40.97,41.995,40.92,41.78,2632068,0.0
2016-10-02,41.58,42.29,41.46,42.16,2663137,0.0
2016-10-03,42.27,42.36,41.29,41.45,1256332,0.0
2016-10-04,41.69,42.08,41.67,41.91,915921,0.0
2016-10-05,41.82,42.79,41.8,42.73,1800723,0.0
2016-10-06,42.49,42.74,42.14,42.3,2404585,0.0
2016-10-09,42.47,42.53,42,42.12,4465536,0.0
2016-10-10,41.69,42.77,39.68,39.95,6153168,0.0
2016-10-11,39.85,39.85,39.02,39.06,4122733,0.0
2016-10-12,38.82,38.85,37.93,38.34,4299212,0.0
2016-10-13,38.13,38.635,37.7,38.345,2970205,0.0
2016-10-16,38.31,38.545,38.18,38.28,2374773,0.0
2016-10-17,38.66,38.79,37.88,38.15,1845714,0.0
2016-10-18,38.25,38.96,38.02,38.92,2647990,0.0
2016-10-19,38.92,39.125,38.75,38.815,1802081,0.0
2016-10-20,38.32,38.5,37.96,38.37,1189119,0.0
2016-10-23,38.62,39.08,38.55,38.94,2091902,0.0
2016-10-24,38.86,38.98,38.47,38.65,1559456,0.0
2016-10-25,38.52,39.38,38.432,39.02,1454555,0.0
2016-10-26,39.07,39.13,38.37,38.45,1002245,0.0
2016-10-27,38.46,39,38.44,38.76,966923,0.0
2016-10-30,38.94,39.05,38.68,38.99,1384556,0.0
2016-10-31,39.08,39.13,38.21,38.39,1317810,0.0
2016-11-01,38.47,38.5852,38.09,38.24,1713129,0.0
2016-11-02,38.41,38.6199,38.17,38.6,1985769,0.0
2016-11-03,38.7,39.8,38.68,39.45,2999127,0.0
2016-11-06,39.95,40.65,39.92,40.62,2416731,0.0
2016-11-07,40.58,41.04,40.19,40.63,1584257,0.0
2016-11-08,39.97,43.97,39.781,43.6,5017330,0.0
2016-11-09,43.96,45.3,43.96,44.92,4887919,0.0
2016-11-10,44.77,45.08,43.44,44.28,4404782,0.0
2016-11-13,44.5,45.43,44.39,45.1,3300192,0.0
2016-11-14,45.22,45.26,44.73,45.09,2155509,0.0
2016-11-15,45.03,45.2,44.75,45.09,2071669,0.0
2016-11-16,45.03,45.37,44.78,44.96,2539950,0.0
2016-11-17,44.92,45.095,44.73,44.8,1484215,0.0
2016-11-20,44.98,45.28,44.78,45.26,1593546,0.0
2016-11-21,45.41,45.97,45.14,45.92,2195764,0.0
2016-11-22,45.73,46.505,45.71,46.24,1466151,0.0
2016-11-24,46.21,46.37,46.01,46.37,358983,0.0
2016-11-27,46.39,46.51,45.97,46.36,1378252,0.0
2016-11-28,46.28,47.145,46.17,47.02,3039035,0.0
2016-11-29,47.19,47.89,46.87,47.41,2883619,0.0
2016-11-30,47.51,48.365,47.27,47.49,3139259,0.0
2016-12-01,47.55,48.005,47.1972,47.83,3161068,0.0
2016-12-04,48.46,49.21,48.18,48.58,4872884,0.0
2016-12-05,47.94,48.45,47.2,48.3,4448008,0.0
2016-12-06,48.17,49.235,47.83,49.17,2688696,0.0
2016-12-07,49.14,49.305,48.8948,49.13,2276241,0.0
2016-12-08,49.17,49.28,48.76,49.01,1753768,0.0
2016-12-11,49.06,49.15,48.56,48.91,1850482,0.0
2016-12-12,48.96,48.97,48.23,48.6,2216249,0.0
2016-12-13,48.73,48.99,48.22,48.31,1786210,0.0
2016-12-14,48.41,48.775,47.96,48.43,2023452,0.0
2016-12-15,48.52,48.74,48.02,48.05,1868514,0.0
2016-12-18,47.98,48.35,47.69,48.02,1938924,0.0
2016-12-19,48.23,48.92,47.98,48.53,1036215,0.0
2016-12-20,48.5,48.68,48.14,48.14,827167,0.0
2016-12-21,48.13,48.14,47.68,48.03,882710,0.0
2016-12-22,48.04,48.27,47.8,48.14,754773,0.0
2016-12-26,48.19,48.67,48.045,48.326,577622,0.0
2016-12-27,48.42,48.43,47.27,47.38,1094249,0.0
2016-12-28,47.55,47.75,47.13,47.22,1268616,0.0
2016-12-29,47.49,47.65,46.66,46.98,1035563,0.0
2017-01-02,47.4,47.76,46.44,46.95,2376371,0.0
2017-01-03,47.14,47.45,46.91,47.165,2217443,0.0
2017-01-04,47.94,47.99,46.32,46.62,2082452,0.0
2017-01-05,46.64,46.91,46.22,46.51,1836557,0.0
2017-01-08,46.46,46.66,46.16,46.16,1771658,0.0
2017-01-09,46.23,46.62,46.1,46.51,1487345,0.0
2017-01-10,46.83,47.8,46.75,47.43,2339669,0.0
2017-01-11,47.77,48.16,47.155,48,2778100,0.0
2017-01-12,48.14,48.19,47.82,48.05,1947670,0.0
2017-01-16,47.94,48.478,47.53,48.26,2826550,0.0
2017-01-17,48.01,51.56,47,51.05,7547453,0.0
2017-01-18,50.86,51.3,50.48,50.55,3285625,0.0
2017-01-19,50.83,51.42,50.75,51.24,2322107,0.0
2017-01-22,51.21,51.44,50.72,50.98,2093380,0.0
2017-01-23,51.3,51.37,50.26,50.79,3720520,0.0
2017-01-24,51.01,51.51,50.57,50.79,3408224,0.0
2017-01-25,50.82,51.02,50.22,50.37,1996399,0.0
2017-01-26,50.41,50.41,49.93,50.17,2147738,0.0
2017-01-29,49.8,50.24,49.24,50.2,2929955,0.0
2017-01-30,50.11,50.21,49.31,49.68,1528661,0.0
2017-01-31,49.84,50.05,49.28,49.63,1598181,0.0
2017-02-01,49.28,49.505,48.69,49,1563487,0.0
2017-02-02,49.26,49.8,48.88,49.04,2131427,0.0
2017-02-05,49.45,51.18,49.45,50.37,3364990,0.0
2017-02-06,50.1,50.45,49.74,49.81,2060670,0.0
2017-02-07,49.74,49.98,49.42,49.82,1073118,0.0
2017-02-08,49.88,50.34,49.54,50.25,937975,0.0
2017-02-09,50.44,50.69,50.04,50.34,788952,0.0
2017-02-12,50.68,50.83,50.105,50.13,814014,0.0
