Date,Open,High,Low,Close,Volume,OpenInterest
2016-07-13,86.43,86.51,85.27,85.53,6642007,0.0
2016-07-14,85.82,87.96,85.54,86.67,9598020,0.0
2016-07-17,86.8,87.34,86.47,86.91,5540759,0.0
2016-07-18,86.56,86.96,85.28,85.43,8025203,0.0
2016-07-19,85.21,87.12,85.1,86.69,7434825,0.0
2016-07-20,87.15,87.83,86.3,87.24,8227315,0.0
2016-07-21,87.23,87.44,86.32,86.55,5869536,0.0
2016-07-24,86.57,88.85,86.28,88.59,11413701,0.0
2016-07-25,84.09,84.1499,80.51,80.98,41554711,0.0
2016-07-26,81.34,81.98,81.06,81.81,11959106,0.0
2016-07-27,81.92,81.98,80.62,81.23,10898159,0.0
2016-07-28,80.59,80.84,79.37,79.46,16161315,0.0
2016-07-31,79.76,81.21,79.51,80.48,12333410,0.0
2016-08-01,80.86,81.19,79.45,79.58,11414701,0.0
2016-08-02,79.72,80.17,79.11,80.08,9129362,0.0
2016-08-03,80.21,80.63,79.55,79.77,7627143,0.0
2016-08-04,80.2,80.66,79.86,80.38,6081932,0.0
2016-08-07,80.45,80.79,79.01,79.74,7441476,0.0
2016-08-08,79.86,79.9,79.01,79.31,7942701,0.0
2016-08-09,79.43,79.59,78.45,78.9,9961930,0.0
2016-08-10,79.15,79.98,78.8,79.6,7086409,0.0
2016-08-11,79.34,79.77,78.87,79.65,7017207,0.0
2016-08-14,80,80.09,79.43,79.64,6038314,0.0
2016-08-15,79.57,79.8,79.24,79.26,6228301,0.0
2016-08-16,79.46,80.87,79.3,80.72,8723622,0.0
2016-08-17,80.89,81.27,80.18,80.58,7438162,0.0
2016-08-18,80.59,81.1757,80.23,81,6905020,0.0
2016-08-21,80.89,81.5335,80.6,80.91,6300783,0.0
2016-08-22,81.47,81.64,81.02,81.47,6897865,0.0
2016-08-23,81.49,82.1,80.18,80.5,7786258,0.0
2016-08-24,80.47,81,79.3,80.09,6664899,0.0
2016-08-25,80.11,80.33,79.27,79.77,7511313,0.0
2016-08-28,79.65,79.7,77.63,78.16,13469577,0.0
2016-08-29,77.94,78.39,77.66,77.91,7810495,0.0
2016-08-30,77.74,78.6,77.58,78.37,7364104,0.0
2016-08-31,78.43,78.47,76.94,77.41,10319524,0.0
2016-09-01,77.62,77.76,76.67,76.885,6681126,0.0
2016-09-05,77.79,78.29,77.25,77.88,8125367,0.0
2016-09-06,78.38,78.805,77.92,78.21,6591678,0.0
2016-09-07,78.33,79.14,77.6,79,7047865,0.0
2016-09-08,78.45,79,78.05,78.08,8334158,0.0
2016-09-11,77.9,79.03,77.69,78.85,7090154,0.0
2016-09-12,78.41,78.85,77.5,78.06,7620137,0.0
2016-09-13,77.94,78.4,77.44,77.62,6414519,0.0
2016-09-14,77.75,79.2,77.27,78.85,7772263,0.0
2016-09-15,78.83,79.19,78.41,78.79,7173452,0.0
2016-09-18,78.92,79.51,78.81,79.01,6139455,0.0
2016-09-19,79.7,82.07,79.63,81.78,13103002,0.0
2016-09-20,82.06,82.06,80.655,81.7,11606420,0.0
2016-09-21,81.94,82,80.9,81.51,7017061,0.0
2016-09-22,81.33,82,81.22,81.37,6243817,0.0
2016-09-25,81.05,81.13,79.915,80.63,6895014,0.0
2016-09-26,79.32,79.9,78.64,79.25,10294141,0.0
2016-09-27,79.11,79.5,78.51,78.97,5371132,0.0
2016-09-28,79.03,79.337,77.75,77.86,5984158,0.0
2016-09-29,78.06,79.63,78.05,79.13,7008362,0.0
2016-10-02,78.65,78.97,77.25,78.03,8786471,0.0
2016-10-03,78.15,78.42,77.12,77.24,6972150,0.0
2016-10-04,77.35,78,77.2,77.57,6449797,0.0
2016-10-05,77.38,77.76,76.075,76.2,8744949,0.0
2016-10-06,76.44,76.48,74.92,75.24,9583298,0.0
2016-10-09,75.53,75.9675,75.26,75.48,5766293,0.0
2016-10-10,75.14,75.28,73.56,73.82,10007925,0.0
2016-10-11,74.18,74.205,72.92,73.03,8423201,0.0
2016-10-12,72.29,73.93,72.21,73.06,8818514,0.0
2016-10-13,73.27,73.5,72.73,72.73,6005314,0.0
2016-10-16,72.57,73.46,72.31,72.64,6702862,0.0
2016-10-17,73.4,73.83,72.91,73.41,5165033,0.0
2016-10-18,73.5,73.92,73.31,73.33,4852249,0.0
2016-10-19,73.14,74.81,73.1,74.31,8856252,0.0
2016-10-20,74.11,74.94,73.775,74.29,6776077,0.0
2016-10-23,74.51,74.78,73.74,74.14,5846095,0.0
2016-10-24,74.04,74.675,73.91,74.42,5025974,0.0
2016-10-25,74.54,75.8,74.26,75.38,6890534,0.0
2016-10-26,76.01,76.3562,75.64,75.84,7801858,0.0
2016-10-27,74.69,74.78,73.23,73.87,11282552,0.0
2016-10-30,74.09,74.44,73.55,73.63,6490362,0.0
2016-10-31,73.63,74.29,73.06,74.08,8323682,0.0
2016-11-01,74,74.35,72.45,72.5,11896863,0.0
2016-11-02,72.33,72.93,71.68,71.76,7124710,0.0
2016-11-03,71.52,73.29,71.4,72.43,9259644,0.0
2016-11-06,73.48,74.71,73.05,74,7762706,0.0
2016-11-07,73.93,74.655,73.285,74.02,6260188,0.0
2016-11-08,76.78,80,76.75,78.48,21725529,0.0
2016-11-09,79.66,80,76.94,77.84,13826465,0.0
2016-11-10,77.39,77.51,75.29,76.41,9737347,0.0
2016-11-13,77.03,77.125,76.07,76.75,7156635,0.0
2016-11-14,77.03,77.11,75,76.35,6862450,0.0
2016-11-15,76.08,76.88,75.57,75.995,7268273,0.0
2016-11-16,75.76,76.015,74.85,75.57,7798464,0.0
2016-11-17,75.59,75.74,74.25,74.63,6587147,0.0
2016-11-20,74.66,75.19,74.45,75,4665419,0.0
2016-11-21,75.06,75.44,74.02,74.46,4824161,0.0
2016-11-22,73.84,75.35,73.76,75.32,5318857,0.0
2016-11-24,75.47,75.55,74.87,75.44,2373494,0.0
2016-11-27,75.3,75.44,74.22,74.54,6230414,0.0
2016-11-28,74.69,75.4,74.29,74.89,5276318,0.0
2016-11-29,75,75.08,73.59,73.7,6958874,0.0
2016-11-30,73.97,74.03,72.72,72.81,6603831,0.0
2016-12-01,73.04,73.6,72.16,72.42,6775411,0.0
2016-12-04,72.79,72.97,71.93,72.36,7776470,0.0
2016-12-05,72.66,72.67,71.95,72.47,7230908,0.0
2016-12-06,71.78,72.9,71.55,72.77,10320983,0.0
2016-12-07,72.56,72.6,70.83,72.01,10059705,0.0
2016-12-08,72.34,73.13,71.95,72.71,7069080,0.0
2016-12-11,72.56,73.68,72.13,73.47,7252949,0.0
2016-12-12,73.41,75.87,73.4,74.85,10696310,0.0
2016-12-13,74.86,76.32,74.86,75.72,9893517,0.0
2016-12-14,75.9,75.99,74.91,75.54,7254724,0.0
2016-12-15,74.6,74.955,73.94,74.1,10626819,0.0
2016-12-18,73.61,75.3,73.55,74.41,6862738,0.0
2016-12-19,74.51,74.63,73.43,74.05,7077394,0.0
2016-12-20,74.03,74.83,73.56,73.96,5971406,0.0
2016-12-21,73.68,73.75,72.92,73.3,6798084,0.0
2016-12-22,73.3,73.89,73.22,73.63,4345399,0.0
2016-12-26,73.52,74.8,73.51,73.71,5466700,0.0
2016-12-27,73.61,73.7,72.62,72.765,5195732,0.0
2016-12-28,72.77,72.85,71.9367,72.12,6124514,0.0
2016-12-29,72.1,72.26,71.3,71.62,7209690,0.0
2017-01-02,72.37,74.23,72.18,74.16,9083775,0.0
2017-01-03,74.53,76.98,74.377,76.39,12399583,0.0
2017-01-04,76.84,76.85,75.57,76.01,7904716,0.0
2017-01-05,76.45,76.5,75.41,75.48,7560869,0.0
2017-01-08,75.93,76.09,75.27,75.82,7347035,0.0
2017-01-09,76.48,76.5,74.93,75.02,6906784,0.0
2017-01-10,75.53,75.55,73.01,73.76,11376632,0.0
2017-01-11,73.53,73.68,72.93,73.36,5853355,0.0
2017-01-12,73.63,73.78,73,73.07,5796273,0.0
2017-01-16,72.92,72.92,71.73,71.9,9650798,0.0
2017-01-17,72.24,72.47,71.5,72.11,8368059,0.0
2017-01-18,71.93,72.25,71.23,71.56,7800554,0.0
2017-01-19,71.97,72,70.58,71.01,8288661,0.0
2017-01-22,70.87,71.29,70.3,70.69,8297159,0.0
2017-01-23,70.65,70.98,69.78,70.24,9358616,0.0
2017-01-24,70.89,72.34,70.72,71.92,11636341,0.0
2017-01-25,71.78,71.85,71.15,71.21,6670962,0.0
2017-01-26,71.43,72.1698,71.161,71.25,5841404,0.0
2017-01-29,71,71.67,70.745,71.5,5895348,0.0
2017-01-30,71.13,72.58,70.99,72.46,7782804,0.0
2017-01-31,72.72,72.88,72.06,72.81,6220171,0.0
2017-02-01,72.63,72.83,71.78,72.24,7273307,0.0
2017-02-02,72.74,72.75,71.77,72.33,6361104,0.0
2017-02-05,72.02,72.669,71.44,72.4,6101780,0.0
2017-02-06,72.53,73.3,72.41,73.12,9034063,0.0
2017-02-07,67.21,67.27,65.75,66.815,43820017,0.0
2017-02-08,66.34,66.79,65.38,65.59,20402772,0.0
2017-02-09,65.85,66.78,65.43,66.38,14082993,0.0
2017-02-12,66.81,67.785,66.5,67.66,12681439,0.0
2017-02-13,68.6,68.67,67.33,67.55,12510471,0.0
2017-02-14,67.7,69.98,67.67,69.81,14276610,0.0
2017-02-15,70,70.67,69.2601,70.3,9207742,0.0
2017-02-16,70.18,70.79,69.71,69.85,9197710,0.0
2017-02-20,69.96,70,68.83,69.29,9201824,0.0
2017-02-21,69.11,69.73,68.66,68.82,8339794,0.0
2017-02-22,68.74,69.525,68.43,69.39,6417467,0.0
2017-02-23,69.25,70.07,69.05,69.95,6016329,0.0
2017-02-26,69.82,70.5375,69.8,70.51,5353031,0.0
2017-02-27,70.37,70.94,70.01,70.48,6597801,0.0
2017-02-28,70.82,70.99,70.02,70.175,7787134,0.0
2017-03-01,70.04,70.89,70,70.52,6831139,0.0
2017-03-02,70.67,70.81,70.22,70.74,5195179,0.0
2017-03-05,70.56,70.6,69.7,70.11,5892547,0.0
2017-03-06,69.4,69.96,68.78,69.01,6952269,0.0
2017-03-07,69.02,69.995,68.88,69.71,6045420,0.0
2017-03-08,69.21,69.25,67.81,68.39,11140546,0.0
2017-03-09,68.54,68.61,67.45,68.19,11656642,0.0
2017-03-12,68.32,68.35,67.53,68.1,6838653,0.0
2017-03-13,67.41,68.1,67.4,67.76,4993235,0.0
2017-03-14,67.97,68.78,67.61,68.48,6789508,0.0
2017-03-15,68.74,68.78,68.21,68.54,5672627,0.0
2017-03-16,68.67,69.88,68.25,69.06,10145193,0.0
2017-03-19,68.94,69.21,68.64,68.68,5171392,0.0
2017-03-20,68.8,69.075,67.43,67.73,7025171,0.0
2017-03-21,67.795,68.05,67.505,67.81,4167792,0.0
2017-03-22,67.61,67.92,67.26,67.5,4828844,0.0
2017-03-23,67.57,67.87,67.2014,67.51,4774564,0.0
2017-03-26,67.11,67.82,66.97,67.49,4456455,0.0
2017-03-27,67.45,67.48,66.8,67.09,6716370,0.0
2017-03-28,67.1,67.565,66.91,67.27,6043250,0.0
2017-03-29,67.36,67.78,67.1,67.54,4257492,0.0
2017-03-30,67.37,68.33,67.37,67.92,6978714,0.0
2017-04-02,67.85,68.02,66.75,67.09,6769111,0.0
2017-04-03,67.04,67.14,66.65,66.97,4963344,0.0
2017-04-04,66.99,67.125,66.4,66.47,5996274,0.0
2017-04-05,66.45,66.8,66.2275,66.49,7082484,0.0
2017-04-06,66.42,66.84,66.3,66.6,5648663,0.0
2017-04-09,66.56,67.235,66.39,66.43,4758236,0.0
2017-04-10,66.43,66.5305,65.825,66.03,6060312,0.0
2017-04-11,66.33,66.37,65.79,66.21,6438214,0.0
2017-04-12,66.18,66.82,66.09,66.51,4935259,0.0
2017-04-16,66.81,67.15,66.6,66.71,4138512,0.0
2017-04-17,66.59,66.87,65.7,66.05,6127562,0.0
2017-04-18,66.19,66.4,65.89,66.28,4192348,0.0
2017-04-19,66.36,66.67,66.16,66.51,5457161,0.0
2017-04-20,66.54,66.68,65.7478,65.94,5330335,0.0
2017-04-23,66.49,66.49,65.71,66.25,7222187,0.0
