Date,Open,High,Low,Close,Volume,OpenInterest
2016-07-13,733.94,736.14,730.59,735.78,620284,0.0
2016-07-14,740.52,741,734.64,735.64,1024433,0.0
2016-07-17,737.91,755.1369,736.51,753.42,1271505,0.0
2016-07-18,748.8,756.59,748.489,753.41,964826,0.0
2016-07-19,754.19,760.64,754.05,757.08,669208,0.0
2016-07-20,757,758.15,751.52,754.4,588473,0.0
2016-07-21,757.32,759.45,752.655,759.17,628515,0.0
2016-07-24,757.69,759.8249,754.07,757.52,568747,0.0
2016-07-25,757.52,759.26,752.7503,757.68,655992,0.0
2016-07-26,758.17,764.45,755.93,761.97,968160,0.0
2016-07-27,768.57,768.97,759.09,765.22,1740917,0.0
2016-07-28,798.03,803.94,790,791.34,3389915,0.0
2016-07-31,786.99,807.49,785.04,800.93,1837088,0.0
2016-08-01,797.33,802.32,794.53,800.23,1328937,0.0
2016-08-02,795.39,799.54,793.02,798.82,895665,0.0
2016-08-03,798.39,800.2,793.92,797.25,704001,0.0
2016-08-04,800.51,807.22,797.81,806.93,1052086,0.0
2016-08-07,806,807.6,801.69,805.23,741696,0.0
2016-08-08,804.49,813.33,804.06,807.47,932326,0.0
2016-08-09,807.05,810.879,806.49,808.71,628103,0.0
2016-08-10,809.25,813.879,806,808.2,701764,0.0
2016-08-11,805.39,807.19,803.64,807.05,542770,0.0
2016-08-14,807.21,811.36,804.03,806,588090,0.0
2016-08-15,803.97,804.26,797,801.18,626571,0.0
2016-08-16,800,805.63,796.3,805.44,662949,0.0
2016-08-17,805.36,808,801.63,802.75,505828,0.0
2016-08-18,799.79,801.23,796.88,799.66,694637,0.0
2016-08-21,798.51,799.3,794.33,796.95,529415,0.0
2016-08-22,800.48,801,795.99,796.58,556701,0.0
2016-08-23,796.62,798.46,790.76,793.66,823860,0.0
2016-08-24,791.86,794.72,787.23,791.29,761913,0.0
2016-08-25,792.33,799.4,789.4069,793.21,753248,0.0
2016-08-28,793.05,798.529,790.32,795.82,488057,0.0
2016-08-29,793.85,798,789.47,791.92,731051,0.0
2016-08-30,789.6,791.57,787.2,789.99,611519,0.0
2016-08-31,791.98,792.89,786.33,791.5,811626,0.0
2016-09-01,795.27,797.1,793.26,796.83,809102,0.0
2016-09-05,798.39,810.89,795.43,808.01,1204931,0.0
2016-09-06,808.05,810.6,803.72,807.92,754031,0.0
2016-09-07,804.97,808.42,801.0101,802.68,689158,0.0
2016-09-08,798.77,801.75,788.46,788.48,1125902,0.0
2016-09-11,784.68,800.17,783.5,798.82,1114353,0.0
2016-09-12,794.2,798.82,784.33,788.72,1229967,0.0
2016-09-13,788.2,796.33,787.53,790.51,813387,0.0
2016-09-14,790.01,803.645,788.66,801.23,1001323,0.0
2016-09-15,799.05,799.05,793.62,797.97,1203961,0.0
2016-09-18,801.11,803.99,793.56,795.4,661685,0.0
2016-09-19,799.78,802.75,798.26,799.65,557417,0.0
2016-09-20,801.26,805.91,796.03,805.02,826137,0.0
2016-09-21,810,819.06,807.71,816,1081668,0.0
2016-09-22,815.06,817,812.73,814.95,917926,0.0
2016-09-25,809.83,810.08,800.45,802.52,884719,0.0
2016-09-26,801.83,813.49,801.83,810.72,816104,0.0
2016-09-27,804.08,810.25,802.7803,810.07,897033,0.0
2016-09-28,807.41,813.91,800.855,802.57,888408,0.0
2016-09-29,803.6,808.09,801.5,804.01,853403,0.0
2016-10-02,802,803.54,796.23,800.09,948143,0.0
2016-10-03,805,806.5,799.67,802.78,799710,0.0
2016-10-04,806,808.5,800.71,801.24,766496,0.0
2016-10-05,804.08,806.945,800.51,803.1,728303,0.0
2016-10-06,805.54,805.94,796.82,800.485,755209,0.0
2016-10-09,804.05,817.38,802.24,814.38,1004565,0.0
2016-10-10,814.55,819.86,807.37,809.16,1123861,0.0
2016-10-11,811.96,814.5,808.5545,811.76,525578,0.0
2016-10-12,806.07,806.56,798.62,804.08,805191,0.0
2016-10-13,807.45,810.09,802.32,804.85,606270,0.0
2016-10-16,805.99,813.49,803.83,806.77,616690,0.0
2016-10-17,814.39,828.81,813.33,821.49,1407786,0.0
2016-10-18,824.43,829.81,823.205,826.94,881517,0.0
2016-10-19,827.56,828.465,820.55,821.52,773255,0.0
2016-10-20,820,824.29,818.31,824.05,985473,0.0
2016-10-23,830.07,837.94,829.04,835.74,903896,0.0
