Date,Open,High,Low,Close,Volume,OpenInterest
2016-07-11,116.45,116.72,115.5,116.34,824498,0.0
2016-07-12,117.12,117.12,115.91,115.92,667403,0.0
2016-07-13,116.52,116.87,115.64,116.38,633706,0.0
2016-07-14,116.58,116.58,114.46,114.98,1696055,0.0
2016-07-17,114.89,115.75,114.55,115.26,522080,0.0
2016-07-18,115.07,115.49,114.56,114.78,618617,0.0
2016-07-19,112.78,115.29,112.72,114.8,1233051,0.0
2016-07-20,114.48,114.49,112.71,113.2,699166,0.0
2016-07-21,113.59,114.335,112.99,114.06,455355,0.0
2016-07-24,113.97,114.04,113.46,113.95,385856,0.0
2016-07-25,114.13,114.62,113.2,113.61,587791,0.0
2016-07-26,113.59,113.59,112.01,112.54,1398967,0.0
2016-07-27,112.65,113,111.42,112.05,1865597,0.0
2016-07-28,112.22,112.22,110.39,110.98,2500645,0.0
2016-07-31,111.42,111.77,110,110.75,2966529,0.0
2016-08-01,110.52,110.62,108.7,109.21,1404545,0.0
2016-08-02,108.89,109.86,108.85,109.84,918502,0.0
2016-08-03,110.17,110.62,109.71,109.9,539694,0.0
2016-08-04,110.05,111.91,110.05,111.49,640226,0.0
2016-08-07,111.82,112.44,111.49,112.02,997467,0.0
2016-08-08,112.04,112.76,111.82,112.12,581223,0.0
2016-08-09,112.13,113.02,112.0901,112.86,598701,0.0
2016-08-10,112.91,113.57,112.49,113.14,628488,0.0
2016-08-11,112.57,112.922,111.85,112.08,546774,0.0
2016-08-14,112.53,114.06,111.89,113.33,750733,0.0
2016-08-15,113.03,113.03,112.41,112.47,592234,0.0
2016-08-16,112.79,113,112.01,112.74,843826,0.0
2016-08-17,112.52,113.16,111.99,112.54,688883,0.0
2016-08-18,112.59,113.19,112.16,112.79,540914,0.0
2016-08-21,112.74,113.4,112.32,112.54,568129,0.0
2016-08-22,113.25,114,112.5,113.8195,1124959,0.0
2016-08-23,108.38,110.33,108,109.89,3817173,0.0
2016-08-24,109.95,110.86,109.57,110,1184791,0.0
2016-08-25,109.78,111.04,109.6694,110.33,774433,0.0
2016-08-28,110.41,111.14,110.41,110.76,946816,0.0
2016-08-29,110.71,111.16,110.11,111.15,1176299,0.0
2016-08-30,111.11,111.56,110.64,111.44,1028064,0.0
2016-08-31,111.28,112.35,110.8501,112.31,1038579,0.0
2016-09-01,112.91,113.105,111.44,112.07,747081,0.0
2016-09-05,111.89,112.0599,110.4,111.36,1320655,0.0
2016-09-06,111.44,111.97,110.92,111.97,1180195,0.0
2016-09-07,111.44,111.975,110.83,110.96,853707,0.0
2016-09-08,109.92,110.46,109.24,109.25,1124348,0.0
2016-09-11,108.8,109.92,108.33,109.54,1080704,0.0
2016-09-12,107.08,109.54,106.34,106.7,1611942,0.0
2016-09-13,106.97,108.19,106.72,108.11,1290834,0.0
2016-09-14,108.05,109.97,107.64,109.75,1129535,0.0
2016-09-15,109.38,109.43,108.16,109.03,1641720,0.0
2016-09-18,109.42,109.97,108.95,108.98,887017,0.0
2016-09-19,109.75,109.85,108.68,108.96,715096,0.0
2016-09-20,109.52,111,108.9,110.77,949226,0.0
2016-09-21,111.14,111.49,110.59,110.76,943267,0.0
2016-09-22,110.17,110.53,109.26,109.91,954758,0.0
2016-09-25,109.19,109.49,108.58,108.99,903257,0.0
2016-09-26,108.9,110.43,108.58,110.12,665487,0.0
2016-09-27,110.03,110.305,109.39,110.18,809228,0.0
2016-09-28,109.78,110.44,108.93,109.31,574651,0.0
2016-09-29,109.52,110.33,109.21,110.01,798336,0.0
2016-10-02,109.83,110.12,108.9,109.16,542531,0.0
2016-10-03,109.45,109.92,108.88,109.37,333064,0.0
2016-10-04,109.74,109.77,108.52,108.61,711213,0.0
2016-10-05,108.39,108.95,107.945,108.84,996046,0.0
2016-10-06,109,109,106.93,107.46,1192657,0.0
2016-10-09,108.48,108.84,108.12,108.15,662073,0.0
2016-10-10,108.08,108.22,106.542,106.99,1425718,0.0
2016-10-11,106.96,108.02,106.41,107.53,1294418,0.0
2016-10-12,106.8,107.3028,106.51,106.8,936267,0.0
2016-10-13,107.56,108.17,106.94,106.99,774849,0.0
2016-10-16,106.95,107.545,106.63,106.88,511524,0.0
2016-10-17,107.97,108.7999,107.08,107.15,668579,0.0
2016-10-18,107.82,108.57,107.15,108.17,934968,0.0
2016-10-19,108,108.32,107.31,107.9,583297,0.0
2016-10-20,107.71,108.89,107.08,108.46,2802776,0.0
2016-10-23,109.22,109.99,108.8,109.63,697645,0.0
2016-10-24,109.64,109.81,108.09,108.32,839641,0.0
2016-10-25,108.2,108.515,107.67,107.82,709313,0.0
2016-10-26,108.37,108.5,107.22,107.31,964349,0.0
2016-10-27,107.5,108.66,107.35,108.17,785855,0.0
2016-10-30,108.72,109.15,108.28,108.74,807439,0.0
2016-10-31,109.03,109.19,106.63,107.39,734942,0.0
2016-11-01,107.41,107.64,106.03,106.2,817012,0.0
2016-11-02,108.4,108.4,105.48,105.6,791307,0.0
2016-11-03,104.61,106.3519,104.56,105.28,694624,0.0
2016-11-06,106.6,107.99,106.37,107.87,819258,0.0
2016-11-07,107.94,108.93,107.36,108.35,617312,0.0
2016-11-08,104.27,109.57,103.2211,109.36,1690928,0.0
2016-11-09,109.6,110.58,107.19,109.21,1071293,0.0
2016-11-10,109,111.52,108.7,111.43,1764015,0.0
2016-11-13,111.5,112.06,109.92,110.01,1345672,0.0
2016-11-14,110.46,111.82,110.225,110.9,917020,0.0
2016-11-15,110.83,111.02,109.96,110.86,1457153,0.0
2016-11-16,110.81,113.84,110.22,113.83,1441800,0.0
2016-11-17,113.74,116.62,113.63,115.99,4165182,0.0
2016-11-20,115.25,115.98,114.69,115.67,1509664,0.0
2016-11-21,116.24,116.66,115.62,116.43,991663,0.0
2016-11-22,116.32,116.38,115.55,115.82,1177273,0.0
2016-11-24,115.9,116.17,115.32,116.07,349253,0.0
2016-11-27,115.9,116.5,115.28,115.71,810982,0.0
2016-11-28,115.54,116.63,115.33,116.15,1126176,0.0
2016-11-29,116.16,116.25,113.67,113.68,943604,0.0
2016-11-30,113.79,114.2,112.4,113.38,1403641,0.0
2016-12-01,113.25,113.83,112.23,113.25,536392,0.0
2016-12-04,113.86,115.58,111.48,114.89,732016,0.0
2016-12-05,114.79,114.86,113.7,114.52,560873,0.0
2016-12-06,114.32,116.64,114.19,116.61,586628,0.0
2016-12-07,116.43,117.74,116.13,117.67,727645,0.0
2016-12-08,117.58,117.64,116.67,117,866895,0.0
2016-12-11,116.91,116.96,115.53,116.03,710550,0.0
2016-12-12,116.18,118.5578,116.05,117.78,674650,0.0
2016-12-13,118.3,118.655,117.55,117.67,663908,0.0
2016-12-14,117.79,118.19,117.14,117.8,513343,0.0
2016-12-15,118.28,118.28,116.75,117.31,892492,0.0
2016-12-18,117.16,118.61,117.05,118.15,411614,0.0
2016-12-19,118.63,118.63,117.67,118.39,395418,0.0
2016-12-20,118.28,118.37,117.4,117.69,366677,0.0
2016-12-21,117.28,117.45,116.26,116.9,488970,0.0
2016-12-22,116.99,117.45,116.6,116.92,266701,0.0
2016-12-26,117.36,117.94,116.62,116.9,419643,0.0
2016-12-27,116.88,116.89,115.18,115.45,542074,0.0
2016-12-28,115.41,115.85,114.81,114.93,429935,0.0
2016-12-29,115.33,115.76,113.54,114.61,963153,0.0
2017-01-02,114.34,115.3,114.1,114.74,1099350,0.0
2017-01-03,114.71,115.63,114.3,114.98,608294,0.0
2017-01-04,114.78,115.74,114.5,115.7,730900,0.0
2017-01-05,115.6,117.03,115.2,116.85,729685,0.0
2017-01-08,116.89,116.98,115.79,116.52,485796,0.0
2017-01-09,116.44,116.63,115.26,116.11,615923,0.0
2017-01-10,116.1,116.69,115.48,116.37,578363,0.0
2017-01-11,116.24,117.15,115.37,117.04,526478,0.0
2017-01-12,117.03,117.27,116.51,117.1,404394,0.0
2017-01-16,116.96,117.31,115.59,116.09,528783,0.0
2017-01-17,116.6,116.86,115.625,115.79,477986,0.0
2017-01-18,116.07,116.4,115.07,115.93,757121,0.0
2017-01-19,116.48,117.21,115.78,117.1,1058639,0.0
2017-01-22,117.05,117.45,116.23,117.1,801043,0.0
2017-01-23,117.72,118.85,117.27,118.76,685567,0.0
2017-01-24,119.64,120.55,119.08,120.02,1121177,0.0
2017-01-25,120,120.11,118.38,118.46,828901,0.0
2017-01-26,119.12,119.26,118.21,118.6,507077,0.0
2017-01-29,118.49,118.55,117.31,118.53,548178,0.0
2017-01-30,118.42,118.58,117.618,118.56,656277,0.0
2017-01-31,118.49,118.99,117.39,117.72,660329,0.0
2017-02-01,117.21,118.19,116.43,117.84,515923,0.0
2017-02-02,118.54,119.25,118.32,118.38,550482,0.0
2017-02-05,118.09,118.17,117.28,117.88,500021,0.0
2017-02-06,118.24,118.59,117.2,117.49,543021,0.0
2017-02-07,111.9,117.66,111.9,116.54,2444404,0.0
2017-02-08,116.55,117.27,115.8,116.09,1364891,0.0
2017-02-09,116.56,117.55,115.89,117.53,1075129,0.0
2017-02-12,118.19,118.68,117.21,118.4,867895,0.0
2017-02-13,118.16,118.87,117.535,118.82,1043442,0.0
2017-02-14,118.54,118.96,117.93,118.95,731588,0.0
2017-02-15,119,119.329,118.37,119.25,621603,0.0
2017-02-16,119.24,119.87,118.195,119.87,885565,0.0
2017-02-20,119.42,120.54,118.81,119.87,1068687,0.0
2017-02-21,119.77,120.16,119.11,119.43,922569,0.0
2017-02-22,119.49,120.98,119.06,120.7,1254259,0.0
2017-02-23,126.5,128.45,123.87,128.02,2738370,0.0
2017-02-26,126.95,127.58,125.37,125.85,1769135,0.0
2017-02-27,125.72,125.86,124.3944,125.44,1268822,0.0
2017-02-28,125.89,125.89,124.18,124.53,1990369,0.0
2017-03-01,123.94,125.42,123.86,125.17,1193765,0.0
2017-03-02,125.38,126.67,124.71,126.46,1148272,0.0
2017-03-05,125.74,126.55,125.43,126.1,757762,0.0
2017-03-06,126.44,126.49,125.29,125.4,722267,0.0
2017-03-07,125.05,125.65,124.85,125.61,1140263,0.0
2017-03-08,125.93,126,124.27,124.76,966264,0.0
2017-03-09,125.69,125.69,124.66,124.94,988828,0.0
2017-03-12,124.77,125.08,124.45,124.91,1599532,0.0
2017-03-13,124.88,125.03,123.85,124.3,1599974,0.0
2017-03-14,124.93,125.36,124.175,124.65,1007334,0.0
2017-03-15,124.64,124.94,123.9,124.35,975043,0.0
2017-03-16,124.5,124.63,123.69,123.92,1152794,0.0
2017-03-19,123.57,124.19,122.77,123.39,1005211,0.0
2017-03-20,123.53,123.76,120.95,121.03,1269070,0.0
2017-03-21,121.26,121.49,120.8167,121.13,1193475,0.0
2017-03-22,121.3,122.07,119.9,119.99,1049826,0.0
2017-03-23,120.43,120.635,119.1,119.72,1418218,0.0
2017-03-26,118.98,119.06,117.79,118.43,1623634,0.0
2017-03-27,118.69,118.9,117.635,118,2194462,0.0
2017-03-28,117.83,118.14,116.77,117.87,3666456,0.0
2017-03-29,117.55,117.79,115.43,115.6,1642322,0.0
2017-03-30,115.5,116.39,115.3,115.99,3726487,0.0
2017-04-02,116.05,116.52,114.8,116.17,3529410,0.0
2017-04-03,115.69,116.78,115.69,116.03,1200342,0.0
2017-04-04,116.57,117.28,116.05,116.55,1411821,0.0
2017-04-05,116.04,117.86,115.56,117.81,2576375,0.0
2017-04-06,117.99,118.96,117.81,118.46,2010086,0.0
2017-04-09,118.55,119.3,118.04,118.63,1588606,0.0
2017-04-10,118.36,118.745,117.38,118.67,1231718,0.0
2017-04-11,118.23,118.38,117.51,117.83,1326597,0.0
2017-04-12,118.05,118.89,117.72,117.9,793663,0.0
2017-04-16,118.29,118.665,117.93,118.63,660453,0.0
2017-04-17,118.43,119.48,118.25,119.35,1336873,0.0
2017-04-18,119.66,119.73,118.7,118.98,1057550,0.0
2017-04-19,119.11,119.13,117.84,118.27,2207655,0.0
2017-04-20,118.48,118.73,117.925,118.37,1863763,0.0
2017-04-23,119.42,119.42,118.25,118.76,1335520,0.0
2017-04-24,118.83,119.38,118.61,119.07,1669345,0.0
2017-04-25,118.9,119.02,115.62,115.81,3205704,0.0
2017-04-26,123.34,125.74,123.15,125.61,4092790,0.0
2017-04-27,126.08,126.08,124.82,125.24,1438590,0.0
2017-04-30,125.55,125.67,124.72,125.55,1064222,0.0
2017-05-01,125.75,126.19,125.02,125.91,945691,0.0
2017-05-02,125.82,126,125.09,125.6,604795,0.0
2017-05-03,125.93,126.12,125.47,125.95,672607,0.0
2017-05-04,126.48,126.48,125.6901,126.14,521416,0.0
2017-05-07,126.15,126.3499,125.55,126.16,548296,0.0
2017-05-08,126.22,127.08,125.905,126.73,829322,0.0
2017-05-09,126.45,127.46,126.45,127.06,784541,0.0
2017-05-10,126.63,127.19,126.08,126.87,731343,0.0
2017-05-11,126.87,126.87,126.14,126.5,565216,0.0
2017-05-14,126.33,127.64,126.01,127.64,1034464,0.0
2017-05-15,127.58,127.61,127.1101,127.5,674759,0.0
2017-05-16,126.76,127.4199,125.29,125.35,1069413,0.0
2017-05-17,125.2,125.83,124.22,125.15,1260754,0.0
2017-05-18,125.28,126.67,124.7,125.38,1483559,0.0
2017-05-21,125.5,127.28,125.16,127.16,890306,0.0
2017-05-22,127.8,130.1,127.39,129.23,1802072,0.0
2017-05-23,139.71,140.25,136.41,137.83,4420275,0.0
2017-05-24,137.53,138.81,135.43,138.36,2762382,0.0
2017-05-25,138.03,139.86,136.83,138.54,1836975,0.0
2017-05-29,138.48,140.2,138,140.03,1555883,0.0
2017-05-30,140.2,141.08,139.52,140.64,1502071,0.0
2017-05-31,140.55,141.675,140.27,141.31,1255914,0.0
2017-06-01,141.22,142.89,141.125,142.81,1120571,0.0
2017-06-04,142.62,143.46,142.19,142.65,1081788,0.0
2017-06-05,142.18,142.94,141.6,141.65,1376123,0.0
2017-06-06,142.12,142.8099,141.43,141.97,1034248,0.0
2017-06-07,142.23,142.99,141.61,142.71,792119,0.0
2017-06-08,143,143.81,139.1,140.21,1310887,0.0
2017-06-11,138.96,140.14,138.01,139.75,1347908,0.0
2017-06-12,139.8,140.71,139.41,139.88,1139442,0.0
2017-06-13,140.5,141.03,138.86,140.2,616033,0.0
2017-06-14,138.96,140.48,138.13,140.01,1028846,0.0
2017-06-15,138.65,140.46,138.65,139.49,1220313,0.0
2017-06-18,140.46,141.28,139.75,140.75,1278857,0.0
2017-06-19,140.56,140.9,140.03,140.17,683051,0.0
2017-06-20,140.78,141.52,139.98,140.25,874007,0.0
2017-06-21,139.9,140.64,139.6,139.98,780577,0.0
2017-06-22,140.14,140.78,139.56,140.39,909261,0.0
2017-06-25,138.52,139.85,137.68,138.4,1054897,0.0
2017-06-26,137.78,138.41,135.26,135.3,1159109,0.0
2017-06-27,135.45,137.62,134.49,135.37,1187731,0.0
2017-06-28,134.98,135.13,132.35,133.05,1287316,0.0
2017-06-29,133.69,134.78,132.78,132.81,1181505,0.0
2017-07-02,133.82,133.83,131.64,131.68,485270,0.0
2017-07-04,131.91,132.89,131.26,132.01,897398,0.0
2017-07-05,130.89,131.81,130.26,131.11,940195,0.0
2017-07-06,132,133,131.71,131.9,806144,0.0
2017-07-09,131.54,132.43,131,131.89,655328,0.0
2017-07-10,132.18,132.98,131.69,132.36,616149,0.0
2017-07-11,133.49,133.79,133.03,133.47,818451,0.0
2017-07-12,133.45,134,131.79,132.4,1224737,0.0
2017-07-13,132.89,133.39,132.65,132.88,618069,0.0
2017-07-16,132.96,133.76,132.62,133.059,779776,0.0
2017-07-17,132.66,133.82,132.65,133.65,549813,0.0
2017-07-18,133.43,135.26,133.29,135.15,680921,0.0
2017-07-19,135.16,135.91,134.2,135.38,570597,0.0
2017-07-20,134.69,135.785,134.19,134.84,537715,0.0
2017-07-23,134.98,136.26,134.72,136.26,582192,0.0
2017-07-24,136.83,137.6613,135.94,136.84,642287,0.0
2017-07-25,137,137.4,136.37,137.14,493250,0.0
2017-07-26,136.9,137.71,135.14,136.86,799817,0.0
2017-07-27,136.48,137.01,135.4,135.6403,513309,0.0
2017-07-30,135.56,137.41,135.51,137.21,726204,0.0
2017-07-31,137.64,138.71,135.71,137.43,676545,0.0
2017-08-01,137.49,137.59,135.83,136.5,872868,0.0
2017-08-02,136.95,137.65,136.25,137.14,567273,0.0
2017-08-03,137.55,137.79,136.69,136.89,440423,0.0
2017-08-06,136.27,137.05,135.94,136.64,598134,0.0
2017-08-07,136.03,137.21,135.81,136.15,530350,0.0
2017-08-08,136,136.97,135.26,136.81,524938,0.0
2017-08-09,135.99,136.48,134.8,135.17,606705,0.0
2017-08-10,136.04,137.04,135.09,136.6,481390,0.0
2017-08-13,137.4,139.5825,137.4,138.88,547404,0.0
2017-08-14,138.4,139.09,135.81,137.48,1253275,0.0
2017-08-15,137.34,138.21,137.07,137.94,787177,0.0
2017-08-16,137.7,137.88,134.43,134.48,828387,0.0
2017-08-17,133.95,135.085,133.77,134.11,937704,0.0
2017-08-20,134.48,136.08,133.98,135.9,1192964,0.0
2017-08-21,136.14,138.35,135.58,138.15,1559918,0.0
2017-08-22,138.24,139.4,133.6,135.52,2028452,0.0
2017-08-23,135.27,135.8,133.71,135.31,1468595,0.0
2017-08-24,135.66,137.79,135.66,137.35,1153009,0.0
2017-08-27,137.37,138.18,136.48,137.89,915397,0.0
2017-08-28,136.76,138.6,136.75,138.02,687329,0.0
2017-08-29,137.79,140.14,137.76,139.92,798824,0.0
2017-08-30,140.07,141.69,139.76,141.45,1089411,0.0
2017-08-31,141.83,142.26,141.06,141.89,790613,0.0
2017-09-04,141.07,142.45,140.8502,141.56,953991,0.0
2017-09-05,142.15,142.49,140.74,141.15,896024,0.0
2017-09-06,140.99,141.76,140.07,141.03,1133056,0.0
2017-09-07,141.17,141.7,140.94,141.57,684257,0.0
2017-09-10,142.43,143.08,141.87,142.63,713989,0.0
2017-09-11,142.93,143,140.53,142.38,1342202,0.0
2017-09-12,141.7,142.26,140.75,142.06,867093,0.0
2017-09-13,141.34,142.09,140.58,142.08,790635,0.0
2017-09-14,141.85,142.35,141.11,142.08,894087,0.0
2017-09-17,142.07,144.06,141.61,143.83,1039778,0.0
2017-09-18,144.3,146.04,143.59,145.36,1262661,0.0
2017-09-19,145.33,145.91,143.995,145.02,842532,0.0
2017-09-20,145.82,145.9,144.06,144.5,784145,0.0
2017-09-21,144.07,146.72,144.07,146.35,984573,0.0
2017-09-24,145.53,145.99,143.76,144.78,913526,0.0
2017-09-25,145.23,145.61,144.1,144.78,829762,0.0
2017-09-26,144.2,145.68,143.68,144.36,1198575,0.0
2017-09-27,143.46,144.02,141.6,142.31,1398639,0.0
2017-09-28,142.18,142.92,140.37,142.12,1742410,0.0
2017-10-01,142.26,143.29,141.18,141.73,1240051,0.0
2017-10-02,141.77,142.3,141.31,141.84,982903,0.0
2017-10-03,141.75,142.89,140.21,142.66,1275772,0.0
2017-10-04,142.99,143.13,142.02,142.87,760366,0.0
2017-10-05,142.35,144.24,142.04,144.18,628949,0.0
2017-10-08,144.34,144.34,143.41,143.96,460552,0.0
2017-10-09,143.95,144.72,143.46,144.19,594011,0.0
2017-10-10,144.17,144.68,143.18,143.64,649782,0.0
2017-10-11,143.65,145.93,143.46,145.85,822808,0.0
2017-10-12,146.81,146.99,145.25,145.65,636249,0.0
2017-10-15,146,146,144.64,144.74,489109,0.0
2017-10-16,144.78,145.64,144.525,145.44,877801,0.0
2017-10-17,145.61,146.46,145.1415,145.81,617194,0.0
2017-10-18,145.4,146.65,145.3775,146.65,592602,0.0
2017-10-19,147.06,148.42,146.46,147.93,709579,0.0
2017-10-22,148.53,148.89,146.96,147.38,497444,0.0
2017-10-23,147.09,148.62,145.83,148.61,862326,0.0
2017-10-24,148.35,149.74,147.97,149.52,742495,0.0
2017-10-25,150.05,151.95,149.43,151.33,834809,0.0
2017-10-26,151.4,153.86,150.82,153.48,823243,0.0
2017-10-29,153.17,153.26,150.385,151.46,648277,0.0
2017-10-30,151.78,151.99,150.51,151.05,519158,0.0
2017-10-31,151.85,152.215,150.55,151.35,612026,0.0
2017-11-01,151.34,152.32,150.6,152.17,652243,0.0
2017-11-02,151.89,154.04,151.04,153.64,685196,0.0
2017-11-05,153.86,154.19,152.04,152.67,425749,0.0
2017-11-06,153.25,153.33,151.58,152.52,379266,0.0
2017-11-07,152.61,153.19,151.67,152.98,389613,0.0
2017-11-08,152.01,152.59,150.58,152.42,723241,0.0
2017-11-09,151.58,153.45,151.56,153.27,407061,0.0
2017-11-12,153.01,155.37,153.01,154.89,703857,0.0
2017-11-13,154.05,155.775,153.52,155.21,599699,0.0
2017-11-14,155.22,156.46,153.36,153.86,1248317,0.0
2017-11-15,154.09,156.04,153.59,155.68,787664,0.0
2017-11-16,155.99,156.709,155.2701,156.56,929067,0.0
2017-11-19,157.22,158.9,156.53,157.83,1324418,0.0
2017-11-20,152.99,156.39,151.18,151.8,1975513,0.0
2017-11-21,151.94,152.375,150.72,151.625,1430686,0.0
2017-11-23,151.1,153.98,151.02,153.93,785436,0.0
2017-11-26,153.74,155.12,153.35,154.76,1092719,0.0
2017-11-27,154.92,155.89,154.2533,155.8,858977,0.0
2017-11-28,155.65,155.96,153.1781,154.22,1358069,0.0
2017-11-29,154.76,157.8,153.91,157.11,1635861,0.0
2017-11-30,156.14,158,152.5801,156.43,1133475,0.0
2017-12-03,156.7,156.88,154.21,154.54,1291631,0.0
2017-12-04,154.7,156.32,154.19,154.47,679417,0.0
2017-12-05,154.46,156.25,153.5642,156.19,656220,0.0
2017-12-06,155.71,155.99,154.29,155.55,880160,0.0
2017-12-07,156.05,156.39,154.15,155.21,970383,0.0
2017-12-10,155.09,155.83,153.94,155.7,826199,0.0
2017-12-11,155.33,156.41,154.53,155.86,729855,0.0
2017-12-12,156.35,157.76,156.01,156.48,969795,0.0
2017-12-13,156.83,157.48,155.61,156.21,770092,0.0
2017-12-14,156.99,159.77,156.04,159.63,1306446,0.0
2017-12-17,160,161.44,159.8,161.13,949014,0.0
2017-12-18,160.86,161.3,158.7,159.88,1255846,0.0
