Date,Open,High,Low,Close,Volume,OpenInterest
2016-07-13,21.95,21.98,21.63,21.68,7146287,0.0
2016-07-14,21.73,21.78,21.31,21.39,6023953,0.0
2016-07-17,21.4,22.35,21.4,22.15,8767779,0.0
2016-07-18,21.85,22.6,21.85,22.42,10794161,0.0
2016-07-19,22.52,22.9,22.32,22.66,11559104,0.0
2016-07-20,22.87,22.87,21.94,21.99,11332538,0.0
2016-07-21,22.06,22.06,21.65,21.915,6529786,0.0
2016-07-24,22,22.02,21.51,21.84,4528310,0.0
2016-07-25,21.85,22.65,21.74,22.49,9644126,0.0
2016-07-26,22.5,22.64,22.2,22.36,4982760,0.0
2016-07-27,22.2,22.27,21.97,22.13,4890960,0.0
2016-07-28,22.11,22.13,21.55,21.645,7932114,0.0
2016-07-31,21.69,22.13,21.66,21.83,6572118,0.0
2016-08-01,21.86,21.98,21.56,21.79,4586236,0.0
2016-08-02,21.65,21.78,21.51,21.73,5696636,0.0
2016-08-03,21.66,21.73,21.22,21.37,8928864,0.0
2016-08-04,21.5,22.1725,21.29,21.85,7713328,0.0
2016-08-07,21.82,22.37,21.55,22.35,9095144,0.0
2016-08-08,22.36,22.69,22.05,22.37,18161824,0.0
2016-08-09,24.11,24.6,23.26,23.41,29535049,0.0
2016-08-10,23.65,24,23.07,23.29,16610806,0.0
2016-08-11,23.27,24.89,22.93,24.66,26770061,0.0
2016-08-14,24.86,25.62,24.85,25.32,15509262,0.0
2016-08-15,25.57,25.58,24.75,25.02,12799416,0.0
2016-08-16,24.9,25.44,24.8,25.38,11490061,0.0
2016-08-17,25.36,25.52,25.12,25.4,9611044,0.0
2016-08-18,26.15,26.2,25.7,25.905,17319087,0.0
2016-08-21,25.95,25.99,25.52,25.765,7043305,0.0
2016-08-22,25.81,26.3,25.785,25.93,8128803,0.0
2016-08-23,25.97,26.08,25.51,25.56,8494117,0.0
2016-08-24,25.4,25.7,25.295,25.41,8498368,0.0
2016-08-25,25.46,25.99,25.42,25.79,9107054,0.0
2016-08-28,25.85,25.85,25.47,25.61,4876233,0.0
2016-08-29,25.71,25.95,25.495,25.58,5822637,0.0
2016-08-30,25.5,25.695,25.2,25.42,8952709,0.0
2016-08-31,25.43,25.73,25.33,25.71,4775455,0.0
2016-09-01,25.9,26.07,25.52,25.55,9133928,0.0
2016-09-05,25.72,27,25.72,26.53,17144801,0.0
2016-09-06,26.57,26.78,26.48,26.55,8542971,0.0
2016-09-07,26.6,27.08,26.55,26.85,8189440,0.0
2016-09-08,26.82,26.95,26.34,26.37,13035434,0.0
2016-09-11,25.6,26.575,25.55,26.49,11713343,0.0
2016-09-12,26.22,26.575,26.11,26.53,10247041,0.0
2016-09-13,26.59,26.69,25.71,26.01,15908127,0.0
2016-09-14,26,26.13,25.62,26.12,11076381,0.0
2016-09-15,26.23,26.55,26.01,26.23,8276304,0.0
2016-09-18,26.34,26.48,25.93,26.05,7688223,0.0
2016-09-19,25.88,26.16,25.68,25.85,8221915,0.0
2016-09-20,25.94,26.03,25.54,25.88,12163085,0.0
2016-09-21,26,26.4,25.86,26.3,16268537,0.0
2016-09-22,26.32,26.99,26.18,26.835,12357577,0.0
2016-09-25,26.54,26.61,26.35,26.54,10587775,0.0
2016-09-26,26.6,27.29,26.55,26.68,11629423,0.0
2016-09-27,26.64,26.87,26.01,26.28,8364425,0.0
2016-09-28,26.22,26.48,25.8,25.98,11889694,0.0
2016-09-29,26.01,26.32,25.92,26.09,5802484,0.0
2016-10-02,26.03,26.13,25.7,26.11,8618078,0.0
2016-10-03,26.15,29.235,26.125,27.49,28336755,0.0
2016-10-04,27.59,28.09,27.28,27.93,22435539,0.0
2016-10-05,28.45,28.53,26.96,27.39,14510517,0.0
2016-10-06,27.4,27.5,26.8,27.03,8947891,0.0
2016-10-09,27.04,27.51,26.77,27.29,7316384,0.0
2016-10-10,27.24,27.405,26.58,26.75,6028148,0.0
2016-10-11,26.61,26.82,26.34,26.59,7640546,0.0
2016-10-12,26.15,26.27,25.53,26.27,11831937,0.0
2016-10-13,26.72,26.78,26.27,26.51,6403328,0.0
2016-10-16,26.3,26.84,26.14,26.3,5057556,0.0
2016-10-17,26.78,26.79,26.2,26.25,4757122,0.0
2016-10-18,26.36,26.58,26.09,26.3,4981401,0.0
2016-10-19,26.17,26.855,26.17,26.66,7406323,0.0
2016-10-20,26.61,26.9,26.58,26.86,4764180,0.0
2016-10-23,27,27.12,26.09,26.49,11199515,0.0
2016-10-24,26.55,26.69,26.25,26.42,4228132,0.0
2016-10-25,26.32,26.57,26.14,26.48,4207037,0.0
2016-10-26,26.59,26.68,25.73,25.875,8092332,0.0
2016-10-27,25.75,26.05,25.38,25.9,7497818,0.0
2016-10-30,26.03,26.44,25.93,25.96,4652444,0.0
2016-10-31,25.9,26.04,25.18,25.3,8727420,0.0
2016-11-01,25.44,25.5,24.37,24.74,12988761,0.0
2016-11-02,24.54,25.05,24.51,24.68,6074913,0.0
2016-11-03,24.57,24.77,24.31,24.65,6504226,0.0
2016-11-06,25.18,25.715,25,25.47,7311506,0.0
2016-11-07,25.51,25.55,25.015,25.44,4774075,0.0
2016-11-08,24.6,25.58,24.6,25.13,5869152,0.0
2016-11-09,25.5,25.5,23.88,24.39,9271785,0.0
2016-11-10,24.25,24.52,23.68,24.04,11374575,0.0
2016-11-13,24.23,24.23,23.375,23.71,14423311,0.0
2016-11-14,25.69,26.96,25.29,26.41,35486410,0.0
2016-11-15,25.62,26.6,25.62,26.5,8310632,0.0
2016-11-16,26.5,26.93,26.33,26.75,7708609,0.0
2016-11-17,26.75,26.89,26.255,26.45,4513944,0.0
2016-11-20,26.5,26.5601,25.89,26,6781561,0.0
2016-11-21,26,26.135,25.64,25.81,6532315,0.0
2016-11-22,25.76,25.95,25.65,25.74,5465369,0.0
2016-11-24,25.89,25.99,25.43,25.54,6124813,0.0
2016-11-27,25.56,25.945,25.5399,25.83,8547983,0.0
2016-11-28,25.84,27.7,25.75,26.85,27192669,0.0
2016-11-29,26.83,27.4,26.665,26.88,12181882,0.0
2016-11-30,26.79,26.95,26.18,26.3,10286031,0.0
2016-12-01,26.32,26.45,25.72,25.88,8313293,0.0
2016-12-04,25.86,26.315,25.58,25.955,6573300,0.0
2016-12-05,26.09,26.26,25.77,25.83,4300696,0.0
2016-12-06,25.76,27.19,25.72,26.98,16770536,0.0
2016-12-07,26.99,27.2,26.69,26.9625,7420998,0.0
2016-12-08,26.87,26.97,26.265,26.83,7339550,0.0
2016-12-11,26.38,26.62,25.82,26.16,5864140,0.0
2016-12-12,26.31,26.92,25.92,26.65,6536912,0.0
2016-12-13,26.69,27.38,26.51,26.96,9868426,0.0
2016-12-14,26.74,26.74,25.58,25.76,8508930,0.0
2016-12-15,25.73,26.16,25.57,25.61,5846510,0.0
2016-12-18,25.6,25.64,25.25,25.38,3741258,0.0
2016-12-19,25.72,25.72,25.31,25.52,3791016,0.0
2016-12-20,25.42,25.96,25.42,25.88,3402797,0.0
2016-12-21,25.86,25.9,25.49,25.62,3261811,0.0
2016-12-22,25.51,25.85,25.34,25.49,3050460,0.0
2016-12-26,25.52,26.21,25.455,25.93,2905050,0.0
2016-12-27,26.09,26.195,25.61,25.74,2587251,0.0
2016-12-28,25.76,25.9115,25.56,25.64,3106213,0.0
2016-12-29,25.68,25.84,25.285,25.44,3112590,0.0
2017-01-02,25.95,26.11,25.64,25.8,7648046,0.0
2017-01-03,26.05,26.085,25.585,25.84,7422329,0.0
2017-01-04,26.19,26.8,26.05,26.3,9627543,0.0
2017-01-05,26.3,26.41,25.92,26.27,5684518,0.0
2017-01-08,26.64,26.95,26.14,26.25,7500089,0.0
2017-01-09,26.3,27.1,26.25,26.9,19564386,0.0
2017-01-10,26.76,27.18,26.445,26.77,4924961,0.0
2017-01-11,26.83,26.83,26.48,26.6,4297998,0.0
2017-01-12,26.77,26.9,26.52,26.86,5338226,0.0
2017-01-16,26.82,27.65,26.71,27.205,7207788,0.0
2017-01-17,27.34,27.5,26.86,27.15,5629819,0.0
2017-01-18,27.3,27.84,27.13,27.75,8720306,0.0
2017-01-19,27.96,28.14,27.54,27.61,6273619,0.0
2017-01-22,27.5,28.27,27.46,28.18,8790553,0.0
2017-01-23,28.5,28.91,28.22,28.53,12150494,0.0
2017-01-24,28.77,28.84,28.3538,28.59,6952911,0.0
2017-01-25,28.8,28.8,28.18,28.33,4463857,0.0
2017-01-26,28.35,28.5,28.12,28.35,2884006,0.0
2017-01-29,28.17,28.64,28.06,28.57,3203683,0.0
2017-01-30,28.32,28.46,28.01,28.4,3821606,0.0
2017-01-31,28.59,28.59,28.02,28.12,3779797,0.0
2017-02-01,28,28.21,27.88,28.17,3932029,0.0
2017-02-02,28.28,28.4,28.08,28.32,3298858,0.0
2017-02-05,28.64,28.8,28.35,28.55,3518259,0.0
2017-02-06,28.66,28.94,28.46,28.8,4466102,0.0
2017-02-07,28.81,29.06,28.63,28.97,3368413,0.0
2017-02-08,28.96,29.2,28.76,29.01,5684417,0.0
2017-02-09,29.21,29.525,29.01,29.38,3924417,0.0
2017-02-12,29.52,29.65,29.105,29.51,5256677,0.0
2017-02-13,29.48,29.74,29.28,29.43,2994112,0.0
2017-02-14,29.5,30.25,29.4,30.15,6937403,0.0
2017-02-15,30.32,30.57,30.03,30.22,7252421,0.0
