Date,Open,High,Low,Close,Volume,OpenInterest
2016-07-11,29.62,30.73,29.5,30.6,4547833,0.0
2016-07-12,30.75,30.92,30.38,30.55,3078503,0.0
2016-07-13,30.88,31.735,30.56,31.61,3172778,0.0
2016-07-14,31.85,31.885,31.105,31.25,2972014,0.0
2016-07-17,31.42,32.295,31.1,32.11,2507829,0.0
2016-07-18,31.69,31.7,31.04,31.62,3423312,0.0
2016-07-19,31.61,31.61,30.995,31.03,3041202,0.0
2016-07-20,31.03,31.53,30.822,31.43,2373588,0.0
2016-07-21,31.63,31.88,31.35,31.36,1979616,0.0
2016-07-24,31.41,31.68,30.935,31,2090282,0.0
2016-07-25,31.1,31.64,30.89,31.52,1908927,0.0
2016-07-26,31.53,31.73,30.77,31.01,1818490,0.0
2016-07-27,30.85,31.32,30.76,31.16,2104529,0.0
2016-07-28,31.26,31.77,30.92,31.71,2261608,0.0
2016-07-31,31.62,32.19,31.4,32.04,2479711,0.0
2016-08-01,31.95,32.04,31.225,31.42,2490907,0.0
2016-08-02,31.38,32.51,30.26,32.485,2117012,0.0
2016-08-03,32.46,32.81,32.05,32.42,1101817,0.0
2016-08-04,32.29,32.2999,30.82,30.83,4943582,0.0
2016-08-07,30.85,31.35,30.73,31.22,2151958,0.0
2016-08-08,31.41,31.73,31.215,31.51,1589877,0.0
2016-08-09,31.69,31.69,30.99,31.28,1227688,0.0
2016-08-10,31.36,31.92,31.36,31.59,1153012,0.0
2016-08-11,31.46,31.95,31.35,31.54,718487,0.0
2016-08-14,31.66,32.55,31.56,32.46,1168703,0.0
2016-08-15,32.53,32.99,32.26,32.57,1623911,0.0
2016-08-16,32.43,32.75,32.24,32.48,1430678,0.0
2016-08-17,32.49,32.61,32.21,32.38,1480187,0.0
2016-08-18,32.3,32.32,31.7,31.78,1279056,0.0
2016-08-21,31.69,31.99,31.37,31.89,989774,0.0
2016-08-22,31.95,32.51,31.88,32.27,1232196,0.0
2016-08-23,32.25,32.51,31.54,31.62,1191126,0.0
2016-08-24,31.56,31.81,31,31.04,1461066,0.0
2016-08-25,31.22,31.57,30.53,30.82,2214861,0.0
2016-08-28,30.95,31.39,30.95,31.14,1249811,0.0
2016-08-29,31.24,31.7,31.02,31.23,926492,0.0
2016-08-30,30.15,31.69,30.15,31.64,1020390,0.0
2016-08-31,31.82,32.26,31.4,31.91,2600322,0.0
2016-09-01,32.3,32.99,32.06,32.85,2925331,0.0
2016-09-05,32.84,33.16,32.48,32.94,1904914,0.0
2016-09-06,33.01,33.301,32.66,32.73,971342,0.0
2016-09-07,32.74,32.87,32.45,32.66,1090604,0.0
2016-09-08,32.24,32.54,31.5,31.53,2670682,0.0
2016-09-11,31.22,33.34,31.208,33.09,2681446,0.0
2016-09-12,32.58,33.1,31.86,32.43,2050823,0.0
2016-09-13,32.36,32.86,32.01,32.12,1828250,0.0
2016-09-14,32.16,32.92,31.75,32.64,3328137,0.0
2016-09-15,32.61,32.62,32.09,32.52,1828722,0.0
2016-09-18,32.74,33.03,32.51,32.79,1416634,0.0
2016-09-19,32.94,33.175,32.65,33.05,1546412,0.0
2016-09-20,33.01,33.59,32.88,33.5,1814062,0.0
2016-09-21,33.7,34.305,33.7,33.92,1398733,0.0
2016-09-22,33.94,34.63,33.71,34.43,2165868,0.0
2016-09-25,34.06,34.4,33.13,33.26,2079188,0.0
2016-09-26,33.23,33.55,33.09,33.45,1060513,0.0
2016-09-27,33.56,33.96,33.33,33.84,1606663,0.0
2016-09-28,33.88,33.98,32.66,32.82,1566605,0.0
2016-09-29,32.91,34.31,32.74,34.17,3003017,0.0
2016-10-02,33.91,34.39,33.75,34.03,1833227,0.0
2016-10-03,34.08,34.65,33.73,33.89,1429910,0.0
2016-10-04,34.05,34.3,33.91,34.22,1569503,0.0
2016-10-05,34.03,34.21,33.38,33.44,2159608,0.0
2016-10-06,33.66,33.915,32.23,32.47,2510835,0.0
2016-10-09,32.73,33.05,32.7,32.83,2271232,0.0
2016-10-10,32.72,32.72,32.21,32.29,3183340,0.0
2016-10-11,32.34,32.63,32.07,32.43,1957914,0.0
2016-10-12,32.14,32.25,31.647,31.86,1694761,0.0
2016-10-13,32.07,32.34,31.55,31.58,1325382,0.0
2016-10-16,31.49,31.81,31.11,31.14,1489880,0.0
2016-10-17,31.66,31.81,31.215,31.24,1315722,0.0
2016-10-18,31.54,31.82,31.14,31.57,2661569,0.0
2016-10-19,31.51,31.87,31.22,31.66,1486361,0.0
2016-10-20,31.36,32.03,31.16,31.87,1425215,0.0
2016-10-23,32.05,32.225,31.605,32.18,1407257,0.0
2016-10-24,31.76,32.69,31.76,32.24,1264763,0.0
2016-10-25,32.14,32.25,31.85,32.02,869185,0.0
2016-10-26,32.14,32.15,31.415,31.77,1169108,0.0
2016-10-27,31.72,32.47,31.72,32.14,1823582,0.0
2016-10-30,32.3,32.85,32.18,32.6,1825153,0.0
2016-10-31,32.73,32.99,31.97,32.26,1810364,0.0
2016-11-01,32.28,32.42,31.85,31.87,1354513,0.0
2016-11-02,32.14,32.43,31.4,31.43,1643517,0.0
2016-11-03,28.54,32.4,28.5,31.66,3986997,0.0
2016-11-06,32.31,32.93,31.91,32.13,3263052,0.0
2016-11-07,32,33.279,31.52,33.15,3135099,0.0
2016-11-08,31,33.75,31,33.14,2768274,0.0
2016-11-09,33.15,33.21,30.15,30.89,6900560,0.0
2016-11-10,30.79,31.02,30.1,30.62,4414811,0.0
2016-11-13,30.65,30.99,30.21,30.66,3238153,0.0
2016-11-14,30.8,30.89,30.2,30.88,2613159,0.0
2016-11-15,30.69,32.005,30.55,31.8,2132379,0.0
2016-11-16,31.76,33.11,31.57,32.9,3561658,0.0
2016-11-17,32.78,33.36,32.46,32.76,2194503,0.0
2016-11-20,32.88,33.61,32.56,33.03,2765139,0.0
2016-11-21,33.25,33.43,32.87,32.99,1817647,0.0
2016-11-22,32.89,33.16,32.19,32.3,2178471,0.0
2016-11-24,32.3,32.78,32.13,32.67,808971,0.0
2016-11-27,32.67,33.24,32.02,32.24,1776891,0.0
2016-11-28,32.02,32.54,31.87,32.09,1783780,0.0
2016-11-29,32.13,32.33,31.005,31.32,3083976,0.0
2016-11-30,31.22,31.63,30.03,30.08,2936362,0.0
2016-12-01,30.22,30.32,29.48,29.66,3166006,0.0
2016-12-04,29.83,30.17,29.54,29.55,2493798,0.0
2016-12-05,29.52,30.1,29.52,29.91,3845067,0.0
2016-12-06,29.89,30.44,29.69,30.33,3420617,0.0
2016-12-07,30.63,30.805,30.14,30.21,3343745,0.0
2016-12-08,30.37,30.58,29.9,30.13,2121871,0.0
2016-12-11,30.07,30.4429,29.65,29.78,2216208,0.0
2016-12-12,29.94,30.54,29.89,30.28,3288734,0.0
2016-12-13,30.34,30.53,29.96,30.05,2324628,0.0
2016-12-14,29.8,30.7375,29.8,30.11,1954578,0.0
2016-12-15,30.25,30.95,30.09,30.49,2426546,0.0
2016-12-18,30.65,30.9,30.32,30.33,1336430,0.0
2016-12-19,30.47,30.87,30.28,30.83,1224276,0.0
2016-12-20,30.77,31.18,30.62,31.06,979883,0.0
2016-12-21,31.16,31.2035,30.72,30.82,1468863,0.0
2016-12-22,30.71,31.19,30.71,30.84,944567,0.0
2016-12-26,30.99,31.73,30.77,31.45,1053569,0.0
2016-12-27,31.45,31.485,30.87,31.02,942376,0.0
2016-12-28,31.06,31.17,30.69,30.8,962869,0.0
2016-12-29,30.91,30.91,30.33,30.6,1250017,0.0
2017-01-02,30.99,31.32,30.43,30.66,2241602,0.0
2017-01-03,30.73,31.35,30.73,31.35,1379465,0.0
2017-01-04,31.27,32.33,31.23,32.32,1949468,0.0
2017-01-05,32.52,33.385,32.3,33.35,2346697,0.0
2017-01-08,33.43,33.96,32.9,33.8,1536555,0.0
2017-01-09,33.9,34.06,33.37,34.03,1777709,0.0
2017-01-10,33.94,34.935,33.83,34.91,2171761,0.0
2017-01-11,34.92,34.99,34.45,34.91,2762280,0.0
2017-01-12,34.99,35.45,34.855,34.99,1897455,0.0
2017-01-16,34.74,35.0498,34.51,34.7,1848306,0.0
2017-01-17,34.78,34.81,34.1602,34.53,1617566,0.0
