Date,Open,High,Low,Close,Volume,OpenInterest
2016-07-13,89.51,89.75,87.82,87.89,1985266,0.0
2016-07-14,88.19,88.84,87.6299,88.56,1465872,0.0
2016-07-17,89.62,89.69,88.42,89.33,1322772,0.0
2016-07-18,88.78,90,88.1555,89.51,1199404,0.0
2016-07-19,90,91.5,89.46,91.22,2039059,0.0
2016-07-20,91.13,91.34,89,89.32,1596924,0.0
2016-07-21,89.69,90.34,88.99,90.04,835134,0.0
2016-07-24,90.06,90.7,89.6403,90.65,918697,0.0
2016-07-25,91.2,92.18,90.36,91.59,1978694,0.0
2016-07-26,92.2,92.29,90.97,91.96,2147624,0.0
2016-07-27,92.94,93.8,91.6,93.09,2308149,0.0
2016-07-28,93.05,93.05,89.67,89.77,2186235,0.0
2016-07-31,90.17,90.96,89.79,90.79,1112212,0.0
2016-08-01,90.61,91.09,88.96,89.73,1324279,0.0
2016-08-02,89.34,90.8,89.19,90.8,935128,0.0
2016-08-03,90.83,92,90.36,91.93,1253114,0.0
2016-08-04,92,93.3,91.75,93.25,1115498,0.0
2016-08-07,93.16,93.3,92.49,92.71,1046191,0.0
2016-08-08,92.97,93.451,92.63,93.29,877572,0.0
2016-08-09,93.06,93.19,88.13,89.11,5764134,0.0
2016-08-10,89.15,89.87,88.58,88.89,4019934,0.0
2016-08-11,89.06,90.19,88.51,89.19,1596837,0.0
2016-08-14,89.17,91.37,89.1,90.74,1753508,0.0
2016-08-15,90.43,90.94,89.84,89.85,1582394,0.0
2016-08-16,89.57,90.68,89.5,90.21,1412033,0.0
2016-08-17,90.5,91.1,90,90.92,1318570,0.0
2016-08-18,92.25,93.6,91.46,93.19,2279327,0.0
2016-08-21,92.81,93.7,92.4,93.2,1117413,0.0
2016-08-22,94.35,94.88,93.47,93.88,2073719,0.0
2016-08-23,93.9,94.17,92.34,92.71,1302504,0.0
2016-08-24,92.79,93.95,92.6,93.44,1328440,0.0
2016-08-25,93.41,94.15,92.76,93.81,1305590,0.0
2016-08-28,93.86,95.77,93.0143,94.34,1321270,0.0
2016-08-29,94.55,94.75,92.74,92.98,1596053,0.0
2016-08-30,93,93.48,92.31,93.33,1234583,0.0
2016-08-31,93.6,94.77,92.79,94.64,1529020,0.0
2016-09-01,95.24,95.41,93.69,94.36,1265263,0.0
2016-09-05,94.31,94.85,93.115,93.7,1040709,0.0
2016-09-06,93.45,94.48,93.39,94.04,1214917,0.0
2016-09-07,93.5,94.24,93.16,93.57,833283,0.0
2016-09-08,92.64,92.92,91.05,91.19,1997562,0.0
2016-09-11,89.85,93.59,89.8,93.28,1316986,0.0
2016-09-12,92.46,93.27,90.99,91.54,1976665,0.0
2016-09-13,91.78,92.14,90.93,91.57,2009820,0.0
2016-09-14,91.57,93.7,91.57,93.36,1940624,0.0
2016-09-15,93.17,93.84,91.94,92.97,1388224,0.0
2016-09-18,93.78,93.85,91.9,92.15,1181454,0.0
2016-09-19,92.65,93.11,91.72,91.99,1488733,0.0
2016-09-20,92.52,93.31,91.8,93.29,1409922,0.0
2016-09-21,93.58,93.88,92.09,92.69,1826761,0.0
2016-09-22,92.43,92.95,91.72,91.78,1380294,0.0
2016-09-25,91.51,91.74,90.965,91.38,1030140,0.0
2016-09-26,91.33,92.64,90.56,92.52,1148446,0.0
2016-09-27,92.72,93.2,92.18,92.94,795521,0.0
2016-09-28,92.9,94.1,92.48,93.23,2560537,0.0
2016-09-29,93.67,95.39,93.415,94.71,2471140,0.0
2016-10-02,94.15,95.33,94.08,94.59,1567952,0.0
2016-10-03,94.56,95.4,94.26,94.85,2144489,0.0
2016-10-04,94.71,96.5,94.4,96.17,2030930,0.0
2016-10-05,98.85,100.47,97.82,100.2,7788418,0.0
2016-10-06,99.86,100.89,98.82,100.36,4355914,0.0
2016-10-09,100.97,102.44,100.61,102.15,2612845,0.0
2016-10-10,101.79,101.79,98.64,99.6,4018489,0.0
2016-10-11,98.23,99.09,96.81,98.68,3233333,0.0
2016-10-12,98.12,98.12,96.91,97.75,2266455,0.0
2016-10-13,98.32,99.1649,98.13,98.21,2030987,0.0
2016-10-16,97.89,99.11,97.48,98.06,1695681,0.0
2016-10-17,99.05,99.69,98.55,99.47,2155511,0.0
2016-10-18,99.67,100.18,99.2,99.717,3233276,0.0
2016-10-19,100,100.96,95.87,96.82,7010379,0.0
2016-10-20,96.76,99.13,96.74,97.61,3808499,0.0
2016-10-23,98.45,99.3,98.01,98.98,1458862,0.0
2016-10-24,99.14,99.17,97.91,98.08,1841838,0.0
2016-10-25,97.57,98.68,97.39,97.86,1767583,0.0
2016-10-26,98.59,98.9,96.52,96.7,1803797,0.0
2016-10-27,97.22,97.8,96.02,96.21,1178390,0.0
2016-10-30,96.91,97.41,96.36,96.86,1305824,0.0
2016-10-31,97.16,97.43,95.09,96.05,1878871,0.0
2016-11-01,95.87,96.63,94.8,95.85,2172428,0.0
2016-11-02,95.87,95.94,94.94,95.23,1943804,0.0
2016-11-03,94.35,96.17,93.69,95,1815182,0.0
2016-11-06,96.48,98.58,96.46,98.49,1933203,0.0
2016-11-07,98.51,99.65,97.91,99.12,1194197,0.0
2016-11-08,96.79,98.24,96.2801,97.98,1514830,0.0
2016-11-09,98.17,99.44,94.89,95.97,1620576,0.0
2016-11-10,95.82,97.64,95.38,97.5,1261180,0.0
2016-11-13,97.8,98.915,97.51,98.51,1382593,0.0
2016-11-14,99.92,101.46,99.17,101.12,1592901,0.0
2016-11-15,100.77,101.29,100.08,101.25,987332,0.0
2016-11-16,101.58,103.85,100.72,103.8,1442451,0.0
2016-11-17,103.44,107.25,103.14,104.71,3029080,0.0
2016-11-20,105.07,106.29,104.66,106.23,1658176,0.0
2016-11-21,106.88,107.37,106.07,106.72,1403240,0.0
2016-11-22,106.71,107.06,105.7,106.95,1130194,0.0
2016-11-24,106.95,107.72,106.31,107.55,474380,0.0
2016-11-27,107.42,108.04,106.69,106.79,1240867,0.0
2016-11-28,107.29,108.195,106.57,107.57,1449239,0.0
2016-11-29,107.55,107.99,106,106.02,1225639,0.0
2016-11-30,105.7,105.72,97.79,98.6,5195007,0.0
2016-12-01,99.19,101.52,98.35,100.49,2232022,0.0
