Date,Open,High,Low,Close,Volume,OpenInterest
2016-07-13,53.85,54.04,53.38,53.6,1150317,0.0
2016-07-14,53.71,53.97,53.39,53.86,1752174,0.0
2016-07-17,54.6,54.67,53.87,54.03,1122852,0.0
2016-07-18,53.79,53.95,53.45,53.71,945076,0.0
2016-07-19,53.95,54.52,53.641,54.34,1189426,0.0
2016-07-20,54.15,54.325,53.63,53.81,1340064,0.0
2016-07-21,53.91,54.215,53.33,54.17,1323479,0.0
2016-07-24,53.68,54.53,53.68,54.27,1397574,0.0
2016-07-25,54.75,58.74,54.31,57.35,5571701,0.0
2016-07-26,57.54,57.54,56.36,57.09,2446498,0.0
2016-07-27,57,57.309,56.29,56.68,1320814,0.0
2016-07-28,56.84,56.94,55.65,55.65,2140838,0.0
2016-07-31,56.04,56.24,55.56,55.81,1738734,0.0
2016-08-01,55.58,55.75,54.51,54.98,1372435,0.0
2016-08-02,54.91,55.38,54.815,55.33,1083446,0.0
2016-08-03,55.4,55.825,55.35,55.75,1024257,0.0
2016-08-04,55.97,56.57,55.84,56.57,1700683,0.0
2016-08-07,56.6,57.13,56.52,56.65,1526785,0.0
2016-08-08,59.63,61.97,59.46,60.64,7296246,0.0
2016-08-09,60.61,60.85,60.18,60.35,3061416,0.0
2016-08-10,60.37,60.86,60.16,60.77,2145635,0.0
2016-08-11,60.96,61.52,60.285,60.5,1145042,0.0
2016-08-14,60.78,61.27,60.53,61.2,2068094,0.0
2016-08-15,60.89,61.28,60.59,60.83,1094216,0.0
2016-08-16,60.76,61,60.3,60.96,839625,0.0
2016-08-17,60.79,61.32,60.5,61.23,1373306,0.0
2016-08-18,61.29,61.82,61.05,61.31,1208696,0.0
2016-08-21,60.95,61.33,60.92,61.27,860550,0.0
2016-08-22,61.57,61.91,61.37,61.4,636542,0.0
2016-08-23,61.15,61.45,60.88,61.02,914368,0.0
2016-08-24,61.04,61.63,60.9,61.13,1133062,0.0
2016-08-25,61.22,62.24,61.19,61.58,1274400,0.0
2016-08-28,61.67,62,61.56,61.6,845788,0.0
2016-08-29,61.77,62.24,61.25,61.44,1208902,0.0
2016-08-30,61.57,61.99,61.15,61.9,1732069,0.0
2016-08-31,62.1,62.8,61.56,62.8,1903762,0.0
2016-09-01,62.74,63,62.265,62.69,1464825,0.0
2016-09-05,62.81,63.11,61.805,62.27,2155375,0.0
2016-09-06,61.45,61.86,60.55,60.76,2623258,0.0
2016-09-07,60.76,60.95,60.301,60.67,1312456,0.0
2016-09-08,60.16,60.3827,58.32,58.51,2224180,0.0
2016-09-11,58.38,59.99,58.15,59.86,1477745,0.0
2016-09-12,59.58,59.96,58.87,59.12,1860394,0.0
2016-09-13,59.08,59.56,58.6,59.41,1111282,0.0
2016-09-14,59.48,60.89,59.331,60.44,2032068,0.0
2016-09-15,60.41,60.74,59.62,60.3,1562562,0.0
2016-09-18,60.73,61.29,60.3,60.59,790982,0.0
2016-09-19,60.79,60.84,60.07,60.2,936920,0.0
2016-09-20,60.52,61.17,60.3201,61.12,1102903,0.0
2016-09-21,61.55,61.84,60.57,61.18,1417303,0.0
2016-09-22,61.24,61.34,60.6,60.64,733531,0.0
2016-09-25,60.5,60.75,60.1,60.47,647111,0.0
2016-09-26,60.31,61.39,60,61.31,1172420,0.0
2016-09-27,61.41,61.78,61.08,61.64,1016282,0.0
2016-09-28,61.65,62.38,60.89,61.97,1624604,0.0
2016-09-29,62.11,62.7264,61.845,62.14,1904702,0.0
2016-10-02,62.06,62.43,61.65,61.81,889612,0.0
2016-10-03,61.72,62.2,61.12,61.32,905121,0.0
2016-10-04,61.66,62.6,61.5,62.12,908760,0.0
2016-10-05,62.12,62.6,61.785,62.58,1147747,0.0
2016-10-06,62.6,62.6,61.52,62.06,727316,0.0
2016-10-09,62.3,62.56,61.225,61.31,1094773,0.0
2016-10-10,61.1,61.4,59.08,59.69,1889449,0.0
2016-10-11,59.51,59.59,58.47,59,2392482,0.0
2016-10-12,58.53,58.53,57.52,58.4,1510916,0.0
2016-10-13,58.78,59.74,58.48,59,1663937,0.0
2016-10-16,58.9,59.41,58.66,58.7,980554,0.0
2016-10-17,59.41,59.63,58.79,58.86,1317552,0.0
2016-10-18,58.72,60.27,58.42,60.02,2196387,0.0
2016-10-19,59.81,60.08,59.1,59.7,1005537,0.0
2016-10-20,59.41,59.66,58.79,59.49,755177,0.0
2016-10-23,59.93,60.7,59.93,60.65,781214,0.0
2016-10-24,60.66,61.18,60.5892,60.92,1219387,0.0
2016-10-25,60.53,60.76,60.11,60.55,1108822,0.0
2016-10-26,60.75,61.42,60.14,60.36,1143559,0.0
2016-10-27,60.46,61.02,60.09,60.3,731966,0.0
2016-10-30,60.69,61.21,60.53,60.55,1447484,0.0
2016-10-31,60.8,60.89,59.5,60.18,1254865,0.0
2016-11-01,60.22,60.6799,59.78,59.86,1389342,0.0
2016-11-02,59.98,60.21,59.38,59.62,878459,0.0
2016-11-03,59.52,60.52,59.45,60.23,1510129,0.0
2016-11-06,61.12,62.33,60.9,62.22,2620801,0.0
2016-11-07,65.23,65.61,63.19,63.96,3782214,0.0
2016-11-08,62.21,64.72,61.55,64.32,2606229,0.0
2016-11-09,64.54,65.42,62.11,62.44,3468214,0.0
2016-11-10,62.44,63.21,62.16,63.15,1701112,0.0
2016-11-13,63.68,63.81,63.1,63.54,1832357,0.0
2016-11-14,63.63,65.26,63.46,65.2,1723190,0.0
2016-11-15,64.77,65.73,64.5,65.65,1252768,0.0
2016-11-16,65.35,65.9,64.835,65.45,1266018,0.0
2016-11-17,65.16,65.45,64.26,64.57,2494033,0.0
2016-11-20,64.9,65.61,64.62,65.2,2266537,0.0
2016-11-21,65.18,65.66,64.84,65.57,1465637,0.0
2016-11-22,65.5,66.12,65.28,66.11,1178221,0.0
2016-11-24,65.96,66.2475,65.84,66.08,418763,0.0
2016-11-27,65.98,66.81,65.64,65.9,1276180,0.0
2016-11-28,65.76,66.325,65.49,66.03,1337776,0.0
2016-11-29,66.01,66.76,65.54,66.18,1956284,0.0
2016-11-30,66.33,66.39,60.77,61.23,6284894,0.0
2016-12-01,61.19,62.6997,60.85,62.05,1917860,0.0
2016-12-04,62.73,63.71,62.3901,63.23,1912174,0.0
2016-12-05,63.22,63.7,62.98,63.49,1436307,0.0
2016-12-06,63.51,64.59,63.04,64.5,1072098,0.0
2016-12-07,64.56,65.27,64.19,65.16,1198245,0.0
2016-12-08,65.32,65.36,64.14,64.53,1110790,0.0
2016-12-11,64.37,64.58,62.95,63.61,949896,0.0
2016-12-12,64.18,65.4,64.01,65.1,854858,0.0
2016-12-13,64.96,65.6,64.9,65.06,829169,0.0
2016-12-14,65.32,66.29,64.9,65.84,886950,0.0
2016-12-15,66.19,66.24,64.42,64.53,1127066,0.0
2016-12-18,64.57,65.49,64.48,65.01,647144,0.0
2016-12-19,65.36,65.78,65.01,65.3,623050,0.0
2016-12-20,65.46,65.71,64.79,65.17,536654,0.0
2016-12-21,65.53,65.53,64.83,65.38,856356,0.0
2016-12-22,65.11,65.42,64.88,65.39,360051,0.0
2016-12-26,65.36,66.06,65.31,65.4,679764,0.0
2016-12-27,65.51,65.66,64.66,64.68,564108,0.0
2016-12-28,64.65,65,64.41,64.75,909909,0.0
2016-12-29,65.05,65.05,63.81,64.15,628070,0.0
2017-01-02,64.51,64.98,63.17,63.82,1943247,0.0
2017-01-03,64.07,64.13,63.45,63.82,1748617,0.0
2017-01-04,63.54,63.83,62.21,62.59,1910236,0.0
2017-01-05,62.75,63.9301,62.52,63.67,1012263,0.0
2017-01-08,63.61,64.82,63.61,64.42,1270874,0.0
2017-01-09,64.42,64.98,64.12,64.85,739197,0.0
2017-01-10,64.69,66.51,64.5,66.48,2641286,0.0
2017-01-11,66.36,66.63,65.47,66.48,1845638,0.0
2017-01-12,66.62,66.7,66.23,66.34,929455,0.0
2017-01-16,66.02,66.126,64.68,64.95,1096484,0.0
2017-01-17,65.21,66.65,65.033,66.5,1632648,0.0
2017-01-18,66.3,67.19,65.6,65.69,1304752,0.0
2017-01-19,65.96,66.97,65.85,66.93,1378498,0.0
2017-01-22,66.72,67.1999,66.37,67.03,1326093,0.0
2017-01-23,67.34,67.96,67.06,67.89,1197118,0.0
2017-01-24,68.4,69.02,68.25,68.82,1530389,0.0
2017-01-25,68.94,68.94,67.58,67.63,1630200,0.0
2017-01-26,67.95,68.78,67.83,68.75,1185845,0.0
2017-01-29,68.65,69.09,67.77,69.05,1202836,0.0
2017-01-30,68.83,68.86,66.85,67.35,1884487,0.0
2017-01-31,67.71,68.52,67.37,68.42,1572029,0.0
2017-02-01,67.83,68.83,67.44,68.8,1356019,0.0
2017-02-02,69.22,69.73,68.49,69.43,1320837,0.0
2017-02-05,69.15,69.43,68.83,69.17,1220980,0.0
2017-02-06,69.28,69.65,69.03,69.62,1505420,0.0
2017-02-07,76.42,76.5,73.02,73.8,9180781,0.0
2017-02-08,73.5,73.5,70.62,70.92,14306089,0.0
2017-02-09,70.53,71.02,69.76,70.89,11365561,0.0
2017-02-12,71.04,71.53,70.41,70.66,5760045,0.0
2017-02-13,70.63,71.315,70.1772,70.78,4087014,0.0
2017-02-14,70.96,72.055,70.72,71.9,4440214,0.0
2017-02-15,71.55,71.75,70.97,71.73,2320225,0.0
2017-02-16,71.54,71.7,71.0601,71.68,1502799,0.0
2017-02-20,71.89,72.53,71.75,72.48,3228699,0.0
2017-02-21,72.51,73.1299,72.24,73.04,2873234,0.0
2017-02-22,73.04,73.1,72.34,72.71,2527733,0.0
2017-02-23,72.24,72.905,71.84,72.83,1694413,0.0
2017-02-26,72.71,73.15,72.42,73.13,2149654,0.0
2017-02-27,73,73.22,72.1,72.52,4176471,0.0
2017-02-28,73.24,73.8,72.2332,73.63,3747163,0.0
2017-03-01,73.31,73.83,72.75,73.01,1875335,0.0
2017-03-02,73.12,73.37,72.71,73.31,1892737,0.0
2017-03-05,72.87,74.2,72.62,73.92,2092256,0.0
2017-03-06,73.85,74.48,73.4,73.84,2896790,0.0
2017-03-07,74.12,74.63,73.39,73.54,2862500,0.0
2017-03-08,73.43,73.6205,73.02,73.48,1227132,0.0
2017-03-09,74.11,74.39,73.75,73.95,1058893,0.0
2017-03-12,74.08,74.58,73.87,74.5,877561,0.0
2017-03-13,74.31,74.31,73.71,73.99,1006521,0.0
2017-03-14,74.17,74.65,73.68,74.5,1342662,0.0
2017-03-15,74.75,74.9,73.845,74.12,1105153,0.0
2017-03-16,74.48,74.86,74.14,74.28,1539006,0.0
2017-03-19,74.4,74.78,74.21,74.35,892895,0.0
2017-03-20,74.63,74.82,72.2301,72.34,1680226,0.0
2017-03-21,72.51,73.6924,72.35,73.5,1513073,0.0
2017-03-22,73.38,73.38,72.48,72.75,1339463,0.0
2017-03-23,73.59,74.125,72.95,73.15,1354751,0.0
2017-03-26,72.6,73.42,71.88,72.82,1396782,0.0
2017-03-27,72.81,74.04,72.615,73.49,1108031,0.0
2017-03-28,73.14,73.88,73.01,73.68,1233841,0.0
2017-03-29,73.63,74.37,73.5,73.88,718436,0.0
2017-03-30,73.71,74.33,73,73.78,1500855,0.0
2017-04-02,73.94,74.46,72.46,73.21,1223120,0.0
2017-04-03,73.76,74.595,73.24,73.46,1571123,0.0
2017-04-04,73.53,74.4699,72.8102,73.02,1238064,0.0
2017-04-05,72.9,73.81,72.12,73.54,1646493,0.0
2017-04-06,73.56,74.26,73.27,74.06,1617497,0.0
2017-04-09,74.06,74.37,73.28,73.41,1443787,0.0
2017-04-10,73.04,73.13,71.401,72.67,2888937,0.0
2017-04-11,72.63,72.7,71.71,72.15,2608165,0.0
2017-04-12,72.02,72.89,71.91,72.25,2109951,0.0
2017-04-16,72.55,73.18,72.36,72.99,1046563,0.0
2017-04-17,72.6,74.31,72.56,74.14,1878853,0.0
2017-04-18,74.54,75.43,74.47,74.87,2636694,0.0
2017-04-19,75.51,75.96,75.15,75.63,1809433,0.0
2017-04-20,74.76,75,73.87,74.44,2361142,0.0
2017-04-23,75.48,76.1,75.11,75.95,1168895,0.0
2017-04-24,76,76.8,75.76,76.72,2049360,0.0
2017-04-25,76.73,76.805,75.75,76.16,1226309,0.0
2017-04-26,76.55,77.32,76.46,76.75,1182879,0.0
2017-04-27,76.72,76.72,75.41,75.59,1084788,0.0
2017-04-30,75.92,76.26,75.05,76.18,748607,0.0
2017-05-01,76.1,76.15,75.12,75.69,1135988,0.0
2017-05-02,75.53,75.7599,74.97,75.25,1623243,0.0
2017-05-03,75.34,75.645,74.83,75,1407416,0.0
2017-05-04,75.37,75.37,74.55,75.16,1548707,0.0
2017-05-07,75.33,75.83,74.86,75.46,1573335,0.0
2017-05-08,75.46,76.48,75.18,76.45,2868391,0.0
2017-05-09,79.89,80.2,77.6721,78.52,5373693,0.0
2017-05-10,78.41,79.56,77.97,79.04,3014772,0.0
2017-05-11,79,79.2725,78.62,79,1291311,0.0
2017-05-14,79.06,80.14,78.97,80.13,1406562,0.0
2017-05-15,79.92,81.73,79.71,81.64,1998397,0.0
2017-05-16,80.9,81.22,78.24,78.34,2082402,0.0
2017-05-17,78.39,79.75,77.875,79.34,1771465,0.0
2017-05-18,79.48,80.42,79.37,80.18,1289752,0.0
2017-05-21,80.29,81.315,80.18,81.11,1217976,0.0
2017-05-22,81.27,81.94,80.64,81.35,1404811,0.0
2017-05-23,81.53,81.81,81.08,81.66,1387647,0.0
2017-05-24,82,82.36,81.5801,81.77,1816866,0.0
2017-05-25,81.49,81.79,81.055,81.7,1276097,0.0
2017-05-29,81.82,82.86,81.7,82.52,1380102,0.0
2017-05-30,83.09,84,82.48,83.3,1842242,0.0
2017-05-31,83.62,83.98,83.22,83.43,1139408,0.0
2017-06-01,83.75,84.63,82.89,84.35,1551741,0.0
2017-06-04,84.55,85.55,84.41,84.51,1750387,0.0
2017-06-05,84.32,85.6,83.56,85.19,2290632,0.0
2017-06-06,85.56,86.51,85.32,86.3,1578856,0.0
2017-06-07,86.58,86.9,85.64,86.85,1160433,0.0
2017-06-08,87.25,87.49,81.72,83.47,2385711,0.0
2017-06-11,81.83,83.1,80.3,83.08,3240352,0.0
2017-06-12,83.63,84.5,82.05,83.53,2338641,0.0
2017-06-13,83.9,84.1,81.38,82.3,1522454,0.0
2017-06-14,81.06,81.84,80.71,81.56,1508111,0.0
2017-06-15,81.65,82.179,80.77,81.21,2198421,0.0
2017-06-18,81.96,83.04,81.81,82.62,1241491,0.0
2017-06-19,82.75,82.84,80.27,80.35,1796259,0.0
2017-06-20,80.67,81.175,79.89,80.83,3986301,0.0
2017-06-21,80.78,81.105,80.02,80.06,1985820,0.0
2017-06-22,80.22,81.71,79.8,81.59,1778904,0.0
2017-06-25,81.6,82.71,80.22,80.3,1108709,0.0
2017-06-26,80.05,80.42,78.66,78.71,1663067,0.0
2017-06-27,79.05,79.98,77.55,79.83,1969650,0.0
2017-06-28,79.25,79.3367,76.31,77.37,2385327,0.0
2017-06-29,77.83,78.27,76.96,77.18,1682649,0.0
2017-07-02,77.73,77.99,75.8,75.83,788118,0.0
2017-07-04,76.02,78.11,76.02,77.94,1982009,0.0
2017-07-05,77.2,78.18,76.5,77.14,1096998,0.0
2017-07-06,77.48,79.01,77.21,78.34,1320056,0.0
2017-07-09,78.39,79.075,77.95,78.77,807393,0.0
2017-07-10,78.76,79.63,78.61,79.13,735073,0.0
2017-07-11,79.93,81.25,79.5401,80.15,2180401,0.0
2017-07-12,80.38,80.585,79.35,79.49,1320335,0.0
2017-07-13,79.88,81.015,79.73,80.85,954593,0.0
2017-07-16,80.9,81.35,80.36,81.03,781488,0.0
2017-07-17,80.81,81.61,80.39,81.56,718693,0.0
2017-07-18,82.07,82.48,81.71,82.32,1172395,0.0
