Date,Open,High,Low,Close,Volume,OpenInterest
2016-07-13,53.84,53.99,53.58,53.73,20301866,0.0
2016-07-14,53.87,54,53.21,53.69,25547404,0.0
2016-07-17,53.7,54.34,53.55,53.97,24397620,0.0
2016-07-18,53.72,53.9,52.93,53.0557,41308973,0.0
2016-07-19,56.15,56.84,55.53,55.9,76728806,0.0
2016-07-20,55.98,56.23,55.76,55.81,28934495,0.0
2016-07-21,56.07,56.6275,55.78,56.57,27062964,0.0
2016-07-24,56.41,56.74,56.255,56.73,20177271,0.0
2016-07-25,56.52,57.29,56.51,56.76,23419359,0.0
2016-07-26,56.61,56.8,56.11,56.19,27578995,0.0
2016-07-27,56.01,56.37,55.72,56.21,32081384,0.0
2016-07-28,56.16,56.76,56.05,56.69,24334711,0.0
2016-07-31,56.69,56.75,56.14,56.58,21792161,0.0
2016-08-01,56.84,56.9,56.31,56.58,31532924,0.0
2016-08-02,56.68,57.11,56.49,56.96,18980614,0.0
2016-08-03,56.8,57.5193,56.67,57.39,22527273,0.0
2016-08-04,57.65,58.21,57.45,57.95,21645686,0.0
2016-08-07,58.05,58.085,57.78,58.06,15986342,0.0
2016-08-08,58.17,58.5,58.02,58.2,14531736,0.0
2016-08-09,58.15,58.32,57.82,58.02,13793535,0.0
2016-08-10,58.03,58.45,58.03,58.3,13969425,0.0
2016-08-11,58.03,58.19,57.62,57.94,18489688,0.0
2016-08-14,58.01,58.5,57.96,58.13,15810136,0.0
2016-08-15,57.61,57.62,57.27,57.43,16119420,0.0
2016-08-16,57.54,57.68,57.23,57.56,16003638,0.0
2016-08-17,57.42,57.7,57.27,57.6,10612702,0.0
2016-08-18,57.5,57.73,57.2,57.62,13533973,0.0
2016-08-21,57.57,57.75,57.26,57.66,12748647,0.0
2016-08-22,57.9,58.18,57.85,57.9,14894637,0.0
2016-08-23,57.82,58.04,57.715,57.97,13678513,0.0
2016-08-24,57.88,58.29,57.78,58.19,14353071,0.0
2016-08-25,58.28,58.7,57.69,58.04,18188043,0.0
2016-08-28,58.18,58.6,58.1,58.1,11587271,0.0
2016-08-29,57.98,58.19,57.61,57.89,13514262,0.0
2016-08-30,57.67,57.8,57.3,57.47,15066798,0.0
2016-08-31,57.02,57.82,57.01,57.59,22436146,0.0
2016-09-01,57.67,58.19,57.42,57.67,15651021,0.0
2016-09-05,57.58,57.8,57.21,57.6,12058361,0.0
2016-09-06,57.47,57.84,57.405,57.65,14644431,0.0
2016-09-07,57.62,57.79,57.18,57.42,15613848,0.0
2016-09-08,56.83,57.52,56.21,56.22,26329284,0.0
2016-09-11,55.85,57.205,55.61,57.05,23365534,0.0
2016-09-12,56.49,57.05,56.05,56.53,25500307,0.0
2016-09-13,56.41,56.63,56.03,56.26,19740897,0.0
2016-09-14,56.15,57.35,55.98,57.19,21016427,0.0
2016-09-15,57.44,57.63,56.75,57.24,32046109,0.0
2016-09-18,57.27,57.75,56.85,56.93,16342333,0.0
2016-09-19,57.25,57.35,56.75,56.82,14273432,0.0
2016-09-20,57.51,57.85,57.08,57.75,28279594,0.0
2016-09-21,57.95,58,57.63,57.79,17145656,0.0
2016-09-22,57.9,57.91,57.38,57.44,16020750,0.0
2016-09-25,57.08,57.14,56.83,56.92,16652292,0.0
2016-09-26,56.93,58.06,56.681,57.97,23043718,0.0
2016-09-27,57.87,58.06,57.67,58.01,16659262,0.0
2016-09-28,57.83,58.1679,57.21,57.4,21798136,0.0
2016-09-29,57.57,57.77,57.34,57.59,19645825,0.0
2016-10-02,57.405,57.55,57.06,57.41,16347733,0.0
2016-10-03,57.32,57.595,56.97,57.24,17061458,0.0
2016-10-04,57.32,57.9601,57.26,57.64,13740675,0.0
2016-10-05,57.74,57.86,57.28,57.74,13372542,0.0
2016-10-06,57.88,57.98,57.42,57.79,17192327,0.0
2016-10-09,57.92,58.39,57.87,58.05,16006328,0.0
2016-10-10,57.89,58.02,56.89,57.18,21407214,0.0
2016-10-11,57.12,57.27,56.4,57.11,19737326,0.0
2016-10-12,56.67,57.3,56.315,56.92,20825613,0.0
2016-10-13,57.12,57.74,57.12,57.43,23125614,0.0
2016-10-16,57.36,57.46,56.87,57.21,18286375,0.0
2016-10-17,57.53,57.945,57.41,57.65,15950520,0.0
2016-10-18,57.47,57.84,57.395,57.56,17329160,0.0
2016-10-19,57.5,57.52,56.66,57.24,37793462,0.0
2016-10-20,60.3,60.45,59.485,59.68,68080734,0.0
2016-10-23,59.94,61,59.93,60.99,44808082,0.0
2016-10-24,60.86,61.3699,60.8,61.01,29949216,0.0
2016-10-25,60.8,61.2,60.47,60.63,23483399,0.0
2016-10-26,60.62,60.83,60.09,60.11,24532900,0.0
2016-10-27,60.01,60.52,59.58,59.87,25868056,0.0
2016-10-30,60.16,60.42,59.93,59.93,19487109,0.0
2016-10-31,60,60.02,59.25,59.8,20864523,0.0
2016-11-01,59.82,59.93,59.3,59.43,18577428,0.0
2016-11-02,59.53,59.64,59.11,59.2,16695965,0.0
2016-11-03,58.74,59.28,58.52,58.71,22386455,0.0
2016-11-06,59.795,60.52,59.78,60.42,24180840,0.0
2016-11-07,60.55,60.78,60.15,60.47,19613612,0.0
2016-11-08,60,60.59,59.2,60.17,41737253,0.0
2016-11-09,60.48,60.49,57.6302,58.71,50869218,0.0
2016-11-10,58.27,59.116,58.01,59.02,31874403,0.0
2016-11-13,59.1,59.1,57.28,58.12,34473815,0.0
2016-11-14,58.32,59.49,58.315,58.87,28862044,0.0
2016-11-15,58.94,59.66,54.27,59.64,21150032,0.0
2016-11-16,60.41,60.95,59.965,60.64,27379935,0.0
2016-11-17,60.72,61.14,60.3,60.37,21753885,0.0
2016-11-20,60.54,60.97,60.42,60.87,15522685,0.0
2016-11-21,60.98,61.26,60.805,61.11,16093926,0.0
2016-11-22,61.01,61.1,60.25,60.4,15372652,0.0
2016-11-24,60.3,60.53,60.13,60.53,6353319,0.0
2016-11-27,60.34,61.02,60.21,60.63,14506736,0.0
2016-11-28,60.65,61.41,60.52,61.11,17797603,0.0
2016-11-29,60.86,61.18,60.215,60.26,22149111,0.0
2016-11-30,60.07,60.15,58.935,59.18,27570405,0.0
2016-12-01,59.08,59.47,58.8,59.26,20292229,0.0
2016-12-04,59.7,60.585,59.56,60.21,18016433,0.0
2016-12-05,60.43,60.46,59.8,59.95,15912391,0.0
2016-12-06,60.01,61.38,59.8,61.36,23875202,0.0
2016-12-07,61.3,61.58,60.84,61,17876928,0.0
2016-12-08,61.18,61.99,61.125,61.98,20285734,0.0
2016-12-11,61.87,62.3,61.72,62.17,16223739,0.0
2016-12-12,62.5,63.42,62.24,62.98,28088902,0.0
2016-12-13,63,63.45,62.53,62.69,24307167,0.0
2016-12-14,62.7,63.1535,62.3,62.57,22978222,0.0
2016-12-15,62.91,62.95,62.115,62.3,31174933,0.0
2016-12-18,62.55,63.77,62.42,63.62,24657686,0.0
2016-12-19,63.69,63.8,63.025,63.54,17989534,0.0
2016-12-20,63.49,63.7,63.12,63.55,14075557,0.0
2016-12-21,63.84,64.1,63.405,63.55,17606085,0.0
2016-12-22,63.52,63.54,62.8,63.24,10181580,0.0
2016-12-26,63.21,64.07,63.21,63.27,9585506,0.0
2016-12-27,63.4,63.4,62.83,62.99,11240805,0.0
2016-12-28,62.86,63.2,62.73,62.9,8444209,0.0
2016-12-29,62.98,62.99,62.03,62.15,17483688,0.0
2017-01-02,62.76,62.84,62.125,62.57,16435995,0.0
2017-01-03,62.48,62.75,62.12,62.3,15429637,0.0
2017-01-04,62.19,62.66,62.03,62.3,17069869,0.0
2017-01-05,62.38,63.15,62.04,62.84,16440221,0.0
2017-01-08,62.79,63.08,62.54,62.65,13887243,0.0
2017-01-09,62.73,63.07,62.28,62.62,13723652,0.0
2017-01-10,62.61,63.23,62.43,63.16,17222903,0.0
2017-01-11,63.09,63.4,61.95,62.61,17995223,0.0
