Date,Open,High,Low,Close,Volume,OpenInterest
2016-07-13,53.08,53.8,52.62,53.32,6892132,0.0
2016-07-14,52.59,52.935,51.841,52.69,9415622,0.0
2016-07-17,53.35,53.43,52.77,52.98,5450009,0.0
2016-07-18,52.94,53.7293,52.84,53.51,5983479,0.0
2016-07-19,53.7,54.505,53.48,54.22,6489949,0.0
2016-07-20,54.1,54.27,53.04,53.22,7887043,0.0
2016-07-21,53.41,54.67,53.02,54.67,6417882,0.0
2016-07-24,55,55.81,54.76,55.68,6912148,0.0
2016-07-25,56.17,56.92,56.09,56.63,9748273,0.0
2016-07-26,57.12,57.22,55.72,56.06,9545941,0.0
2016-07-27,56.19,56.6,56.0137,56.16,4573290,0.0
2016-07-28,56.39,57.25,55.38,57.1,9012567,0.0
2016-07-31,57.35,57.55,56.36,56.73,6305410,0.0
2016-08-01,57,57.03,55.5,56.04,5431715,0.0
2016-08-02,55.97,56.3,55.66,56.18,6219866,0.0
2016-08-03,56.46,57.49,56.35,57.23,5722722,0.0
2016-08-04,57.89,58.23,57.61,58.2,6395844,0.0
2016-08-07,59,59.14,58.12,58.74,6251989,0.0
2016-08-08,59.03,59.46,58.74,58.89,8270686,0.0
2016-08-09,59.36,59.5,58.3237,58.51,7989190,0.0
2016-08-10,58.82,59.95,58.7,59.73,12782387,0.0
2016-08-11,61.91,63.38,60.63,63.03,31673359,0.0
2016-08-14,63.11,63.4964,62.1302,62.975,11116363,0.0
2016-08-15,62.89,62.99,62.41,62.6,6331531,0.0
2016-08-16,62.6,62.74,60.655,61.13,13110309,0.0
2016-08-17,61.08,62.2,60.82,62.1,6781117,0.0
2016-08-18,62.07,62.73,61.8,62.25,6144647,0.0
2016-08-21,62.45,62.612,61.711,62.52,4933065,0.0
2016-08-22,63.04,63.32,62.73,62.91,6964593,0.0
2016-08-23,63.13,63.16,61.65,61.94,6224108,0.0
2016-08-24,61.96,61.99,60.76,61.53,8035293,0.0
2016-08-25,61.69,62.38,61.2,62.03,6360267,0.0
2016-08-28,62.28,62.53,61.885,61.99,5285852,0.0
2016-08-29,61.91,62.2426,61.46,61.64,5504435,0.0
2016-08-30,61.75,61.92,61.16,61.34,7564381,0.0
2016-08-31,61.39,63.38,61.34,63.14,9487837,0.0
2016-09-01,63.28,63.35,61.82,62.53,7000474,0.0
2016-09-05,62.75,63.12,62.429,63.12,6399728,0.0
2016-09-06,62.92,63.2285,61.83,62.2,6421187,0.0
2016-09-07,62.13,62.74,61.42,62.64,5687128,0.0
2016-09-08,61.95,62.3,59,59.53,15375740,0.0
2016-09-11,58.73,60.865,57.315,60.75,12507615,0.0
2016-09-12,60.6,61.3,59.53,59.8864,8535877,0.0
2016-09-13,60.01,60.6,59.51,60.4,6312874,0.0
2016-09-14,60.5,62.76,60.36,62.69,10654402,0.0
2016-09-15,62.91,63.25,62.12,62.85,11560593,0.0
2016-09-18,63.5,65.26,63.21,63.67,9024186,0.0
2016-09-19,63.88,64.4,62.74,63.1,6577837,0.0
2016-09-20,63.28,64.98,63.27,64.85,7321118,0.0
2016-09-21,65.24,65.44,64.65,65.02,6524888,0.0
2016-09-22,65.1,65.29,64.66,64.97,5684887,0.0
2016-09-25,64.21,64.6,63.53,64.34,4701842,0.0
2016-09-26,64.09,66.64,64.06,66.54,8883725,0.0
2016-09-27,66.64,66.83,65.93,66.78,6861381,0.0
2016-09-28,66.67,67.61,66.0514,67.408,6980916,0.0
2016-09-29,67.77,69.19,67.37,68.51,8514302,0.0
2016-10-02,68.52,69.51,68.331,68.4595,4962645,0.0
2016-10-03,68.81,69.7,67.79,68.3,6053279,0.0
2016-10-04,68.71,69.58,68.02,68.23,6120116,0.0
2016-10-05,67.41,67.83,66.26,67.34,7807786,0.0
2016-10-06,67.79,67.97,66.66,66.84,6262281,0.0
2016-10-09,67.2,67.56,66.47,67.0911,6278642,0.0
2016-10-10,66.88,66.98,65.62,66.12,7130500,0.0
2016-10-11,65.86,66.7791,65.31,66.43,5949826,0.0
2016-10-12,65.65,65.8,63.7,65.35,8482088,0.0
2016-10-13,65.97,66.6,65.6,65.99,5505005,0.0
2016-10-16,65.98,66.6,65.52,65.61,4175767,0.0
2016-10-17,66.49,66.99,66.25,66.6,4832650,0.0
2016-10-18,66.16,66.78,65.82,66.48,3629521,0.0
2016-10-19,67.25,67.95,66.3,67.73,6809839,0.0
2016-10-20,67.49,67.66,66.9,67.54,3945246,0.0
2016-10-23,68,70.79,67.99,70.71,7185898,0.0
2016-10-24,70.59,72.3,70.25,71.87,8362734,0.0
2016-10-25,71.27,72.95,71.2,72.16,7069535,0.0
2016-10-26,72.71,72.85,70.385,70.68,6788720,0.0
2016-10-27,71.02,72.1,70.43,70.56,6106769,0.0
2016-10-30,70.79,71.625,70.75,71.16,5162500,0.0
2016-10-31,71.42,71.81,68.29,69.07,8516647,0.0
2016-11-01,69.58,70.52,68.6355,68.76,6133278,0.0
2016-11-02,69.08,69.14,66.64,67.97,6775836,0.0
2016-11-03,67.51,68.7305,66.575,67.57,7152442,0.0
2016-11-06,69.53,71.72,69.5,71.26,9892346,0.0
2016-11-07,71.54,71.77,70.5,71.16,6531771,0.0
2016-11-08,69.29,70.9,68.72,69.95,9819379,0.0
2016-11-09,71.49,71.5,66.76,67.77,15173472,0.0
2016-11-10,79.51,88.77,78.5,87.97,47055412,0.0
2016-11-13,88.09,88.19,83.62,83.66,19587075,0.0
2016-11-14,84.31,87.45,83.93,86.19,13683953,0.0
2016-11-15,87.34,92.555,86.3452,91.64,21399698,0.0
2016-11-16,92.31,94.7923,90.65,92.39,19016323,0.0
2016-11-17,92.39,94.33,91.8,93.36,12914364,0.0
2016-11-20,94.09,94.35,92.4,92.98,8971761,0.0
2016-11-21,93.3,93.7396,92.38,93.65,6771328,0.0
2016-11-22,93.72,95.2499,92.77,93.96,9319459,0.0
