Date,Open,High,Low,Close,Volume,OpenInterest
2016-07-10,52.16,53.13,52.14,53,1658850,0.0
2016-07-11,53.56,54.26,53.08,54.14,2095581,0.0
2016-07-12,54.47,54.48,53.66,53.9,1354860,0.0
2016-07-13,54.62,55,54.07,54.07,1495771,0.0
2016-07-14,54.41,54.42,53.7,53.82,1506902,0.0
2016-07-17,53.77,54.73,53.43,54.55,2011497,0.0
2016-07-18,53.3,54.49,53.21,53.65,1990335,0.0
2016-07-19,53.83,55.26,53.7541,54.96,2453098,0.0
2016-07-20,54.81,55.53,54,54.71,1917601,0.0
2016-07-21,54.98,55.05,54.09,55,1293431,0.0
2016-07-24,54.86,55.91,54.66,55.91,3312800,0.0
2016-07-25,56.2,58.53,56.14,58.36,4406232,0.0
2016-07-26,58.71,59.6,58.36,59.09,2714228,0.0
2016-07-27,58.9,59.03,57.865,58.53,2248336,0.0
2016-07-28,58.57,59.17,57.4,58.97,1547972,0.0
2016-07-31,58.84,59.1,58.13,58.54,1314173,0.0
2016-08-01,58.42,58.6,57.7,57.82,2147528,0.0
2016-08-02,57.46,58.04,57.03,57.74,1929346,0.0
2016-08-03,57.78,58.0599,57.12,57.34,1880812,0.0
2016-08-04,57.56,58.08,57.52,57.96,1302273,0.0
2016-08-07,58.19,58.55,57.97,58.12,790903,0.0
2016-08-08,58.22,58.5899,57.65,57.94,1009394,0.0
2016-08-09,57.94,58.18,57.51,57.72,1087318,0.0
2016-08-10,58,58.18,57.3004,57.91,699234,0.0
2016-08-11,57.67,58.06,57.57,57.71,920855,0.0
2016-08-14,57.65,58.94,57.65,58.83,1893866,0.0
2016-08-15,58.6,59.18,58.42,58.89,2031598,0.0
2016-08-16,58.92,59.13,57.7909,59.08,1150316,0.0
2016-08-17,59.24,59.54,59,59.53,1228064,0.0
2016-08-18,59.44,59.97,59.3,59.92,1862019,0.0
2016-08-21,59.63,60.13,59.56,59.92,1375517,0.0
2016-08-22,60.11,60.49,60.01,60.04,836988,0.0
2016-08-23,59.87,60.18,59.65,59.76,812184,0.0
2016-08-24,59.7,59.94,59.516,59.94,638644,0.0
2016-08-25,60.1,60.75,59.6,59.86,917431,0.0
2016-08-28,59.85,60.52,59.5,60.27,788134,0.0
2016-08-29,60.28,60.57,59.98,60.5,1141450,0.0
2016-08-30,60.21,60.38,59.55,59.84,807540,0.0
2016-08-31,59.99,60.16,58.89,59.53,1468771,0.0
2016-09-01,59.95,60,59.07,59.21,2135824,0.0
2016-09-05,58.92,59.155,57.73,57.84,3506767,0.0
2016-09-06,57.99,57.99,57.35,57.49,4256781,0.0
2016-09-07,57.67,57.67,57.16,57.47,2303157,0.0
2016-09-08,56.95,57.305,56.1,56.11,1706133,0.0
2016-09-11,55.72,57.26,55.54,57.17,1773849,0.0
2016-09-12,56.61,57.17,56.2,56.36,1325481,0.0
2016-09-13,55.19,56.935,55.19,56.74,1216251,0.0
2016-09-14,56.75,57.11,56.34,56.93,2172498,0.0
2016-09-15,56.58,56.96,56.02,56.57,2319003,0.0
2016-09-18,56.96,57.33,56.5499,56.68,1390137,0.0
2016-09-19,57.12,57.51,56.89,57.28,2771607,0.0
2016-09-20,57.4,57.92,57.25,57.77,1635188,0.0
2016-09-21,58.33,58.77,58,58.46,1239858,0.0
2016-09-22,58.42,58.65,57.1,57.92,1038742,0.0
2016-09-25,57.57,57.83,57.14,57.19,943355,0.0
2016-09-26,57.1,57.44,56.77,57.38,1245642,0.0
2016-09-27,57.49,58.55,57.49,58.51,937968,0.0
2016-09-28,58.38,58.875,57.79,57.89,1013580,0.0
2016-09-29,58.4,59.3,57.99,58.76,1407067,0.0
2016-10-02,58.48,58.92,58.36,58.78,703575,0.0
2016-10-03,58.76,59.83,58.675,59.1,1504325,0.0
2016-10-04,59.24,60,58.7,59.82,872596,0.0
2016-10-05,59.64,59.83,59.35,59.76,871001,0.0
2016-10-06,59.51,60.21,58.745,59.03,1174088,0.0
2016-10-09,59.35,59.5,58.42,58.51,840105,0.0
2016-10-10,58.44,58.6089,57.165,57.43,1620604,0.0
2016-10-11,57.35,58.05,56.58,57.45,1941601,0.0
2016-10-12,56.84,57.02,56.29,56.69,1119476,0.0
2016-10-13,57.04,57.41,56.68,56.83,829156,0.0
2016-10-16,56.89,57.19,56.75,56.81,752170,0.0
2016-10-17,57.46,57.7,56.79,56.92,1222874,0.0
2016-10-18,56.79,57.18,56.35,56.94,1087294,0.0
2016-10-19,56.94,56.94,55.93,56.62,1229700,0.0
2016-10-20,55.93,56.69,55.32,56.49,1583816,0.0
2016-10-23,56.88,57.54,56.33,56.35,1789760,0.0
2016-10-24,55.01,56.78,54.25,54.81,3995431,0.0
2016-10-25,54.56,55.495,54.04,55.25,2170992,0.0
2016-10-26,55.42,55.56,54.52,55.28,1837571,0.0
2016-10-27,55.34,55.82,55.104,55.39,2347244,0.0
2016-10-30,55.64,55.85,54.88,54.92,1888872,0.0
2016-10-31,55.03,55.17,54.11,54.6,1240203,0.0
2016-11-01,54.59,55.16,54.35,54.53,1860370,0.0
2016-11-02,54.62,54.95,54,54.13,1612770,0.0
2016-11-03,53.62,55.15,53.62,54.53,1765372,0.0
2016-11-06,55.44,55.885,55.1627,55.76,1222298,0.0
2016-11-07,55.66,55.88,54.81,55.56,1305637,0.0
2016-11-08,53.38,58.25,53.38,57.96,2206426,0.0
2016-11-09,58.12,60.4,58.12,60.33,3356960,0.0
2016-11-10,59.9,60.44,58.38,59.17,1891988,0.0
2016-11-13,59.33,59.89,58.73,59.55,1779837,0.0
2016-11-14,59.48,60.695,59.19,60.63,1759993,0.0
2016-11-15,60.39,60.41,59.79,60.29,1502703,0.0
2016-11-16,59.98,60.37,59.86,60.02,1141757,0.0
