Date,Open,High,Low,Close,Volume,OpenInterest
2016-07-13,39.69,40.07,39.4,39.96,8761039,0.0
2016-07-14,39.93,40.07,38.98,39.09,7073531,0.0
2016-07-17,39.13,39.22,38.73,38.93,6994260,0.0
2016-07-18,38.97,39.465,38.83,39.37,7326329,0.0
2016-07-19,39.44,40.45,39.12,40.05,9901618,0.0
2016-07-20,40.21,40.33,39.65,40.21,10716726,0.0
2016-07-21,37.25,37.59,36.43,37.42,33297986,0.0
2016-07-24,37.7,38.18,37.62,37.78,15601639,0.0
2016-07-25,37.8,38.27,37.6,37.69,9506058,0.0
2016-07-26,37.69,37.69,37.045,37.21,7590615,0.0
2016-07-27,37.4,37.68,37.101,37.2,4476233,0.0
2016-07-28,37.41,37.48,36.86,37.24,5807665,0.0
2016-07-31,37.43,37.44,36.9,37.06,4765198,0.0
2016-08-01,37.06,37.0852,36.36,36.54,5042151,0.0
2016-08-02,36.59,36.74,36.28,36.58,6621428,0.0
2016-08-03,36.82,37.39,36.73,37.3,6814733,0.0
2016-08-04,37.55,38.15,37.55,38.11,6839056,0.0
2016-08-07,38.19,38.3,37.65,37.91,4899279,0.0
2016-08-08,38.04,38.14,37.88,38.1,4439867,0.0
2016-08-09,38.01,38.245,37.91,38.07,4768547,0.0
2016-08-10,38.19,38.49,38.1,38.46,5036769,0.0
2016-08-11,38.32,38.63,38.1,38.51,5711444,0.0
2016-08-14,38.55,38.65,38.34,38.46,3949056,0.0
2016-08-15,38.29,38.53,38.15,38.38,5534439,0.0
2016-08-16,38.29,38.46,37.88,38.14,4573183,0.0
2016-08-17,38.07,38.375,37.93,38.22,3383166,0.0
2016-08-18,38.02,38.18,37.895,38.09,4049232,0.0
2016-08-21,37.93,38.2,37.66,38.11,10050969,0.0
2016-08-22,38.29,38.43,37.8,37.86,5155301,0.0
2016-08-23,37.81,37.95,37.41,37.54,5195810,0.0
2016-08-24,37.5,37.57,37.25,37.52,4620506,0.0
2016-08-25,37.61,37.84,37.38,37.66,3662407,0.0
2016-08-28,37.62,37.65,37.27,37.29,4148264,0.0
2016-08-29,37.39,37.52,36.985,37,5760234,0.0
