Date,Open,High,Low,Close,Volume,OpenInterest
2016-07-13,66.31,67.6,65.48,67.4,1706028,0.0
2016-07-14,67.72,67.74,67.02,67.38,1278405,0.0
2016-07-17,68.18,68.95,67.71,68.69,1673991,0.0
2016-07-18,68.33,68.55,67.81,68.33,1187510,0.0
2016-07-19,68.47,69.8,67.96,69.49,2690542,0.0
2016-07-20,70,71.33,69.76,70.92,4401773,0.0
2016-07-21,66.74,67.15,62.4001,64.805,11839908,0.0
2016-07-24,64.99,65.52,64.68,64.94,3748059,0.0
2016-07-25,65.36,66.38,64.05,65.87,3723027,0.0
2016-07-26,68.11,68.19,66.22,66.47,4119357,0.0
2016-07-27,66.17,66.59,65.2,66.47,1926092,0.0
2016-07-28,66.48,66.7,65.5,66.03,1213778,0.0
2016-07-31,65.92,66.8724,65.8,66.14,1694109,0.0
2016-08-01,65.57,65.96,64.431,65.04,1789710,0.0
2016-08-02,63.33,65.03,63.3,64.37,2949225,0.0
2016-08-03,64.45,65.26,64.02,65.16,1993418,0.0
2016-08-04,65.59,66.57,65.14,66.55,1782959,0.0
2016-08-07,66.57,67.22,65.72,65.94,1002352,0.0
2016-08-08,66.45,67.64,66.33,67,1424622,0.0
2016-08-09,67.03,67.04,65.7,66.41,1080261,0.0
2016-08-10,66.38,67.58,66.22,67.415,1273349,0.0
2016-08-11,67.51,67.85,67.0101,67.54,1145594,0.0
2016-08-14,67.61,69.59,67.55,69.5,1860369,0.0
2016-08-15,69.35,69.81,68.6001,69.6,2014521,0.0
2016-08-16,69.7,70.42,69.2,70.19,2517811,0.0
2016-08-17,70.48,72.06,70.29,71.8,3111166,0.0
2016-08-18,71.56,73.4,71.56,72.29,2609649,0.0
2016-08-21,72.34,72.889,71.94,72.63,1457519,0.0
2016-08-22,73.1,73.8999,72.885,73.78,1382605,0.0
2016-08-23,73.95,74.309,72.98,73.3,1752689,0.0
2016-08-24,73.16,74.75,73.11,74.33,2404033,0.0
2016-08-25,74.35,75,73.74,74.85,2209553,0.0
2016-08-28,74.79,75.65,74.5,75.22,1710648,0.0
2016-08-29,74.4,75.79,73.84,74.2,3401833,0.0
2016-08-30,74.13,75.24,73.9,74.86,1566997,0.0
2016-08-31,74.79,75.19,74.21,75.08,1760480,0.0
2016-09-01,75.25,75.43,74.21,74.63,1200856,0.0
2016-09-05,74.29,74.515,72.25,73.01,3568330,0.0
2016-09-06,73.18,73.765,71.572,72.05,2938903,0.0
2016-09-07,71.93,71.93,70.84,71.43,2588099,0.0
2016-09-08,70.51,70.69,66.06,66.77,6555184,0.0
2016-09-11,66,68.5825,65.76,68.34,3745871,0.0
2016-09-12,68.5,70.45,68.25,69.36,4193502,0.0
2016-09-13,69.73,72.43,69.51,72.4,4638248,0.0
2016-09-14,73.01,77.25,72.98,77.02,6860997,0.0
2016-09-15,77.15,77.24,75,76.08,4318641,0.0
2016-09-18,76.74,77.88,75.79,76.08,2145772,0.0
2016-09-19,76.3,76.365,75.02,75.72,2356246,0.0
2016-09-20,76.19,77,75.7,76.74,2086868,0.0
2016-09-21,77.28,77.44,76.37,76.9,1285050,0.0
2016-09-22,76.69,76.91,74.06,74.77,3095718,0.0
2016-09-25,73.94,74.42,72.73,72.82,2400672,0.0
2016-09-26,72.95,73.97,72.35,73.91,1949009,0.0
2016-09-27,74.84,75.64,73.85,74.27,1587527,0.0
2016-09-28,73.79,74.43,72.06,73.27,2928890,0.0
2016-09-29,73.91,76.32,73.88,76.14,3317008,0.0
2016-10-02,75.76,76.77,75.1612,75.33,1642381,0.0
2016-10-03,75.4,77.17,75.4,76.59,2541689,0.0
