Date,Open,High,Low,Close,Volume,OpenInterest
2016-07-13,223.13,224.94,221.05,221.43,2122291,0.0
2016-07-14,222.46,222.7499,219.64,220.39,1775149,0.0
2016-07-17,219.64,227.09,218.3,226.31,2789807,0.0
2016-07-18,225.01,229.1,224.75,225.26,2269268,0.0
2016-07-19,226.47,229.8,225,228.1191,2051631,0.0
2016-07-20,226,227.847,219.1,220.35,3567274,0.0
2016-07-21,221.99,224.5,218.88,222.26,2141372,0.0
2016-07-24,222.3,231.39,221.3715,230.13,3790758,0.0
2016-07-25,227.69,230,225.3,229.4,2535826,0.0
2016-07-26,229.33,233.36,226.92,228.46,2313094,0.0
2016-07-27,227.95,230.76,226.6,230.38,1842114,0.0
2016-07-28,230.7,235.28,230.24,234.725,2446427,0.0
2016-07-31,235.5,236.63,229.38,229.63,3346375,0.0
2016-08-01,229.37,229.87,221.4,227.14,3115823,0.0
2016-08-02,227.37,229.699,224.21,225.58,2719741,0.0
2016-08-03,225.69,230.86,222.05,230.62,3347420,0.0
2016-08-04,230,232,227.4,229.99,2468636,0.0
2016-08-07,228,229.6,226.09,226.17,1727448,0.0
2016-08-08,226.82,231.5375,226.65,229.03,1656670,0.0
2016-08-09,228.24,229.87,224.62,225.64,1815557,0.0
2016-08-10,226.17,227.57,223.41,224.9,1449490,0.0
2016-08-11,225.38,226.65,224.04,225.6,1248689,0.0
2016-08-14,226.03,229.5,224.93,225.59,1610710,0.0
2016-08-15,225.49,227.19,223.4101,223.71,1555817,0.0
2016-08-16,224.33,224.83,222.8,223.24,1405084,0.0
2016-08-17,223.82,225.66,222.29,223.52,1340265,0.0
2016-08-18,223.54,225.169,222.53,224.99,1235791,0.0
2016-08-21,224.17,225.11,222.68,222.99,1295704,0.0
2016-08-22,224.32,228.49,222.8,224.54,4054644,0.0
2016-08-23,227,227.15,222.22,222.71,1935123,0.0
2016-08-24,223.11,223.8,220.77,220.91,1401679,0.0
2016-08-25,222.03,222.855,218.82,220,1825075,0.0
2016-08-28,220.15,220.4,215,215.2,2698396,0.0
2016-08-29,215.31,216.11,210.52,211.34,2533617,0.0
2016-08-30,211.31,212.6,208.65,211.95,2217048,0.0
2016-08-31,209.01,211.0999,200.5,200.77,6685294,0.0
2016-09-01,203,203.2,196.2,197.78,4832382,0.0
2016-09-05,199.02,203.25,199,202.82,3442023,0.0
2016-09-06,205.5,206.4968,200.71,201.7,2614992,0.0
2016-09-07,199.73,199.89,196.36,197.49,2614970,0.0
2016-09-08,198.61,199.92,193.7,194.47,3031990,0.0
2016-09-11,195.39,201.369,194.1,198.28,2873818,0.0
2016-09-12,197.06,198.49,193.45,196.05,2916758,0.0
2016-09-13,195.99,197.9248,194.8562,196.49,1567008,0.0
2016-09-14,196.48,202.5193,196.4,200.24,2185735,0.0
2016-09-15,200.15,205.7,199,205.4,2161229,0.0
2016-09-18,207,209.43,205,206.34,1830197,0.0
2016-09-19,206.85,207.75,203.91,204.52,1629068,0.0
2016-09-20,206.24,207,201.56,205.2,2030694,0.0
2016-09-21,206.4,207.28,203,206.28,1907075,0.0
2016-09-22,205.99,210.18,205.67,207.45,2136818,0.0
2016-09-25,206.5,211,206.5,209.03,1658334,0.0
2016-09-26,209.65,209.9818,204.6093,205.89,2295358,0.0
2016-09-27,207.58,208.25,205.26,206.27,1353461,0.0
2016-09-28,205.6,207.33,200.58,200.7,2182820,0.0
2016-09-29,202.42,204.98,199.55,204.01,1963389,0.0
2016-10-02,212.3,215.6688,208.25,213.6575,5086498,0.0
2016-10-03,213.1,213.32,208.82,211.4,2967767,0.0
2016-10-04,212.24,213.15,208.12,208.45,1539157,0.0
2016-10-05,202.46,204.2099,200.21,201.09,3888771,0.0
2016-10-06,201,201.32,195.8,196.59,2877131,0.0
2016-10-09,201.35,204.14,199.66,200.92,2753023,0.0
2016-10-10,201.85,202.2,198.31,200.06,1935879,0.0
2016-10-11,200.95,203.88,200.42,201.5,1623741,0.0
2016-10-12,200.5,200.895,197.05,200.215,1812418,0.0
2016-10-13,200.66,201.43,196.3,196.51,3144844,0.0
2016-10-16,197.05,198.39,192,194.08,3265028,0.0
2016-10-17,195.99,199.47,193.26,199.1,4446415,0.0
2016-10-18,199.74,206.66,198.06,203.66,5548344,0.0
2016-10-19,202.12,203,197.05,199.12,4164688,0.0
2016-10-20,198.6,201.57,197.41,200.09,2189476,0.0
2016-10-23,201,203.9452,200.25,202.76,2269753,0.0
2016-10-24,202.9,204.69,201.2,202.37,1862938,0.0
2016-10-25,201,203.19,200.1,202.34,2623373,0.0
2016-10-26,211.34,213.7,201.65,204.01,11240917,0.0
2016-10-27,204,205.32,199.83,200.08,3694654,0.0
2016-10-30,202.49,202.49,195.81,197.72,3630341,0.0
2016-10-31,198.04,198.5,188.105,190.82,5760928,0.0
2016-11-01,190.05,192.6951,187.505,188.03,3498961,0.0
2016-11-02,189.01,191.47,187.0401,187.42,2113497,0.0
2016-11-03,189,193.46,185.96,190.56,4269185,0.0
2016-11-06,193.59,194.29,190.05,193.19,3219145,0.0
2016-11-07,193.51,197.49,191.26,194.93,2699201,0.0
