Date,Open,High,Low,Close,Volume,OpenInterest
2016-07-13,40.2,40.99,38.74,39.97,1933223,0.0
2016-07-14,40.02,40.52,39.81,40.455,1010759,0.0
2016-07-17,40.54,41.08,40.37,40.65,823081,0.0
2016-07-18,40.7,40.7,39.905,39.93,1036313,0.0
2016-07-19,40.2,40.76,39.95,40.53,709034,0.0
2016-07-20,40.61,40.7,39.91,40.1,527019,0.0
2016-07-21,40.12,41.01,40,40.565,721361,0.0
2016-07-24,40.38,40.8,40.341,40.68,596820,0.0
2016-07-25,40.79,40.91,40,40.17,496146,0.0
2016-07-26,40.42,40.64,39.98,40.46,567926,0.0
2016-07-27,40.37,40.64,40.16,40.33,452155,0.0
2016-07-28,40.4,40.45,40.05,40.18,618099,0.0
2016-07-31,40.06,40.515,40.06,40.3,544033,0.0
2016-08-01,40.4,40.49,40.01,40.17,740280,0.0
2016-08-02,40,40.85,40,40.78,758251,0.0
2016-08-03,40.91,41.21,40.45,40.58,1625775,0.0
2016-08-04,42.5,42.98,40.96,41.37,2782816,0.0
2016-08-07,41.42,41.57,40.93,40.98,1898868,0.0
2016-08-08,41.2,41.6186,40.65,41.4,1193227,0.0
2016-08-09,41.34,41.41,41,41.34,1263648,0.0
2016-08-10,41.63,41.83,41.2,41.44,848250,0.0
2016-08-11,41.41,41.41,40.9001,41.35,575173,0.0
2016-08-14,41.5,42.49,41.34,42.33,1158005,0.0
2016-08-15,42.27,42.27,41.175,41.23,1140179,0.0
2016-08-16,41.13,42.24,40.83,41.055,1469114,0.0
2016-08-17,40.94,41.375,40.9,41.09,1018554,0.0
2016-08-18,41.12,41.63,40.7189,40.97,845314,0.0
2016-08-21,40.76,41.3,40.6301,41.29,827680,0.0
2016-08-22,41.53,42.28,41.39,42.25,780291,0.0
2016-08-23,42.2,42.67,42.06,42.22,825743,0.0
2016-08-24,42.03,42.32,41.8,42.32,467989,0.0
2016-08-25,42.17,42.69,41.87,42.24,1489569,0.0
2016-08-28,42.44,44.5,42.32,44.17,3076887,0.0
2016-08-29,44.25,44.47,43.55,43.81,854576,0.0
2016-08-30,43.63,43.77,43.29,43.46,796529,0.0
2016-08-31,43.5,43.84,43.005,43.76,728181,0.0
2016-09-01,44,45.04,43.84,44.7,1388643,0.0
2016-09-05,44.91,45.04,44.415,44.64,537829,0.0
2016-09-06,44.78,44.78,43.12,43.55,1773994,0.0
2016-09-07,43.43,43.76,42.89,43.28,1175754,0.0
2016-09-08,43.06,43.58,42.69,42.74,1133878,0.0
2016-09-11,42.54,43.57,42.35,43.53,921541,0.0
2016-09-12,43.53,43.98,43.23,43.8,969660,0.0
2016-09-13,43.76,44.36,43.76,44.11,848448,0.0
2016-09-14,45.8,45.8,43.97,45.22,1269254,0.0
2016-09-15,45.26,45.26,44.39,44.71,1109109,0.0
2016-09-18,44.93,45.16,44.17,44.71,737796,0.0
2016-09-19,44.99,45.46,44.81,45.23,768533,0.0
2016-09-20,45.66,46.45,45.16,46.34,1468157,0.0
2016-09-21,46.52,46.78,45.69,45.85,804058,0.0
2016-09-22,46.26,47.1,45.39,46.32,1352189,0.0
2016-09-25,46.03,46.44,45.88,45.9,1249017,0.0
2016-09-26,45.93,46.255,45.57,46.11,968796,0.0
2016-09-27,45.73,46.13,45.12,45.35,1739465,0.0
2016-09-28,45.36,45.435,44.91,45.16,926562,0.0
2016-09-29,45.14,45.52,44.83,45.06,1035616,0.0
2016-10-02,44.79,45.35,44.56,45.16,722811,0.0
2016-10-03,45.29,45.65,45.17,45.49,959285,0.0
2016-10-04,45.65,45.74,45.1,45.61,520086,0.0
2016-10-05,45.79,46,45.07,45.49,850062,0.0
2016-10-06,46.49,46.49,44.5,44.71,1063279,0.0
2016-10-09,44.81,45.21,43.32,43.77,2913726,0.0
2016-10-10,43.77,43.98,41.92,42.22,3138445,0.0
2016-10-11,42.18,42.52,41.81,42.49,1035523,0.0
2016-10-12,42.19,42.52,41.701,42.36,744633,0.0
2016-10-13,42.87,43.9699,42.65,42.69,1231529,0.0
2016-10-16,44.5,45.8465,44.5,44.84,4028513,0.0
2016-10-17,45.47,45.71,44.31,45.09,2906422,0.0
2016-10-18,45.06,45.48,44.07,44.225,1046929,0.0
