Date,Open,High,Low,Close,Volume,OpenInterest
2016-07-11,253.88,254.655,251.3,253.27,334835,0.0
2016-07-12,252.99,253.765,250.05,250.12,327516,0.0
2016-07-13,251.95,255.3,251.3,255.11,622658,0.0
2016-07-14,256.83,256.88,255.2101,255.77,484491,0.0
2016-07-17,256.02,256.84,255.1,256.08,378159,0.0
2016-07-18,256,256.91,254.53,256.86,252714,0.0
2016-07-19,257.42,257.54,255.68,255.8,353711,0.0
2016-07-20,255.15,256.78,254.62,254.88,331930,0.0
2016-07-21,255.03,258.7799,254.9,258.6,240386,0.0
2016-07-24,258.96,260,258.41,259.56,232651,0.0
2016-07-25,260.09,261.42,258.47,258.9,277629,0.0
2016-07-26,258.81,259.99,256.82,257.75,306335,0.0
2016-07-27,257.42,260.66,257.04,260.46,307655,0.0
2016-07-28,260.76,262.12,260.13,261.22,309415,0.0
2016-07-31,262.19,262.81,258.71,260.57,575977,0.0
2016-08-01,261.51,262,255.067,256.95,484989,0.0
2016-08-02,256.76,258.96,255.06,258.92,287506,0.0
2016-08-03,258.33,260.69,256.638,260.68,350327,0.0
2016-08-04,261.34,262.7772,260.71,262.35,292997,0.0
2016-08-07,263.16,263.56,260.66,261.33,214941,0.0
2016-08-08,261.44,262.8975,260.789,261.91,173944,0.0
2016-08-09,262.39,263.48,261.78,263.09,187089,0.0
2016-08-10,264,266.19,262.78,265.95,298280,0.0
2016-08-11,265.05,266.98,265.05,266.87,296530,0.0
2016-08-14,268.76,269.82,266.84,266.97,314979,0.0
2016-08-15,266,267.37,265.33,265.91,349169,0.0
2016-08-16,265.48,266,263.02,265.76,316654,0.0
2016-08-17,266.34,271.96,266.34,271.53,630254,0.0
2016-08-18,270.93,276.1999,268.74,274.55,624564,0.0
2016-08-21,275.78,275.86,270.35,270.68,986244,0.0
2016-08-22,272.95,276.225,272.02,275.85,570642,0.0
2016-08-23,278.29,278.626,271.28,274,837483,0.0
2016-08-24,272.6,274.5,269.71,271.31,1476071,0.0
2016-08-25,270.11,270.5,250.2422,254.85,4897565,0.0
2016-08-28,254.6,256.52,252.5,253.93,948108,0.0
2016-08-29,252.51,253.169,244.5,244.86,1400335,0.0
2016-08-30,244.03,248.88,242.96,247.21,1101896,0.0
2016-08-31,246.67,248.442,244.68,245.51,495120,0.0
2016-09-01,246.59,249.51,244.875,246.45,566585,0.0
2016-09-05,246.82,249.76,246.37,249.64,611805,0.0
2016-09-06,249.96,250,245.83,246.71,427648,0.0
2016-09-07,244.93,245.9,243.001,243.53,709740,0.0
2016-09-08,243.32,243.56,238.74,238.74,948495,0.0
2016-09-11,236.66,243.33,235.19,242.4,909336,0.0
2016-09-12,241.45,241.455,235.42,236.73,629684,0.0
2016-09-13,237.31,239.23,236.12,237.13,404819,0.0
2016-09-14,232.74,234.55,230.1,232.93,1136539,0.0
2016-09-15,232.9,235.639,232.05,233.78,645449,0.0
2016-09-18,233.78,236.24,233.0701,234.55,513279,0.0
2016-09-19,234.55,235.83,233,233.2,426366,0.0
2016-09-20,235.09,240.26,234.3,239.71,869000,0.0
2016-09-21,240.95,241.12,237.405,238.41,496475,0.0
2016-09-22,237.23,239.22,236.24,237.01,345843,0.0
2016-09-25,236,238.71,235.4,237.81,357212,0.0
2016-09-26,238.37,244.09,238.05,243.67,981159,0.0
2016-09-27,243.7,243.9261,239.33,240.2,525734,0.0
2016-09-28,240.2,240.395,236.89,237.14,411020,0.0
2016-09-29,238.87,240.61,237.32,237.93,385107,0.0
2016-10-02,236.81,238.51,236.6,237.61,416026,0.0
2016-10-03,237.73,239.22,236.77,238.55,619103,0.0
2016-10-04,237.84,239.6,235.54,235.6,411273,0.0
2016-10-05,235.6,242.7,235.1,241.57,661408,0.0
2016-10-06,242.61,242.62,237.86,239.12,473340,0.0
2016-10-09,241.65,242,239.34,240.37,328132,0.0
2016-10-10,240.21,240.5836,235.59,236.65,419194,0.0
2016-10-11,237.18,240.49,236.63,238.96,369805,0.0
2016-10-12,246.35,266.74,245.25,266.14,4017068,0.0
2016-10-13,268.03,268.78,262.59,262.75,1384592,0.0
2016-10-16,262.5,263.33,257.54,258.72,951381,0.0
2016-10-17,260.62,261.49,255.72,255.95,536861,0.0
2016-10-18,255.84,256.67,252.84,256.44,341755,0.0
2016-10-19,255.45,257.55,254,254.38,300242,0.0
2016-10-20,253.18,253.6,251.55,252.31,359282,0.0
2016-10-23,253.23,253.66,251.09,252.26,571056,0.0
2016-10-24,250.67,250.69,246.7,246.99,600249,0.0
2016-10-25,246.59,248.86,245.76,245.87,484751,0.0
2016-10-26,245.89,248.14,239.44,239.86,488094,0.0
2016-10-27,239.86,244.35,239.415,242.3,436012,0.0
2016-10-30,243.49,244.29,240.72,243.42,322861,0.0
2016-10-31,242.82,243.68,238.76,240.18,322751,0.0
2016-11-01,239.8,241.8199,239,239.24,256740,0.0
2016-11-02,238.82,239.554,229.76,231.62,719410,0.0
