Date,Open,High,Low,Close,Volume,OpenInterest
2016-07-13,80.35,80.71,79.42,79.95,1207067,0.0
2016-07-14,80,80,78.31,78.83,1176029,0.0
2016-07-17,78.58,78.96,78.25,78.45,777371,0.0
2016-07-18,78.28,79.2,77.831,78.96,758469,0.0
2016-07-19,78.2,80.5,77.8,79.83,975682,0.0
2016-07-20,79.6,80.3,77.9,78.19,669884,0.0
2016-07-21,78.77,80.17,78.05,79.98,600011,0.0
2016-07-24,79.99,81,79.37,80.03,688802,0.0
2016-07-25,79.99,80.24,79.27,80.12,694069,0.0
2016-07-26,80.55,81.67,80.395,81.24,1133105,0.0
2016-07-27,83.62,85,82.86,83.08,2161052,0.0
2016-07-28,82.72,83.5,80.811,83.34,1236268,0.0
2016-07-31,83.34,83.39,82.16,82.74,615892,0.0
2016-08-01,82.54,82.65,79.62,80.39,1002749,0.0
2016-08-02,79.8,82.06,79.43,82.06,566298,0.0
2016-08-03,81.78,82.72,81.78,82.33,516749,0.0
2016-08-04,82.51,83.2,82.51,83.09,381059,0.0
2016-08-07,83.09,83.45,82.445,82.62,412041,0.0
2016-08-08,83.04,83.28,82.74,83.05,719414,0.0
2016-08-09,83,83.05,81.63,82.53,670092,0.0
2016-08-10,83,83.88,82.43,83.64,565773,0.0
2016-08-11,83.55,83.939,83.14,83.49,338139,0.0
2016-08-14,84.46,84.48,82.73,83.65,937690,0.0
2016-08-15,83.17,83.46,81.69,82.26,1126519,0.0
2016-08-16,82.25,82.68,80.35,80.68,1290031,0.0
2016-08-17,80.67,81.92,79.82,81.37,1036178,0.0
2016-08-18,81,82.45,79.97,82.08,990486,0.0
2016-08-21,79.39,79.98,78.34,79.21,1939373,0.0
2016-08-22,80.11,81.15,79.79,79.92,1868200,0.0
2016-08-23,80.44,81.3999,79.07,79.66,2278689,0.0
2016-08-24,85.36,85.96,79.65,85.27,8405338,0.0
2016-08-25,84.8,84.83,82.13,83.08,2538913,0.0
2016-08-28,83.25,83.75,82.82,83.37,861893,0.0
2016-08-29,83.19,85,83.18,85,1084614,0.0
2016-08-30,84.79,85.1,84.27,84.78,1017176,0.0
2016-08-31,84.0462,87.94,84,87.9,3019105,0.0
2016-09-01,87.29,89.4,86.85,88.99,2097281,0.0
2016-09-05,89.34,90.3,88.98,90.09,1776067,0.0
2016-09-06,89.98,90.73,88.885,89.38,1296403,0.0
2016-09-07,88.84,89.7,88.43,88.74,1130865,0.0
2016-09-08,88.07,88.62,86.7,87.23,1259791,0.0
2016-09-11,86.41,87.86,86.03,87.67,1169344,0.0
2016-09-12,87,87.51,85.37,86.67,1274520,0.0
2016-09-13,86.44,87.38,85.86,86.77,1139959,0.0
2016-09-14,86.94,88.94,86.46,88.52,1182568,0.0
2016-09-15,87.7,89.06,86.99,88.93,1150444,0.0
2016-09-18,89.11,90.15,88.37,88.65,1129939,0.0
2016-09-19,89.23,89.62,88.12,88.7,759719,0.0
2016-09-20,89.36,90.73,88.81,90.51,777376,0.0
2016-09-21,89.98,90.88,89.97,90.27,801391,0.0
2016-09-22,90.28,90.28,89.27,89.515,600835,0.0
2016-09-25,89,89,87.82,88.32,1131984,0.0
2016-09-26,88.32,89.86,88.01,89.8,863380,0.0
2016-09-27,90.58,90.95,89.265,90.87,1391578,0.0
2016-09-28,90.7,91.39,90.21,90.36,1148369,0.0
2016-09-29,91,92.46,90.7,91.68,1184440,0.0
2016-10-02,91.56,92.11,90.25,91.17,764612,0.0
2016-10-03,91.18,91.75,90.22,90.5,719577,0.0
2016-10-04,90.79,92.5,90.61,91.99,1100566,0.0
2016-10-05,92.79,93,91.0901,91.57,1102366,0.0
2016-10-06,91.13,91.62,90.135,91.04,534559,0.0
2016-10-09,91.45,93.35,91.45,91.78,703563,0.0
2016-10-10,91.46,91.6,87.85,88.27,1126129,0.0
2016-10-11,87.94,88.27,87.02,87.62,717038,0.0
2016-10-12,86.9,87.56,86.24,87.14,772004,0.0
2016-10-13,87.95,89.09,86.77,87,874868,0.0
2016-10-16,87.01,87.44,85.93,86.09,611705,0.0
2016-10-17,87.38,87.72,86.47,86.55,768111,0.0
2016-10-18,87.02,87.94,86.6401,87.3,617362,0.0
2016-10-19,86.85,88.29,86.8,88.07,602968,0.0
2016-10-20,87.82,88.51,87.09,88.47,458442,0.0
2016-10-23,89.07,89.35,88.29,88.55,725024,0.0
2016-10-24,88.36,88.84,87.52,87.7,664387,0.0
2016-10-25,87.14,87.75,86.31,86.7,671338,0.0
2016-10-26,87.9,88.49,85.51,85.81,944590,0.0
2016-10-27,85.92,87.39,85.92,86.2,573538,0.0
2016-10-30,86.58,87.05,85.53,86.68,886566,0.0
2016-10-31,87.22,87.26,84.37,84.95,772296,0.0
2016-11-01,84.09,84.93,82.38,83.08,932819,0.0
2016-11-02,83.1,83.82,82.63,82.97,494989,0.0
2016-11-03,83.06,83.78,82.3,82.77,528583,0.0
2016-11-06,84.28,86.15,84.1,85.61,566502,0.0
2016-11-07,85.09,86.76,84.67,85.67,608314,0.0
2016-11-08,83.75,86.59,83.75,84.99,887756,0.0
