Date,Open,High,Low,Close,Volume,OpenInterest
2016-07-13,52.85,52.85,51.65,51.75,3159205,0.0
2016-07-14,51.73,52.09,51.03,51.65,2723247,0.0
2016-07-17,51.66,52.16,51.15,52.12,2400776,0.0
2016-07-18,52.18,52.19,51.06,51.2,3243875,0.0
2016-07-19,51.57,52.18,50.61,51.86,3304382,0.0
2016-07-20,51.51,52.09,51.29,51.67,2620188,0.0
2016-07-21,51.86,52.42,50.93,52.37,2904516,0.0
2016-07-24,52.4,52.96,52.01,52.07,2448309,0.0
2016-07-25,52.37,53.78,52.1,53.75,4544959,0.0
2016-07-26,54.32,54.56,52.895,53.44,3136321,0.0
2016-07-27,53.3,54.13,52.45,53.69,4304646,0.0
2016-07-28,50.77,51,47.05,47.505,16233903,0.0
2016-07-31,47.69,47.69,45.95,46.07,7010486,0.0
2016-08-01,46.36,47.24,44.39,45.07,7649762,0.0
2016-08-02,44,45.08,43.75,44.76,4869199,0.0
2016-08-03,44.62,44.92,44.3,44.3,3626161,0.0
2016-08-04,44.33,45.585,44.33,45.41,3777996,0.0
2016-08-07,45.98,46.33,45.305,45.36,2981248,0.0
2016-08-08,45.4,45.77,45.0601,45.28,2499720,0.0
2016-08-09,45.42,45.6,43.09,43.17,5465534,0.0
2016-08-10,43.39,44.27,43.29,43.89,3226134,0.0
2016-08-11,43.88,44.43,43.6,44.31,2324273,0.0
2016-08-14,44.47,46.25,44.47,45.84,3825590,0.0
2016-08-15,46.08,46.2689,45.56,45.78,2801553,0.0
2016-08-16,45,45.4,44.43,44.73,3544702,0.0
2016-08-17,44.93,45.91,44.88,45.81,3081362,0.0
2016-08-18,45.64,47.2867,45.6001,46.6,3364114,0.0
2016-08-21,46.44,46.59,45.43,46.14,2572621,0.0
2016-08-22,46.18,46.7499,45.83,46.5,2425058,0.0
2016-08-23,46.62,47,45.25,45.42,2347823,0.0
2016-08-24,45.37,47.06,45.36,46.445,3314186,0.0
2016-08-25,46.77,47.53,46.44,46.93,2952797,0.0
2016-08-28,46.9,47.39,46.83,47.08,2348287,0.0
2016-08-29,47.3,47.6,46.73,47.1,2142253,0.0
2016-08-30,46.8,47.0599,46.04,46.68,2683382,0.0
2016-08-31,46.67,47.0799,45.702,46.32,2567592,0.0
2016-09-01,46.72,47.7,46.26,46.97,2443304,0.0
2016-09-05,47.1,47.7,46.8275,47.55,3831655,0.0
2016-09-06,49.56,54.18,49.56,53.3,17294255,0.0
2016-09-07,53.29,53.9025,52.83,53.47,6269639,0.0
2016-09-08,52.95,54.41,51.3,51.6,5177832,0.0
2016-09-11,51,52.53,50.1,52.31,5737490,0.0
2016-09-12,52.52,53.44,51.52,52.37,4774509,0.0
2016-09-13,52.4,52.68,51.79,51.99,3149585,0.0
2016-09-14,52.11,53.34,51.98,53.275,3434879,0.0
2016-09-15,54.73,55.95,54.3,54.94,7277788,0.0
2016-09-18,55.36,56.45,54.33,54.63,3901741,0.0
2016-09-19,54.92,55.25,54.1077,54.44,2597331,0.0
2016-09-20,54.4,56.19,54.39,56.125,3544580,0.0
2016-09-21,56.52,56.88,55.8101,56.07,3992195,0.0
2016-09-22,55.94,56.8,55.8241,55.94,3509665,0.0
2016-09-25,55.6,57.7001,55.5,57.01,5316321,0.0
2016-09-26,56.79,59.32,56.66,58.86,7146132,0.0
2016-09-27,59,59.27,57.02,58.01,4208341,0.0
2016-09-28,58.43,59.86,57.57,58.27,4753339,0.0
2016-09-29,58.43,59.15,57.69,58.47,3362858,0.0
2016-10-02,59.02,60.47,58.74,58.85,4552445,0.0
2016-10-03,59.35,59.55,58.24,58.69,3977486,0.0
2016-10-04,58.49,59.69,58.19,59.24,3762921,0.0
2016-10-05,59.2,59.262,57.27,58.05,4226799,0.0
2016-10-06,57.91,59.11,57.87,58.68,2918927,0.0
2016-10-09,59.34,59.73,58.73,59.26,3298650,0.0
2016-10-10,59.26,59.35,56.05,56.63,5520145,0.0
2016-10-11,56.75,57.86,55.97,56.43,3789843,0.0
2016-10-12,55.62,55.63,53.7342,55.29,4135895,0.0
2016-10-13,55.62,56.47,54.71,54.84,3320897,0.0
2016-10-16,54.82,55.72,52.43,53.18,5774141,0.0
2016-10-17,54.07,54.36,53,53.98,2670613,0.0
2016-10-18,53.01,53.97,52.1,53.6,3204780,0.0
2016-10-19,53.59,54.3,53.3,53.86,1838505,0.0
2016-10-20,53.53,53.64,52.62,53.06,2110221,0.0
2016-10-23,53.32,53.75,53.16,53.52,2573243,0.0
2016-10-24,54.05,54.44,53.11,53.63,2457810,0.0
2016-10-25,53.52,56.67,53.14,56.54,7633693,0.0
2016-10-26,58.53,61.97,58.5,59.58,13694542,0.0
2016-10-27,59.68,61,59.1,59.2,4173883,0.0
2016-10-30,59.25,59.95,58.43,58.44,2735670,0.0
2016-10-31,58.51,58.9,56.3,57.23,3246866,0.0
2016-11-01,57.11,57.63,55.14,55.2,3463542,0.0
2016-11-02,55.43,55.98,54.87,55.14,2583662,0.0
2016-11-03,54.72,55.97,54.2601,55.02,2308151,0.0
2016-11-06,56.43,57.96,56.3,57.67,3857929,0.0
2016-11-07,57.4,57.77,56.65,57.28,2557074,0.0
2016-11-08,56.11,58.04,55.05,57.48,4650638,0.0
2016-11-09,57.98,59.49,56.6594,56.84,4074144,0.0
2016-11-10,56.72,58.99,56.26,58.89,5129404,0.0
2016-11-13,58.66,60.54,58.65,59.48,3655416,0.0
2016-11-14,59.49,59.985,58.71,59.71,3530889,0.0
2016-11-15,59.52,59.83,58.86,59.53,2562426,0.0
2016-11-16,59.71,60.25,57.62,58.8,5704554,0.0
2016-11-17,58.97,60.93,58.3,60.92,3809059,0.0
2016-11-20,61.1,62.34,60.87,61.17,3298102,0.0
2016-11-21,61.45,61.889,60.32,61.19,2070321,0.0
2016-11-22,60.8,61.48,60.3,61.04,1669548,0.0
2016-11-24,60.96,61.72,60.6603,61.58,1053234,0.0
2016-11-27,61.03,63.1199,61.03,62.3,3723563,0.0
2016-11-28,62.29,64.29,62.29,62.67,4080252,0.0
2016-11-29,63.26,64.3699,62.75,63.66,3765559,0.0
